=== page 0 of /home/user/vis-r90/pdf-ours/038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pdf
font                               size     drawn   implied   ratio  text
AAAAAA+Carlito-Regular            32.00    76.711    79.414  1.0352  'www.'
AAAAAA+Carlito-Regular            32.00   198.894   216.769  1.0899  'presentationgo'
AAAAAA+Carlito-Regular            32.00    64.053    68.287  1.0661  '.com'
BAAAAA+DejaVuSans                 10.01    12.786    12.786  1.0000  'By'
BAAAAA+DejaVuSans                 10.01     3.371     3.371  1.0000  ':'
BAAAAA+DejaVuSans                 10.01    14.804    14.804  1.0000  '.co'
BAAAAA+DejaVuSans                 10.01     9.747     9.747  1.0000  'm'
BAAAAA+DejaVuSans                 11.00    14.494    14.494  1.0000  '© '
BAAAAA+DejaVuSans                 11.00    93.110    92.676  0.9953  'presentationgo.c'
BAAAAA+DejaVuSans                 11.00    17.443    17.443  1.0000  'om'
CAAAAA+LiberationSans-Bold        36.00   618.152   616.816  0.9978  'Competitive Advantage Card – Slide'
CAAAAA+LiberationSans-Bold        36.00   158.045   155.373  0.9831  'Template'
DAAAAA+Carlito-Bold               14.00   101.099   100.928  0.9983  'Customer Service'
AAAAAA+Carlito-Regular             9.01   120.362   119.966  0.9967  'Providing support and assistance'
AAAAAA+Carlito-Regular             9.01   127.717   127.150  0.9956  'before, during, and after purchase.'
AAAAAA+Carlito-Regular             9.01   106.093   105.803  0.9973  'Leads to repeat business and'
AAAAAA+Carlito-Regular             9.01    89.521    88.984  0.9940  'positive word-of-mouth.'
DAAAAA+Carlito-Bold               14.00    91.266    91.095  0.9981  'Product Quality'
BAAAAA+DejaVuSans                  9.01    97.884    97.567  0.9968  'Meeting or exceeding'
BAAAAA+DejaVuSans                  9.01   125.429   125.270  0.9987  'customer expectations with'
BAAAAA+DejaVuSans                  9.01   120.459   120.261  0.9984  'durable, reliable, and well-'
BAAAAA+DejaVuSans                  9.01   125.574   125.217  0.9972  'performing products. Builds'
BAAAAA+DejaVuSans                  9.01   122.304   121.018  0.9895  'trust and customer loyalty.'
DAAAAA+Carlito-Bold               14.00    63.069    62.693  0.9940  'Innovation'
BAAAAA+DejaVuSans                  9.01    89.763    89.565  0.9978  'Creating new ideas,'
BAAAAA+DejaVuSans                  9.01   108.804   108.606  0.9982  'products, or methods to'
BAAAAA+DejaVuSans                  9.01   121.093   121.093  1.0000  'stay ahead of competition.'
BAAAAA+DejaVuSans                  9.01   118.157   117.638  0.9956  'Drives market growth and'
BAAAAA+DejaVuSans                  9.01    90.807    89.323  0.9837  'improves efficiency.'
DAAAAA+Carlito-Bold               14.00    83.478    82.945  0.9936  'Cost Efficiency'
BAAAAA+DejaVuSans                  9.01   120.627   120.468  0.9987  'Minimizing expenses while'
BAAAAA+DejaVuSans                  9.01   120.424   119.139  0.9893  'maintaining quality. Offers'
BAAAAA+DejaVuSans                  9.01   106.995   106.995  1.0000  'competitive pricing and'
BAAAAA+DejaVuSans                  9.01    86.418    84.935  0.9828  'higher profitability.'
DAAAAA+Carlito-Bold               14.00   102.904   102.124  0.9924  'Brand Reputation'
BAAAAA+DejaVuSans                  9.01   106.344   105.824  0.9951  'Positive perception of a'
BAAAAA+DejaVuSans                  9.01   119.355   119.196  0.9987  "company's brand. Attracts"
BAAAAA+DejaVuSans                  9.01   103.923   103.725  0.9981  'and retains customers,'
BAAAAA+DejaVuSans                  9.01   115.428   115.230  0.9983  'enables premium pricing,'
BAAAAA+DejaVuSans                  9.01    73.945    73.747  0.9973  'and strengthens'
BAAAAA+DejaVuSans                  9.01   107.352   107.352  1.0000  'competitive advantage.'
AAAAAA+Carlito-Regular            11.00    35.208    35.743  1.0152  'Product'
AAAAAA+Carlito-Regular            11.00    32.157    32.775  1.0192  'Quality'
AAAAAA+Carlito-Regular            11.00    48.070    48.712  1.0134  'Innovation'
AAAAAA+Carlito-Regular            11.00    26.642    26.886  1.0091  'Brand'
AAAAAA+Carlito-Regular            11.00    49.659    50.217  1.0112  'Reputation'
AAAAAA+Carlito-Regular            11.00    19.650    19.887  1.0120  'Cost'
AAAAAA+Carlito-Regular            11.00    42.307    42.804  1.0117  'Efficiency'
AAAAAA+Carlito-Regular            11.00    43.521    44.187  1.0153  'Customer'
AAAAAA+Carlito-Regular            11.00    31.975    32.681  1.0221  'Service'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '70'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '90'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '30'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '45'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '85'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '80'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '75'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '60'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '35'
DAAAAA+Carlito-Bold               11.96    12.126    12.141  1.0013  '40'
AAAAAA+Carlito-Regular            14.00    58.597    59.220  1.0106  'Our Brand'
AAAAAA+Carlito-Regular            14.00    70.706    71.761  1.0149  'Competition'
DAAAAA+Carlito-Bold               11.99    18.126    18.126  1.0000  '+15'
DAAAAA+Carlito-Bold               11.99    18.126    18.126  1.0000  '+10'
DAAAAA+Carlito-Bold               11.99    18.126    18.126  1.0000  '+45'
DAAAAA+Carlito-Bold               11.99    15.825    15.825  1.0000  '-10'
DAAAAA+Carlito-Bold               11.99    15.825    15.825  1.0000  '-30'
