== block ==
BT
56.58 496.998 Td /F2 36 Tf[<01>-11<02>-76<03>-152<04>-105<05>-122<06>-144<07>-65<06>-144<07>-65<08>-94<05>-122<09>-70<0A>-51<0B>-105<08>-95<0C>-118<0D>-101<06>-144<0C>-118<0E>-105<05>-121<09>-71<01>-11<0C>-118<0F>-103<0B>-105<09>-70<10>56<09>]TJ

== drawn with /F2 = CAAAAA+LiberationSans-Bold at 36.0 pt (FirstChar 0, 20 widths)

 ch code       W     adj    drawn  implied
'C'    1   722.0   -11.0   25.992   26.388
'o'    2   610.0   -76.0   21.960   24.696
'm'    3   889.0  -152.0   32.004   37.476
'p'    4   610.0  -105.0   21.960   25.740
'e'    5   556.0  -122.0   20.016   24.408
't'    6   333.0  -144.0   11.988   17.172
'i'    7   277.0   -65.0    9.972   12.312
't'    6   333.0  -144.0   11.988   17.172
'i'    7   277.0   -65.0    9.972   12.312
'v'    8   556.0   -94.0   20.016   23.400
'e'    5   556.0  -122.0   20.016   24.408
' '    9   277.0   -70.0    9.972   12.492
'A'   10   722.0   -51.0   25.992   27.828
'd'   11   610.0  -105.0   21.960   25.740
'v'    8   556.0   -95.0   20.016   23.436
'a'   12   556.0  -118.0   20.016   24.264
'n'   13   610.0  -101.0   21.960   25.596
't'    6   333.0  -144.0   11.988   17.172
'a'   12   556.0  -118.0   20.016   24.264
'g'   14   610.0  -105.0   21.960   25.740
'e'    5   556.0  -121.0   20.016   24.372
' '    9   277.0   -71.0    9.972   12.528
'C'    1   722.0   -11.0   25.992   26.388
'a'   12   556.0  -118.0   20.016   24.264
'r'   15   389.0  -103.0   14.004   17.712
'd'   11   610.0  -105.0   21.960   25.740
' '    9   277.0   -70.0    9.972   12.492
'–'   16   556.0    56.0   20.016   18.000
' '    9   277.0     0.0    9.972    9.972

string = 'Competitive Advantage Card – '
implied total = 623.484 pt   drawn total = 531.684 pt
