document	line	connector	measure	diagonal	stroked
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144.ods	0	30	0	28	30
017_Timeline_Templates_for_Excel_b88faee6.ods	0	1	0	0	1
apron-area.ods	41	0	0	0	41
