document	cell_maps	number_maps	other_maps	calcext
086_Simple_grey_invoice_Use_this_template_063b3773.ods	0	19	0	0
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e.ods	0	18	0	0
007_Contextures_chart_sample_667d8e47.ods	0	21	0	0
010_Contextures_chart_sample_e6ea06a3.ods	0	18	0	0
028_Budget_summary_report_4aeefd13.ods	31	22	0	3
030_Basic_balance_sheet_Use_this_template_10ed9144.ods	0	18	0	0
042_Business_monthly_budget_4e4d092f.ods	20	20	0	8
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.ods	2	19	0	1
060_Monthly_company_budget_47b2a99a.ods	0	20	0	0
066_Agile_Gantt_chart_08f9de45.ods	53	19	0	21
071_Four-week_project_timeline_Use_this_template_4f05db49.ods	20	18	0	3
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a.ods	10	18	0	2
002_Contextures_chart_sample_f605e7bc.ods	0	18	0	0
009_Contextures_chart_sample_adcb3f6c.ods	0	19	0	0
012_Contextures_chart_sample_9900da76.ods	0	18	0	0
013_Contextures_chart_sample_21b98e22.ods	0	18	0	0
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39.ods	0	18	0	0
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.ods	0	29	0	0
036_Simple_to-do_list_Use_this_template_ba44373b.ods	17	19	0	4
068_Blue_inventory_list_Use_this_template_f9908489.ods	1	21	0	1
080_Profit_and_loss_income_statement_3566dae9.ods	0	22	0	0
097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed.ods	0	18	0	0
001_Contextures_chart_sample_b089bc34.ods	0	18	0	0
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.ods	16	20	0	4
031_Business_expense_budget_f3a46278.ods	5	24	0	5
032_Business_expenses_budget_d377eaab.ods	33	21	0	5
033_Event_planning_tracker_Use_this_template_f29a848e.ods	0	18	0	0
