doc	status	ref_rules	agree	disagree
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx.pdf	ok	9	5	3
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx.pdf	ok	6	2	4
037_Personal_money_tracker_a57957bb__xlsx.pdf	ok	4	1	3
048_Expense_trends_budget_18d1e8ba__xlsx.pdf	ok	37	0	37
049_Expenses_calculator_c351f3d0__xlsx.pdf	ok	2	0	2
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a__xlsx.pdf	ok	28	0	28
078_Modern_inventory_list_Use_this_template_41abd5bf__xlsx.pdf	ok	28	0	28
079_Org_charts_visual_248d1dcf__xlsx.pdf	ok	2	0	2
085_Simple_Gantt_chart_d65b8377__xlsx.pdf	ok	5	3	2
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx.pdf	ok	2	0	2
7-memento-2015-transports-aeriens-b__xls.pdf	ok	67	4	62
Aircraft_Database__xlsx.pdf	ok	356	348	8
CSJU List of Recipients of funds 2013-2020__xlsx.pdf	ok	5	1	3
Company_Seniority_Date_Calculator__xlsx.pdf	ok	28	18	10
FAA-2019-0995-0002_attachment_2__xlsx.pdf	ok	2	0	2
FMMO_NMPF_37C__xlsx.pdf	ok	17	0	17
INDEX_Digital_Transformation_Toolkits__xls.pdf	ok	1	0	1
NAS-Infrastructure-Roadmaps-v16.0__pptx.pdf	ok	4	3	1
NCW-2024-Guide-__pptx.pdf	ok	27	26	1
Performance__xlsx.pdf	ok	13	12	1
Published_Issuances_2024__xlsx.pdf	ok	40	0	40
RMP 2011-2014 and Inventory__xls.pdf	ok	86	0	86
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx.pdf	ok	5	0	0
TICAPCapability_Final__xls.pdf	ok	8	0	0
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm__xlsx.pdf	ok	7	0	7
apron-area__xls.pdf	ok	10	9	1
atspp_pay_tables__xlsx.pdf	ok	120	60	45
dragon-175066A__xlsx.pdf	ok	52	52	0
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx.pdf	ok	20	0	20
fm-provider-service-measures__xlsx.pdf	ok	183	0	38
seihon_zassi_kikou_20221215__xlsx.pdf	ok	588	0	420
