reference /opt/libreoffice26.2/program/soffice -- LibreOffice 26.2.4.2 0229ac93fcf0d7cbc6376066c6f35021cef002dc
ours      /home/user/wt-wordsclose/dotnet/tools/Paperless.Cli/bin/Debug/net10.0/linux-x64/Paperless.Cli
fixture                             ref x    ref y    our x    our y  verdict
pic-none-fit-c15                   200.00   299.75   200.00   300.00  agree
pic-none-hdr-c15                        -                 -           NO BAND
pic-none-hleft-c15                   0.00   299.75     0.00   300.00  agree
pic-none-hright-c15                555.25   299.75   555.25   300.00  agree
pic-none-vabove-c15                200.00     0.00   200.00     0.00  agree
pic-none-vbelow-c15                200.00   821.75   200.00   821.75  agree
pic-none-vbody-c14                 200.00    19.75   200.00    20.00  agree
pic-none-vbody-c15                 200.00    19.75   200.00    20.00  agree
pic-square-fit-c15                 200.00   299.75   200.00   300.00  agree
pic-square-hdr-c15                      -                 -           NO BAND
pic-square-hleft-c15                 0.00   299.75     0.00   300.00  agree
pic-square-hright-c15              495.25   299.75   555.25   300.00  dx +60.00 dy +0.25
pic-square-vabove-c15              200.00     0.00   200.00     0.00  agree
pic-square-vbelow-c15              200.00   801.75   200.00   821.75  dx +0.00 dy +20.00
pic-square-vbody-c14               200.00    19.75   200.00    20.00  agree
pic-square-vbody-c15               200.00    71.75   200.00    20.00  dx +0.00 dy -51.75
pic-through-fit-c15                200.00   299.75   200.00   300.00  agree
pic-through-hleft-c15                0.00   299.75     0.00   300.00  agree
pic-through-vabove-c15             200.00     0.00   200.00     0.00  agree
pic-through-vbody-c14              200.00    19.75   200.00    20.00  agree
pic-through-vbody-c15              200.00    71.75   200.00    20.00  dx +0.00 dy -51.75
pic-tight-fit-c15                  200.00   299.75   200.00   300.00  agree
pic-tight-hleft-c15                  0.00   299.75     0.00   300.00  agree
pic-tight-vabove-c15               200.00     0.00   200.00     0.00  agree
pic-tight-vbody-c14                200.00    19.75   200.00    20.00  agree
pic-tight-vbody-c15                200.00    71.75   200.00    20.00  dx +0.00 dy -51.75
pic-topAndBottom-fit-c15           200.00   299.75   200.00   300.00  agree
pic-topAndBottom-hleft-c15           0.00   299.75     0.00   300.00  agree
pic-topAndBottom-vabove-c15        200.00     0.00   200.00     0.00  agree
pic-topAndBottom-vbody-c14         200.00    19.75   200.00    20.00  agree
pic-topAndBottom-vbody-c15         200.00    71.75   200.00    20.00  dx +0.00 dy -51.75
shape-none-fit-c15                 200.00   300.00   200.00   300.00  agree
shape-none-hdr-c15                 200.00    36.00   200.00    36.00  agree
shape-none-hleft-c15                 0.00   300.00     0.00   300.00  agree
shape-none-hright-c15              555.25   300.00   555.25   300.00  agree
shape-none-vabove-c15              200.00     0.00   200.00     0.00  agree
shape-none-vbelow-c15              200.00   822.00   200.00   822.00  agree
shape-none-vbody-c14               200.00    20.00   200.00    20.00  agree
shape-none-vbody-c15               200.00    20.00   200.00    20.00  agree
shape-square-fit-c15               200.00   300.00   200.00   300.00  agree
shape-square-hdr-c15               200.00    36.00   200.00    36.00  agree
shape-square-hleft-c15               0.00   300.00     0.00   300.00  agree
shape-square-hright-c15            555.25   300.00   555.25   300.00  agree
shape-square-vabove-c15            200.00     0.00   200.00     0.00  agree
shape-square-vbelow-c15            200.00   822.00   200.00   822.00  agree
shape-square-vbody-c14             200.00    20.00   200.00    20.00  agree
shape-square-vbody-c15             200.00    20.00   200.00    20.00  agree
