run	shape	cats	size	cx	pitch_calib	text	advance	label_adv	lang	arrangement	lines	pitch_drawn
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnni	106.392|103.063	106.392	de-DE	turned	0	nan
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnn	106.392|106.392	106.392	de-DE	turned	0	nan
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnt	106.392|104.249	106.392	de-DE	turned	0	nan
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnr	106.392|98.492	106.392	de-DE	upright	1	216.797
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnrr	106.392|102.415	106.392	de-DE	turned	0	nan
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnttr	106.392|106.029	106.392	de-DE	turned	0	nan
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnsss	106.392|101.860	106.392	de-DE	turned	0	nan
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnntt	106.392|96.196	106.392	de-DE	upright	1	216.797
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnntts	106.392|100.596	106.392	de-DE	turned	0	nan
w11	one	5	11	7170420	108.401	nnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnttss	106.392|99.086	106.392	de-DE	upright	1	216.797
w12	one	5	11	3140000	47.470	nnnnnnnn|nnnnnnn	47.285|41.375	47.285	de-DE	upright	1	94.780
w12	one	5	11	3150000	47.621	nnnnnnnn|nnnnnnn	47.285|41.375	47.285	de-DE	upright	1	95.149
w12	one	5	11	3160000	47.772	nnnnnnnn|nnnnnnn	47.285|41.375	47.285	de-DE	upright	1	95.559
w12	one	5	11	3170000	47.923	nnnnnnnn|nnnnnnn	47.285|41.375	47.285	de-DE	upright	1	95.843
w12	one	5	11	3180000	48.075	nnnnnnnn|nnnnnnn	47.285|41.375	47.285	de-DE	upright	1	96.140
w12	one	5	11	3190000	48.226	nnnnnnnn|nnnnnnn	47.285|41.375	47.285	de-DE	upright	1	96.452
w12	one	5	11	3200000	48.377	nnnnnnnn|nnnnnnn	47.285|41.375	47.285	de-DE	upright	1	96.764
w12	one	5	11	4715000	71.280	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	turned	0	133.998
w12	one	5	11	4727500	71.469	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	turned	0	134.409
w12	one	5	11	4740000	71.658	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	turned	0	134.806
w12	one	5	11	4752500	71.847	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	turned	0	135.230
w12	one	5	11	4765000	72.036	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	144.089
w12	one	5	11	4777500	72.225	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	144.442
w12	one	5	11	4790000	72.414	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	144.826
w12	one	5	11	4795000	72.490	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	144.982
w12	one	5	11	4803000	72.611	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	145.237
w12	one	5	11	4811000	72.732	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	145.463
w12	one	5	11	4819000	72.853	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	145.704
w12	one	5	11	4827000	72.974	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	145.931
w12	one	5	11	4835000	73.095	nnnnnnnnnnnn|nnnnnnnnnnn	70.928|65.017	70.928	de-DE	upright	1	146.200
w12	one	5	11	7850000	118.675	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
w12	one	5	11	7890000	119.279	nnnnnnnnnnnnnnnnnnnn|nnnnnnnnnnnnnnnnnnn	118.213|112.302	118.213	de-DE	turned	0	nan
