page	table	row	col	x0	x1	y0	y1	top	bottom	left	right	firstRow	rowEnd	areaY	areaBottom
3	1	2	5	600.500	707.850	406.475	435.325	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	2	6	707.850	818.450	406.475	435.325	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	3	0	56.450	239.050	435.325	464.175	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	3	1	239.050	345.350	435.325	464.175	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	3	2	345.350	359.550	435.325	464.175	none	none	0.500	0.500	0	5	362.875	493.275
3	1	3	3	359.550	483.200	435.325	464.175	0.500	none	0.500	0.500	0	5	362.875	493.275
3	1	3	4	483.200	600.500	435.325	464.175	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	3	5	600.500	707.850	435.325	464.175	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	3	6	707.850	818.450	435.325	464.175	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	4	0	56.450	239.050	464.175	493.025	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	4	1	239.050	345.350	464.175	493.025	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	4	2	345.350	359.550	464.175	493.025	none	none	0.500	0.500	0	5	362.875	493.275
3	1	4	3	359.550	483.200	464.175	493.025	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	4	4	483.200	600.500	464.175	493.025	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	4	5	600.500	707.850	464.175	493.025	0.500	0.500	0.500	0.500	0	5	362.875	493.275
3	1	4	6	707.850	818.450	464.175	493.025	0.500	0.500	0.500	0.500	0	5	362.875	493.275
4	0	0	0	28.350	113.400	202.525	231.025	0.500	0.500	0.500	0.500	0	13	202.275	522.475
4	0	0	1	113.400	148.850	202.525	231.025	0.500	0.500	0.500	0.500	0	13	202.275	522.475
4	0	0	2	148.850	812.850	202.525	231.025	0.500	0.500	0.500	0.500	0	13	202.275	522.475
4	0	1	0	28.350	113.400	231.025	243.025	0.500	0.500	0.500	0.500	0	13	202.275	522.475
4	0	1	1	113.400	148.850	231.025	243.025	0.500	0.500	0.500	0.500	0	13	202.275	522.475
4	0	1	2	148.850	812.850	231.025	243.025	0.500	0.500	0.500	0.500	0	13	202.275	522.475
4	0	2	0	28.350	113.400	243.025	253.875	0.500	0.500	0.500	0.500	0	13	202.275	522.475
