page	table	row	col	x0	x1	y0	y1	top	bottom	left	right	firstRow	rowEnd	areaY	areaBottom
8	0	0	12	693.900	764.950	87.600	200.000	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	1	4	307.500	355.150	145.500	200.000	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	1	6	355.150	398.700	145.500	200.000	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	1	8	398.700	437.700	145.500	200.000	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	0	64.950	139.400	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	1	139.400	205.300	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	2	205.300	255.750	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	3	255.750	307.500	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	4	307.500	355.150	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	6	355.150	398.700	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	8	398.700	437.700	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	9	437.700	538.150	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	10	538.150	623.200	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	11	623.200	693.900	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	2	12	693.900	764.950	200.000	249.300	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	0	64.950	139.400	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	1	139.400	205.300	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	2	205.300	255.750	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	3	255.750	307.500	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	4	307.500	437.700	249.300	298.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	9	437.700	538.150	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	10	538.150	623.200	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	11	623.200	693.900	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	3	12	693.900	764.950	249.300	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	4	4	307.500	352.600	298.600	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	4	5	352.600	394.650	298.600	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	4	7	394.650	437.700	298.600	361.700	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	0	64.950	139.400	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	1	139.400	205.300	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	2	205.300	255.750	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	3	255.750	307.500	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	4	307.500	352.600	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	5	352.600	394.650	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	7	394.650	437.700	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	9	437.700	538.150	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	10	538.150	623.200	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	11	623.200	693.900	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	5	12	693.900	764.950	361.700	402.400	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	0	64.950	139.400	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	1	139.400	205.300	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	2	205.300	255.750	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	3	255.750	307.500	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	4	307.500	352.600	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	5	352.600	394.650	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	7	394.650	437.700	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	9	437.700	538.150	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	10	538.150	623.200	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	11	623.200	693.900	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	6	12	693.900	764.950	402.400	435.600	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	7	0	64.950	623.200	435.600	468.800	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	7	11	623.200	693.900	435.600	468.800	0.500	0.500	0.500	0.500	0	8	87.350	469.050
8	0	7	12	693.900	764.950	435.600	468.800	0.500	0.500	0.500	0.500	0	8	87.350	469.050
