size   bold    y_ours     y_ref        D   predict    resid       dx
6.0    1       612.69    606.65    6.040     5.641    0.399    -0.04
8.0    1       611.19    604.59    6.600     6.236    0.364     0.17
10.0   1       609.69    602.47    7.220     6.831    0.389    -0.13
12.0   1       607.45    599.64    7.810     7.427    0.383     0.05
14.0   1       605.21    596.82    8.390     8.022    0.368     0.24
18.0   1       601.44    591.87    9.570     9.213    0.357     0.15
22.0   1       597.70    586.92   10.780    10.431    0.349     0.01
28.0   1       592.45    579.91   12.540    12.217    0.323     0.10
36.0   1       584.20    569.28   14.920    14.627    0.293     0.38
6.0    0       612.69    606.65    6.040     5.641    0.399    -0.03
8.0    0       611.19    604.59    6.600     6.236    0.364     0.17
10.0   0       609.69    602.47    7.220     6.831    0.389    -0.15
12.0   0       607.45    599.64    7.810     7.427    0.383     0.04
14.0   0       605.21    596.82    8.390     8.022    0.368     0.23
18.0   0       601.44    591.87    9.570     9.213    0.357     0.12
22.0   0       597.70    586.92   10.780    10.431    0.349     0.00
28.0   0       592.45    579.91   12.540    12.217    0.323     0.07
36.0   0       584.20    569.28   14.920    14.627    0.293     0.34
