doc	charts	nofill_ser	nofill_reaching	nofill_with_marker	nofill_radar	nofill_frame_border	marker_sppr	dpt_marker_sppr	dpt_nofill	odf_charts	nofill_kinds	marker_detail
batch-001/xls/REDAC_SCHEDULE_RPD_135.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-001/xls/RPD 155 REDAC SCHEDULE 2014-04-02.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/xls/P1636e.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/xls/REDAC_SCHEDULE_RPD_137.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-003/xls/4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-003/xls/NPA_21_21_Sentenced_Comments.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-003/xls/disclosures_ecm.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-003/xls/programs contact list as of 07-01-10.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-004/xls/permit-applications-determined-july-2015.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-005/xls/Background_Declaration_Template.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-005/xls/Praktikastellen_-_chinesischsprachiger_Kulturraum.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-005/xls/SectorAdvisoryGroupandStrategyBoards.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-005/xls/apron-area.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-005/xls/cy10_primary_enplanements.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-006/xls/Hazard Analysis Template.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-006/xls/ZenithAviation_AuctionList.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-007/xls/CSA_CCM_v1.2.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-008/xls/ACRONYM.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-008/xls/Liste-Zertifizierung-ChemKlimaschutzV-RPT.xls	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
