doc	charts	nofill_ser	nofill_reaching	nofill_with_marker	nofill_radar	nofill_frame_border	marker_sppr	dpt_marker_sppr	dpt_nofill	odf_charts	nofill_kinds	marker_detail
batch-001/ppt/WC_Update-Aug03.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-001/ppt/policy-pesentation.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-001/ppt/wells08_basic.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-003/ppt/010605Vul.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
batch-003/ppt/outlook_of_nigerian_pension_sector.ppt	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	not-a-zip	
