deck              size   n  c region.w  spacing bottom shows  rot?  agree
fine-z1000-n15-w7480000  10.0  15  6   512.11   34.140  46.63     0  True  ok
fine-z1000-n15-w7495000  10.0  15  6   513.21   34.214  46.63     0  True  ok
fine-z1000-n15-w7510000  10.0  15  6   514.35   34.290  46.63     0  True  ok
fine-z1000-n15-w7525000  10.0  15  6   515.48   34.365  46.63     0  True  ok
fine-z1000-n15-w7540000  10.0  15  6   516.64   34.443  46.63     0  True  ok
fine-z1000-n15-w7555000  10.0  15  6   517.78   34.518  46.63     0  True  ok
fine-z1000-n15-w7570000  10.0  15  6   518.91   34.594  46.63     0  True  ok
fine-z1000-n15-w7585000  10.0  15  6   520.02   34.668  46.63     0  True  ok
fine-z1000-n15-w7600000  10.0  15  6   521.15   34.743  46.63     0  True  ok
fine-z1000-n15-w7615000  10.0  15  6   522.28   34.819  46.63     0  True  ok
fine-z1000-n15-w7630000  10.0  15  6   523.45   34.896  46.63     0  True  ok
fine-z1000-n15-w7645000  10.0  15  6   524.58   34.972  46.63     0  True  ok
fine-z1000-n15-w7660000  10.0  15  6   525.71   35.048  46.63     0  True  ok
fine-z1000-n15-w7675000  10.0  15  6   526.82   35.121  46.63     0  True  ok
fine-z1000-n15-w7690000  10.0  15  6   527.95   35.197  25.11    15 False  ok
fine-z1000-n15-w7705000  10.0  15  6   529.09   35.272  25.11    15 False  ok
fine-z1000-n15-w7720000  10.0  15  6   530.25   35.350  25.11    15 False  ok
fine-z1000-n15-w7735000  10.0  15  6   531.38   35.426  25.11    15 False  ok
fine-z1000-n15-w7750000  10.0  15  6   532.52   35.501  25.11    15 False  ok
fine-z1000-n15-w7765000  10.0  15  6   533.62   35.575  25.11    15 False  ok
fine-z1000-n15-w7780000  10.0  15  6   534.76   35.650  25.11    15 False  ok
fine-z1000-n15-w7795000  10.0  15  6   535.89   35.726  25.11    15 False  ok
fine-z1000-n15-w7810000  10.0  15  6   537.05   35.803  25.11    15 False  ok
fine-z1000-n15-w7825000  10.0  15  6   538.19   35.879  25.11    15 False  ok
fine-z1000-n15-w7840000  10.0  15  6   539.32   35.955  25.11    15 False  ok
fine-z1000-n15-w7855000  10.0  15  6   540.43   36.028  25.11    15 False  ok
fine-z1000-n15-w7870000  10.0  15  6   541.56   36.104  25.11    15 False  ok
fine-z1000-n15-w7885000  10.0  15  6   542.69   36.180  25.11    15 False  ok
fine-z1000-n15-w7900000  10.0  15  6   543.86   36.257  25.11    15 False  ok
fine-z1000-n15-w7915000  10.0  15  6   544.99   36.333  25.11    15 False  ok
fine-z1000-n15-w7930000  10.0  15  6   546.12   36.408  25.11    15 False  ok
fine-z1000-n15-w7945000  10.0  15  6   547.23   36.482  25.11    15 False  ok
fine-z1000-n15-w7960000  10.0  15  6   548.36   36.557  25.11    15 False  ok
fine-z1100-n13-w7560000  11.0  13  6   518.12   39.855  51.53     0  True  ok
fine-z1100-n13-w7575000  11.0  13  6   519.31   39.947  51.53     0  True  ok
fine-z1100-n13-w7590000  11.0  13  6   520.41   40.032  51.53     0  True  ok
fine-z1100-n13-w7605000  11.0  13  6   521.55   40.119  51.53     0  True  ok
fine-z1100-n13-w7620000  11.0  13  6   522.68   40.206  51.53     0  True  ok
fine-z1100-n13-w7635000  11.0  13  6   523.79   40.291  51.53     0  True  ok
fine-z1100-n13-w7650000  11.0  13  6   524.92   40.378  51.53     0  True  ok
fine-z1100-n13-w7665000  11.0  13  6   526.11   40.470  51.53     0  True  ok
fine-z1100-n13-w7680000  11.0  13  6   527.22   40.555  51.53     0  True  ok
fine-z1100-n13-w7695000  11.0  13  6   528.35   40.642  26.62    13 False  ok
fine-z1100-n13-w7710000  11.0  13  6   529.48   40.729  26.62    13 False  ok
fine-z1100-n13-w7725000  11.0  13  6   530.59   40.815  26.62    13 False  ok
fine-z1100-n13-w7740000  11.0  13  6   531.72   40.902  26.62    13 False  ok
fine-z1100-n13-w7755000  11.0  13  6   532.91   40.993  26.62    13 False  ok
fine-z1100-n13-w7770000  11.0  13  6   534.02   41.078  26.62    13 False  ok
fine-z1100-n13-w7785000  11.0  13  6   535.15   41.166  26.62    13 False  ok
fine-z1100-n13-w7800000  11.0  13  6   536.29   41.253  26.62    13 False  ok
fine-z1100-n13-w7815000  11.0  13  6   537.39   41.338  26.62    13 False  ok
fine-z1100-n13-w7830000  11.0  13  6   538.53   41.425  26.62    13 False  ok
fine-z1100-n13-w7845000  11.0  13  6   539.72   41.517  26.62    13 False  ok
fine-z1100-n13-w7860000  11.0  13  6   540.82   41.602  26.62    13 False  ok
fine-z1100-n13-w7875000  11.0  13  6   541.96   41.689  26.62    13 False  ok
fine-z1100-n13-w7890000  11.0  13  6   543.09   41.776  26.62    13 False  ok
fine-z1100-n13-w7905000  11.0  13  6   544.20   41.861  26.62    13 False  ok
fine-z1100-n13-w7920000  11.0  13  6   545.33   41.948  26.62    13 False  ok
fine-z1100-n13-w7935000  11.0  13  6   546.52   42.040  26.62    13 False  ok
fine-z1100-n13-w7950000  11.0  13  6   547.63   42.125  26.62    13 False  ok
fine-z1100-n13-w7965000  11.0  13  6   548.76   42.212  26.62    13 False  ok
fine-z1100-n13-w7980000  11.0  13  6   549.89   42.299  26.62    13 False  ok
fine-z1100-n13-w7995000  11.0  13  6   551.00   42.384  26.62    13 False  ok
fine-z1100-n13-w8010000  11.0  13  6   552.13   42.472  26.62    13 False  ok
fine-z1100-n13-w8025000  11.0  13  6   553.32   42.563  26.62    13 False  ok
fine-z1100-n13-w8040000  11.0  13  6   554.43   42.648  26.62    13 False  ok

boundaries, and the limit each implies under two rulers
series    size  c s(upright) s(rotated) | quantised L in      | unquantised L in   
fine-z1000  10.0  6    35.197    35.121 | [ 0.9974,  0.9996) | [ 1.0230,  1.0252)
fine-z1100  11.0  6    40.642    40.555 | [ 0.9967,  0.9988) | [ 0.9745,  0.9766)

quantised    intersection over 2 series: [0.9974, 0.9988)  non-empty

unquantised  intersection over 2 series: [1.0230, 0.9766)  EMPTY
