# words = tokens carrying at least one Unicode letter or digit; rawwords = pdftotext | wc -w
# NOT comparable to any scoreboard recorded before 2026-08-13 — see dotnet/probes/gate-01/results.md
path	ext	pages	words	fonts	unemb	verdict	rawwords
words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	docx	1/1	2/4	2/1	0	match	2/6
words/chartset-006/docx/088_Printable_Graph_Paper_Template_Quality_layout_33051f6e.DOCX	docx	1/1	2/2	1/1	0	match	2/2
words/chartset-006/docx/088_Printable_Graph_Paper_Template_Quality_layout_33051f6e.docx	docx	1/1	2/2	1/1	0	match	2/2
words/chartset-006/docx/093_Business_Case_Template_Customizable_Layout_510c25e7.docx	docx	1/1	34/34	2/2	0	match	34/34
words/chartset-006/docx/097_Business_Case_Template_Elegant_Layout_3ba9cbf2.docx	docx	2/2	54/54	3/3	0	match	54/54
words/chartset-006/docx/099_Business_Case_Template_Gray_Theme_ac3edbf4.docx	docx	1/1	45/45	1/1	0	match	45/45
words/chartset-007/docx/009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0.docx	docx	1/1	44/44	3/3	0	match	44/44
words/chartset-007/docx/018_Project_Timeline_Template_Editable_Format_e1cf1df5.docx	docx	1/1	108/108	2/2	0	match	108/108
words/chartset-007/docx/025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892.docx	docx	1/1	141/141	3/3	0	match	141/141
words/chartset-007/docx/034_Venn_Diagram_Template_Customizable_Format_d14642b7.docx	docx	1/1	13/13	1/1	0	match	16/16
words/chartset-007/docx/049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f.docx	docx	1/1	61/61	2/2	0	match	62/62
words/chartset-007/docx/058_Organogram_Template_With_Picture_Theme_44b79368.docx	docx	1/1	16/16	1/1	0	match	16/16
words/chartset-007/docx/074_Storyboard_Template_Editable_Design_132436d1.docx	docx	1/1	19/19	3/3	0	match	51/51
words/chartset-007/docx/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.DOCX	docx	1/1	6/6	1/1	0	match	9/9
words/chartset-007/docx/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.docx	docx	1/1	6/6	1/1	0	match	9/9
words/chartset-007/docx/089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88.docx	docx	1/1	2/2	1/1	0	match	4/4
words/chartset-007/docx/094_Business_Case_Template_Decent_Layout_e7722f2b.docx	docx	1/1	29/29	2/2	0	match	29/29
words/chartset-008/docx/004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	docx	1/1	37/37	3/3	0	match	37/37
words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	docx	1/1	53/53	3/3	0	match	53/53
words/chartset-008/docx/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	docx	1/1	77/77	3/3	0	match	77/77
words/chartset-008/docx/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.docx	docx	2/2	49/49	2/2	0	match	56/56
words/chartset-008/docx/016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	docx	1/1	159/159	3/3	0	match	159/159
words/chartset-008/docx/035_Venn_Diagram_Template_Editable_Format_966dff5f.docx	docx	1/1	39/39	2/2	0	match	40/40
words/chartset-008/docx/046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	docx	1/1	93/93	2/2	0	match	99/99
words/chartset-008/docx/092_Business_Case_Template_Convenient_Format_00786cce.docx	docx	7/7	1025/1026	2/2	0	match	1027/1028
words/chartset-008/docx/098_Business_Case_Template_Fillable_Layout_d0c5410e.docx	docx	1/1	89/89	2/2	0	match	89/89
words/chartset-008/docx/100_Business_Case_Template_Modern_Format_ff9e7282.docx	docx	5/5	98/101	2/2	0	match	100/103
words/chartset-009/docx/007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	docx	1/1	34/34	3/3	0	match	34/34
words/chartset-009/docx/017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.docx	docx	1/1	86/89	3/3	0	match	86/89
words/chartset-009/docx/019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	docx	1/1	95/95	2/2	0	match	100/100
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	docx	1/1	378/378	3/3	0	match	378/378
words/chartset-009/docx/030_Unit_Circle_Chart_Points_System_23b5ef07.docx	docx	1/1	114/114	3/3	0	match	116/118
words/chartset-009/docx/037_Venn_Diagram_Template_Four_Circle_764829a0.docx	docx	1/1	20/20	1/1	0	match	20/20
words/chartset-009/docx/041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	docx	1/1	30/30	2/2	0	match	33/33
words/chartset-009/docx/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.docx	docx	1/1	85/85	3/3	0	match	87/87
words/chartset-009/docx/077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab.docx	docx	1/1	6/6	3/3	0	match	32/32
words/chartset-009/docx/082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b.docx	docx	1/1	3/3	1/1	0	match	6/6
words/chartset-010/docx/020_Project_Timeline_Template_Modern_Theme_0c215d87.docx	docx	1/1	109/109	2/2	0	match	122/122
words/chartset-010/docx/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	docx	1/1	107/107	3/3	0	match	107/107
words/chartset-010/docx/026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1.docx	docx	1/1	99/99	4/4	0	match	153/153
words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.DOCX	docx	1/1	317/327	3/3	0	words	317/329
words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	docx	1/1	317/327	3/3	0	words	317/329
words/chartset-010/docx/032_Venn_Diagram_Template_Brown_Theme_d5b549f0.docx	docx	1/1	43/43	1/1	0	match	43/43
words/chartset-010/docx/051_Organogram_Template_Basic_Theme_e6464d06.docx	docx	1/1	23/23	2/2	0	match	23/23
words/chartset-010/docx/056_Organogram_Template_Square_Theme_38f373d4.DOCX	docx	1/1	56/56	1/1	0	match	56/56
words/chartset-010/docx/056_Organogram_Template_Square_Theme_38f373d4.docx	docx	1/1	56/56	1/1	0	match	56/56
words/chartset-010/docx/066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248.docx	docx	1/1	54/54	1/2	0	match	54/54
words/chartset-010/docx/067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b.docx	docx	1/1	37/37	1/2	0	match	37/37
words/chartset-010/docx/090_Business_Case_Template_Blue_Theme_108ff0f1.docx	docx	1/1	41/41	2/2	0	match	47/47
words/chartset-011/docx/015_Project_Timeline_Template_Colored_Background_6434b0e8.docx	docx	2/2	50/50	4/4	0	match	54/54
words/chartset-011/docx/022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	docx	1/1	195/195	4/4	0	match	219/219
words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	docx	1/1	111/114	3/3	0	match	111/114
words/chartset-011/docx/039_Venn_Diagram_Template_Simple_Format_6f82661d.docx	docx	1/1	35/35	2/2	0	match	38/38
words/chartset-011/docx/040_Venn_Diagram_Template_Three_Circle_80f32f5e.docx	docx	1/1	52/52	3/3	0	match	61/61
words/chartset-011/docx/043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1.docx	docx	1/1	184/184	3/3	0	match	186/186
words/chartset-011/docx/061_Nursing_Concept_Map_Template_fb9816f0.docx	docx	1/1	21/21	3/3	0	match	23/23
words/chartset-011/docx/064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	docx	1/1	41/41	1/1	0	match	41/41
words/chartset-011/docx/065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62.docx	docx	1/1	28/41	2/2	0	words	28/41
words/chartset-011/docx/068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8.DOCX	docx	1/1	85/86	2/3	0	match	86/87
words/chartset-011/docx/068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8.docx	docx	1/1	85/86	2/3	0	match	86/87
words/chartset-012/docx/008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	docx	1/1	66/70	3/3	0	words	66/70
words/chartset-012/docx/013_Project_Timeline_Template_Blue_Background_4ea3475e.docx	docx	1/1	98/98	3/3	0	match	100/100
words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	docx	1/1	107/107	3/3	0	match	107/107
words/chartset-012/docx/024_Unit_Circle_Chart_Colorful_Circles_7c92601e.docx	docx	1/1	95/105	1/2	0	words	95/105
words/chartset-012/docx/031_Venn_Diagram_Template_Blue_Theme_a9e417b8.docx	docx	1/1	54/55	3/3	0	match	63/64
words/chartset-012/docx/044_Visual_Product_Roadmap_Template_Editable_Format_c232a2c0.docx	docx	1/1	66/67	3/3	0	match	66/67
words/chartset-012/docx/050_Visual_Product_Roadmap_Template_Yellow_and_Blue_Theme_49b50744.docx	docx	1/1	214/214	4/4	0	match	215/215
words/chartset-012/docx/055_Organogram_Template_Horizontal_Structure_28a7e725.docx	docx	1/1	67/67	1/1	0	match	68/68
words/chartset-012/docx/095_Business_Case_Template_Easy_Format_61de7128.docx	docx	1/1	56/56	2/2	0	match	74/74
words/chartset-012/docx/096_Business_Case_Template_Editable_Layout_41fe0bc0.docx	docx	1/1	34/34	2/2	0	match	40/40
words/chartset-013/docx/038_Venn_Diagram_Template_Off_White_and_Blue_Theme_9dff385e.docx	docx	1/1	40/41	3/3	0	match	42/43
words/chartset-013/docx/047_Visual_Product_Roadmap_Template_Professional_Layout_2ff4499e.docx	docx	1/1	51/51	3/3	0	match	55/55
words/chartset-013/docx/048_Visual_Product_Roadmap_Template_Quality_Layout_f38f7aee.docx	docx	1/1	61/61	2/2	0	match	62/62
words/chartset-013/docx/059_Disease_Concept_Map_Template_4acf63f2.docx	docx	1/1	19/19	2/2	0	match	19/19
words/chartset-013/docx/060_Human_Body_Concept_Map_Template_ac872cfb.docx	docx	1/1	29/29	2/2	0	match	29/29
words/chartset-013/docx/069_Work_Breakdown_Structure_Template_Professional_Format_1e02dce1.docx	docx	1/1	108/117	1/1	0	words	110/119
words/chartset-013/docx/072_Storyboard_Template_Colored_Theme_28524a15.docx	docx	1/1	43/43	2/2	0	match	64/64
words/chartset-013/docx/073_Storyboard_Template_Easy_to_Use_44ce05fc.docx	docx	1/1	46/46	3/3	0	match	57/54
words/chartset-013/docx/075_Storyboard_Template_Fillable_Format_7fa01641.docx	docx	1/1	61/61	3/3	0	match	109/109
