identity	sum|ink|%	pages	major
001_advanced_excel_bar__xlsx	1.53	3	2
002_advanced_excel_line__xlsx	0.32	3	0
003_Contextures_chart_sample_9bda2719__xlsm	0.67	6	1
003_advanced_excel_pie__xlsx	0.66	3	1
004_advanced_excel_doughnut__xlsx	1.09	3	1
005_Contextures_chart_sample_6e279b08__xlsx	3.12	8	3
005_advanced_excel_area__xlsx	2.49	3	2
006_Contextures_chart_sample_afa23b53__xlsx	0.51	5	0
006_advanced_excel_scatter__xlsx	0.24	3	0
007_advanced_excel_bubble__xlsx	0.67	3	0
008_Contextures_chart_sample_7ea7a1d7__xlsx	0.53	5	1
008_advanced_excel_radar__xlsx	0.21	3	0
009_advanced_excel_bar__xlsx	1.43	3	2
010_Contextures_chart_sample_e6ea06a3__xlsx	0.44	6	0
010_advanced_excel_line__xlsx	0.34	3	0
011_advanced_excel_pie__xlsx	0.68	3	1
012_Contextures_chart_sample_9900da76__xlsx	0.35	6	1
012_advanced_excel_doughnut__xlsx	1.13	3	1
013_Contextures_chart_sample_21b98e22__xlsx	0.44	7	1
013_advanced_excel_area__xlsx	2.42	3	2
014_Contextures_chart_sample_991ecfc5__xls	1.11	3	0
014_advanced_excel_scatter__xlsx	0.41	3	0
015_advanced_excel_bubble__xlsx	0.58	3	0
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	2.18	4	0
016_advanced_excel_radar__xlsx	0.20	3	0
017_advanced_excel_bar__xlsx	1.54	3	2
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	2.46	10	0
018_advanced_excel_line__xlsx	0.30	3	0
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	6.18	9	2
019_advanced_excel_pie__xlsx	0.65	3	1
020_advanced_excel_doughnut__xlsx	1.09	3	1
021_advanced_excel_area__xlsx	2.46	3	2
022_advanced_excel_scatter__xlsx	0.39	3	0
023_advanced_excel_bubble__xlsx	0.88	3	0
024_advanced_excel_radar__xlsx	0.22	3	0
025_advanced_excel_bar__xlsx	1.38	3	2
026_advanced_excel_line__xlsx	0.31	3	0
027_advanced_excel_pie__xlsx	0.67	3	1
028_advanced_excel_doughnut__xlsx	1.09	3	1
029_advanced_excel_area__xlsx	2.48	3	2
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	2.52	8	4
030_advanced_excel_scatter__xlsx	0.40	3	0
031_advanced_excel_bubble__xlsx	0.63	3	1
032_Business_expenses_budget_d377eaab__xlsx	1.26	4	0
032_advanced_excel_radar__xlsx	0.19	3	0
033_advanced_excel_bar__xlsx	1.52	3	2
034_advanced_excel_line__xlsx	0.35	3	0
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	3.31	4	3
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	8.39	5	4
049_Expenses_calculator_c351f3d0__xlsx	2.19	4	2
053_Personal_asset_inventory_5446d84b__xlsx	0.00	0	0
056_Quarterly_sale_report_baa6bb0d__xlsx	0.25	4	1
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx	0.14	3	0
062_Run_chart_cb7476ea__xlsx	3.51	2	1
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	3.54	7	3
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	0.15	4	0
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx	0.00	0	0
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	2.01	9	2
Air_Boss_Master_List__xlsx	2.47	5	3
Application_Compliance_Checklist_5_Apr_2021__xlsx	6.54	14	2
CSJU List of Recipients of funds 2013-2020__xlsx	65.04	97	10
DynamicBubbleChart__xlsx	9.05	5	2
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	14.16	24	6
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	4.06	16	4
INDEX_Digital_Transformation_Toolkits__xls	1.50	24	0
Keywords_Mapping_Graphs_and_Charts__xlsx	14.34	46	13
PC1000__xls	2.77	13	0
Part_129_Operators__xlsx	0.47	23	0
SIL_TDB605__xls	1.99	44	1
SIL_TDB609__xls	2.73	50	1
SIL_TDB648__xlsx	9.51	90	3
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	0.69	4	0
Special-Procedures_2025-07-10__xls	0.16	22	0
TDA_Smoke-Detectors__xlsx	12.67	28	4
TOGAF9-Tool-ConfReqts-CSQ__xls	16.88	28	4
Template Pilot Logbook JAR-FCL V3.0__xls	4.18	38	2
apron-area__xls	1.41	3	1
arp-sop-300-Exhibit-A-Table-Templates__xlsx	1.70	11	1
fm-provider-service-measures__xlsx	21.95	38	6
microsoft_learn_multi_chart_examples__xlsx	8.98	5	5
orbus_togaf_tool_csq__xls	51.74	75	24
