identity	sum|ink|%	pages	major	gate
TK-Syllabus-Comparison-Document-v2__xlsx	304.57	1235	142	match
alle einzeln__xlsx	225.44	186	36	match
Background_Declaration_Template__xls	136.07	25	15	match
grants-2005__xls	96.11	201	45	match
atspp_pay_tables__xlsx	69.62	101	15	match
CSJU List of Recipients of funds 2013-2020__xlsx	64.89	97	9	match
orbus_togaf_tool_csq__xls	51.20	75	24	match
tk-syllabus-comparison-document-v5__xlsx	46.55	855	37	match
065_Weight_loss_tracker_ff1c89af__xlsx	29.64	2	2	glyphs
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx	27.04	217	0	match
fm-provider-service-measures__xlsx	21.67	38	5	match
Computer and Software Services_50 State Comparison__xlsx	20.15	26	5	match
environment-edb-docs-edb-emissions-databank__xls	18.68	195	7	match
flightstandards-doc-Cross-reference-table_version02__xlsx	18.17	464	39	match
npias_2009_appA__xls	18.13	73	9	match
fy20-may20-sep20__xlsx	18.02	96	3	match
TOGAF9-Tool-ConfReqts-CSQ__xls	16.76	28	4	match
sectors-defense-and-aerospace__xlsx	13.41	449	20	match
033_Event_planning_tracker_Use_this_template_f29a848e__xlsx	12.65	3	1	glyphs
State-Medicaid-Payment-Policies-for-Medicare-Cost-Sharing__xlsx	12.52	18	7	match
edb-emissions-databank v27-NewFormat (web)__xlsx	12.39	368	26	match
FAA-2019-0995-0002_attachment_2__xlsx	11.97	33	9	match
Keywords_Mapping_Graphs_and_Charts__xlsx	10.79	46	11	match
T0A0D0000090006XLSE__xls	10.75	162	7	match
FY2021-AIP-grants__xlsx	10.45	58	0	match
UASEventsNov2014-Aug2015__xls	9.29	523	1	match
ECA Sinters__xls	8.91	163	1	match
EHEST-Pre-departure-checklist-Rev.-1-06-12-2016__xls	8.89	24	1	match
2023-qhp-form-and-rate-combined-checklist-final__xlsx	8.77	100	13	match
airports_6__xlsx	8.69	17	1	match
SLSA_Directory_031423__xlsx	8.11	10	7	match
activespecs__xls	8.06	266	0	match
7-memento-2015-transports-aeriens-b__xls	7.54	190	7	match
TICAPCapability_Final__xls	7.45	17	3	match
CSA_CCM_v1.2__xls	6.99	13	2	match
DOE-C2M2-V1.1-to-DOE-C2M2-V2.1 (1.1.0)__xlsx	6.84	91	2	match
Application_Compliance_Checklist_5_Apr_2021__xlsx	6.54	14	2	match
NPIAS_App_A__xls	6.21	124	0	match
VOR Candidate Discontinuance List 2026-01-08__xlsx	5.95	7	3	match
fy2011-aip-grants__xls	5.62	93	0	match
afn-afn-20250801-fy25-jan25-mar25__xlsx	5.58	270	0	match
fy2010-aip-grants__xls	5.53	100	0	match
RegChangeReport__xlsx	5.32	12	6	glyphs
Data-Architecture-Tool-Fit-Assessment-Template__xlsx	5.19	22	6	match
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx	4.72	35	8	match
Template Pilot Logbook JAR-FCL V3.0__xls	4.66	38	2	match
ODs-February-2022-Airbus-Commercial-Aircraft__xlsx	4.62	175	4	match
DynamicBubbleChart__xlsx	4.55	5	2	match
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	4.54	9	1	match
066_Agile_Gantt_chart_08f9de45__xlsx	4.43	5	3	match
seihon_zassi_kikou_20221215__xlsx	4.03	84	0	match
sistem-rekod-markah-srm-_-rekod-master__xlsx	4.01	31	0	glyphs
certification-type-certificates-docs-tcdns-databases-MAdB-Rotorcraft-14-28112013__xlsx	4.00	82	0	match
programs contact list as of 07-01-10__xls	3.92	3	1	match
cy01_state__xls	3.83	36	0	match
RMP 2011-2014 and Inventory__xls	3.51	38	2	match
062_Run_chart_cb7476ea__xlsx	3.51	2	1	match
037_Personal_money_tracker_a57957bb__xlsx	3.45	5	1	match
SIL_TDB648__xlsx	3.44	90	3	match
commander-authorisation-tasks-spreadsheet-october-2025__xlsx	3.42	23	0	match
STC_WebList__xlsx	3.42	4372	1	match
template-ECSPR-notifications__xlsx	3.31	26	12	glyphs
NPIAS_2007_App_A__xls	3.15	128	0	match
027_Simple_personal_cash_flow_statement_675c6584__xlsx	3.03	10	1	match
043_Buy_a_car_vs._rideshare_ff07c7e6__xlsx	2.95	7	3	match
064_Small_business_cash_flow_Use_this_template_0a640756__xlsx	2.90	7	3	match
PBN Matrix NAAs (V01)__xlsx	2.50	25	3	match
MajCh-Digital-Certificate-Publication-Report__xlsx	2.43	328	0	match
NAARMO_Mexico_RVSM_Approvals__xlsx	2.41	16	0	match
023_Waterfall_Chart_Template_for_Excel_349f7689__xlsx	2.30	5	0	match
register-changes-in-may-2024---adujsted__xlsx	2.28	10	1	match
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	2.26	21	3	glyphs
078_Modern_inventory_list_Use_this_template_41abd5bf__xlsx	2.24	1	1	match
Hazard Analysis Template__xls	2.19	3	0	match
049_Expenses_calculator_c351f3d0__xlsx	2.19	4	2	match
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	2.14	4	0	match
Air_Boss_Master_List__xlsx	2.04	5	2	match
TDA_Smoke-Detectors__xlsx	2.03	28	1	match
Application_for_authorisation_as_crowdfunding_service_provider__xlsx	2.02	48	11	match
NPA_21_21_Sentenced_Comments__xls	1.95	2	2	match
FY2023-AIP-grants__xlsx	1.93	33	0	match
Aircraft_Database__xlsx	1.91	134	0	match
005_Contextures_chart_sample_6e279b08__xlsx	1.91	8	1	match
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a__xlsx	1.86	1	1	match
certification-type-certificates-docs-tcdns-databases-MAdB-Light-Prop-14-28112013__xlsx	1.84	343	1	match
044_Cash_flow_forecast_Use_this_template_b8fa1f35__xlsx	1.84	5	1	match
PC1000__xls	1.79	13	0	glyphs
PA_Delaware__xls	1.77	122	0	match
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1__xlsx	1.77	3	1	match
035_Project_plan_for_law_firms_aa2d4462__xlsx	1.75	4	0	match
links-2026__xlsx	1.73	45	0	match
FY2018_Q4_UAS_Sightings__xlsx	1.72	302	0	match
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93__xlsx	1.67	5	0	match
030_Basic_balance_sheet_Use_this_template_10ed9144__xlsx	1.65	8	2	glyphs
Laser Report 2024 FOIA __Oct (1)__xlsx	1.63	506	0	match
063_Sales_pipeline_aec57013__xlsx	1.62	1	1	match
arp-sop-300-Exhibit-A-Table-Templates__xlsx	1.57	11	1	match
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx	1.57	9	0	match
060_Monthly_company_budget_47b2a99a__xlsx	1.50	4	0	match
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	1.42	10	0	match
ecopy of 2016 statistical bulletin_public finance statistics_final__xlsx	1.39	17	1	match
SIL_TDB609__xls	1.36	50	1	match
EASA-IFP-147Scope_WEB__ALL_Valid147SoA_2024-11-28-11-16-31__xlsx	1.27	92	0	match
032_Business_expenses_budget_d377eaab__xlsx	1.26	4	0	match
apron-area__xls	1.23	3	1	match
SIL_TDB605__xls	1.18	44	1	match
REDAC_SCHEDULE_RPD_137__xls	1.15	2	0	match
095_Volunteer_Sign_Up_Sheet_Template_Fillable_Format_b3330009__xlsx	1.13	1	1	match
014_Contextures_chart_sample_991ecfc5__xls	1.11	3	0	match
072_Gantt_project_planner_dde00e33__xlsx	1.11	1	0	match
081_Project_performance_report_Use_this_template_be2468b3__xlsx	1.10	2	1	match
EU_145s_with_TCCA_approval_-_31.01.2025__xlsx	1.09	14	0	match
ans_mappings_of_eccairs_terms__xlsx	1.00	191	0	match
015_Free_Gantt_Chart_Template_for_Excel_414e86bf__xlsx	0.96	8	1	match
007_Contextures_chart_sample_667d8e47__xlsm	0.95	7	1	match
098_Volunteer_Sign_Up_Sheet_Template_Simple_Layout_080a06a1__xlsx	0.94	1	1	match
085_Simple_Gantt_chart_d65b8377__xlsx	0.90	3	0	match
017_Timeline_Templates_for_Excel_b88faee6__xlsx	0.83	3	1	match
028_Budget_summary_report_4aeefd13__xlsx	0.81	4	1	match
036_Simple_to-do_list_Use_this_template_ba44373b__xlsx	0.81	4	2	match
EASA-IFP-145Scope(WEB)_ALL_ValidF145SOA_2022-12-16-04-31-58_0__xlsx	0.80	114	0	match
RPD 155 REDAC SCHEDULE 2014-04-02__xls	0.79	1	0	match
040_Blood_pressure_tracker_872b6833__xlsx	0.77	1	0	match
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx	0.76	5	0	match
redac-sas-201503-fy17-research-portfolio__xlsx	0.76	2	0	match
Praktikastellen_-_chinesischsprachiger_Kulturraum__xls	0.75	34	0	match
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e__xlsx	0.73	1	1	match
INDEX_Digital_Transformation_Toolkits__xls	0.72	24	0	match
097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed__xlsx	0.71	1	1	match
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d__xlsx	0.63	5	0	match
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22__xlsx	0.63	1	1	match
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1__xlsx	0.59	11	0	match
039_Baby_growth_tracker_e295ae56__xlsx	0.58	2	1	match
capa-liste-nse-1__xls	0.57	108	0	match
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	0.56	3	0	match
Part_375_Operators__xlsx	0.56	19	0	match
099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6__xlsx	0.56	1	1	match
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx	0.55	5	0	match
024_Free_Kids_Chore_Chart_Template_ad74bb34__xlsx	0.55	3	0	match
underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund__xls	0.53	15	0	match
052_Manufacturing_output_chart_88570318__xlsx	0.52	1	0	match
013_Contextures_chart_sample_21b98e22__xlsx	0.51	7	1	match
051_Manufacturer_defect_analysis_53db27ea__xlsx	0.50	1	0	match
Part_129_Operators__xlsx	0.47	23	0	match
012_Contextures_chart_sample_9900da76__xlsx	0.47	6	1	match
List of EQS securities_0__xls	0.46	104	0	match
AIM_OPR_LIST__xls	0.46	229	0	match
