identity	sum|ink|%	pages	major	gate
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software__xlsx	0.45	2	0	match
093_Volunteer_Sign_Up_Sheet_Template_Customizable_Format_3a4d6b58__xlsx	0.44	2	1	match
wiley-cancelled-title-list__xlsx	0.42	60	0	match
091_Volunteer_Sign_Up_Sheet_Template_Colored_Background_2cb58d01__xlsx	0.41	1	1	match
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx	0.40	2	1	match
AFS-400_Contacts__xlsx	0.39	48	0	match
cy06_primary_np_comm__xls	0.39	11	0	match
EASA_PRODUCT_LIST_-_ALL__xlsx	0.39	264	0	match
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls	0.39	88	0	match
004_Contextures_chart_sample_de7c0671__xlsx	0.39	4	1	match
041_Business_budget_ef942467__xlsx	0.39	4	0	match
REDAC_SCHEDULE_RPD_135__xls	0.38	1	0	match
cy10_primary_enplanements__xls	0.38	12	0	match
dragon-175066A__xlsx	0.38	13	0	match
038_Baby_growth_chart_bb9cd672__xlsx	0.37	2	0	match
045_Check_register_with_chart_4becb8a0__xlsx	0.37	1	0	glyphs
microsoft_learn_multi_chart_examples__xlsx	0.34	5	0	match
6f9e605c-fded-11e3-bd0e-00144feab7de__xls	0.33	16	0	match
18-02RD301_ILS_components_Master_9-13-18__xls	0.33	166	0	match
028_advanced_excel_doughnut__xlsx	0.32	3	0	match
012_advanced_excel_doughnut__xlsx	0.32	3	0	match
004_advanced_excel_doughnut__xlsx	0.32	3	0	match
020_advanced_excel_doughnut__xlsx	0.32	3	0	match
061_Regional_sales_chart_cb9eb690__xlsx	0.32	1	0	match
003_Contextures_chart_sample_9bda2719__xlsm	0.32	6	0	match
055_Project_timeline_with_milestones_Use_this_template_546cecc0__xlsx	0.31	2	0	glyphs
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281__xlsx	0.31	1	1	match
075_Idea_planner_tasks_f44ebd73__xlsx	0.30	1	1	match
088_To-do_list_with_progress_tracker_Use_this_template_8c438912__xlsx	0.29	1	1	match
031_Business_expense_budget_f3a46278__xlsx	0.29	8	0	match
hdss-bulletin-index-2019-2022__xlsx	0.28	24	1	match
permit-applications-determined-july-2015__xls	0.25	1	1	match
National-Finalists-2024-1__xlsx	0.25	30	0	match
fse_identification_form__xlsx	0.25	3	0	glyphs
096_Volunteer_Sign_Up_Sheet_Template_Green_Theme_b4f1809d__xlsx	0.25	2	1	match
Company_Seniority_Date_Calculator__xlsx	0.24	12	0	match
030_advanced_excel_scatter__xlsx	0.24	3	0	match
014_advanced_excel_scatter__xlsx	0.24	3	0	match
048_Expense_trends_budget_18d1e8ba__xlsx	0.24	14	0	match
015_advanced_excel_bubble__xlsx	0.22	3	0	match
laufende-nip-vorhaben-hyland__xls	0.21	18	0	match
List-of-Members-August-2017__xlsx	0.20	10	0	match
084_Service_invoice_Use_this_template_c92b43dc__xlsx	0.20	3	0	match
010_Contextures_chart_sample_e6ea06a3__xlsx	0.20	6	0	match
00514292__xlsx	0.19	9	0	match
National-Reports__xlsx	0.19	6	0	match
RVSM_Non_approved_list_2025_84c0b3f4ac__xlsx	0.19	2	0	match
029_Annual_budget_Use_this_template_30324a97__xlsx	0.18	2	0	glyphs
FMMO_NMPF_37C__xlsx	0.17	1	1	glyphs
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39__xlsx	0.17	6	0	match
001_Contextures_chart_sample_b089bc34__xlsx	0.17	15	1	match
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	0.16	5	0	match
june_2025_published__xlsx	0.16	15	0	match
Special-Procedures_2025-07-10__xls	0.16	22	0	match
022_advanced_excel_scatter__xlsx	0.14	3	0	match
008_advanced_excel_radar__xlsx	0.14	3	0	match
024_advanced_excel_radar__xlsx	0.14	3	0	match
054_Problem_analysis_with_Pareto_chart_11058329__xlsx	0.14	1	0	match
057_Simple_balance_sheet_Use_this_template_e2d4cbb2__xlsx	0.14	3	0	glyphs
002_Contextures_chart_sample_f605e7bc__xlsx	0.14	8	0	match
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls	0.13	6	0	match
006_Contextures_chart_sample_afa23b53__xlsx	0.13	5	0	match
flying-log-passenger-23rd-september-2014__xls	0.12	7	0	match
Capability_List_9-14-2022_Dallas_Combined-Aircraft_Manuf_unsorted__xlsx	0.12	147	0	match
016_advanced_excel_radar__xlsx	0.12	3	0	match
032_advanced_excel_radar__xlsx	0.12	3	0	match
Global_Market_Forecast_2016-2035_Airbus_Data_Set__xlsx	0.11	567	0	match
Chicago.List.2025__xlsx	0.10	3	0	match
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0__xlsx	0.10	16	0	match
SSRO_Quarterly_Statistical_Bulletin_Q3201617_DATA__xlsx	0.10	4	0	match
050_Financial_vision_d44241e1__xlsx	0.10	1	0	match
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1__xls	0.09	8	0	match
UAE Type Accepted Aircraft Models__xlsx	0.08	6	0	match
ACRONYM__xls	0.08	69	0	match
aircraft_analysis_2016-04-27__xls	0.08	46	0	match
067_Basic_invoice_Use_this_template_1d35c3e9__xlsx	0.08	1	0	match
083_Project_tracker_Use_this_template_b38d057c__xlsx	0.08	2	0	match
056_Quarterly_sale_report_baa6bb0d__xlsx	0.08	4	0	match
EASA-IFP-WEBLISTNOODATA-ListsofForeignapprovals(WEB)_NewChart_2022-08-05-03-31-32__xlsx	0.07	19	0	match
005_advanced_excel_area__xlsx	0.07	3	0	match
013_advanced_excel_area__xlsx	0.07	3	0	match
029_advanced_excel_area__xlsx	0.07	3	0	match
011_Contextures_chart_sample_599b4392__xls	0.07	4	0	match
058_Social_media_engagement_data_cfa1cb18__xlsx	0.07	1	0	match
079_Org_charts_visual_248d1dcf__xlsx	0.07	3	0	match
RPA-Budgets-FY-17-19-20__xls	0.06	4	0	match
Travel-Cost-Estimate-Calculator__xlsx	0.06	3	0	match
RCO_VOR_Master_List_082824__xlsx	0.06	80	0	match
001_advanced_excel_bar__xlsx	0.06	3	0	match
033_advanced_excel_bar__xlsx	0.06	3	0	match
017_advanced_excel_bar__xlsx	0.06	3	0	match
074_Idea_planner_bacaa123__xlsx	0.06	1	1	match
090_Weekly_time_sheet_Use_this_template_0499cc43__xlsx	0.06	1	0	match
Performance__xlsx	0.05	13	0	match
025_advanced_excel_bar__xlsx	0.05	3	0	match
009_advanced_excel_bar__xlsx	0.05	3	0	match
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3__xlsx	0.05	4	0	match
068_Blue_inventory_list_Use_this_template_f9908489__xlsx	0.05	4	0	match
087_Simple_personal_budget_3cf9b1af__xlsx	0.05	3	0	match
ExampleWhiteListData__xlsx	0.04	6	0	match
SectorAdvisoryGroupandStrategyBoards__xls	0.04	7	0	match
Liste-Zertifizierung-ChemKlimaschutzV-RPT__xls	0.04	5	0	match
data_20121018181533__xls	0.04	57	0	match
EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals_WEB__ListofValidBASAorganisations_2025-01-20-08-56-36__xlsx	0.04	254	0	match
021_advanced_excel_area__xlsx	0.04	3	0	match
008_Contextures_chart_sample_7ea7a1d7__xlsx	0.04	5	0	match
Patent Index 2024 - Top 100 applicants 2024__xlsx	0.03	1	0	match
AIRBUS_station_evaluation_checklist_v2__xlsx	0.03	1	0	match
Published_Issuances_2024__xlsx	0.03	1	0	match
Copy of EASA-IFP-WEBLISTNOODATA-ListsofBASAapprovals(WEB)_ListofValidUSBASAorganisations_2023-01-13-04-33-14__xlsx	0.03	245	0	match
023_advanced_excel_bubble__xlsx	0.03	3	0	match
082_Project_to_do_list_28f80082__xlsx	0.03	2	0	match
042_Business_monthly_budget_4e4d092f__xlsx	0.03	4	0	match
080_Profit_and_loss_income_statement_3566dae9__xlsx	0.03	3	0	match
Geo_Abschlussarbeiten__xlsx	0.02	3	0	match
disclosures_ecm__xls	0.02	1	0	match
ZenithAviation_AuctionList__xls	0.02	33	0	match
007_advanced_excel_bubble__xlsx	0.02	3	0	match
031_advanced_excel_bubble__xlsx	0.02	3	0	match
070_Equipment_inventory_list_Use_this_template_fd524c8a__xlsx	0.02	1	0	glyphs
P1636e__xls	0.01	2	0	match
essd-16-3433-2024-t02__xlsx	0.01	4	0	match
AMOC-Digital-Certificate-Publication-Report__xlsx	0.01	148	0	match
011_advanced_excel_pie__xlsx	0.01	3	0	match
027_advanced_excel_pie__xlsx	0.01	3	0	match
019_advanced_excel_pie__xlsx	0.01	3	0	match
034_Personal_net_worth_calculator_f7b8fb57__xlsx	0.01	7	0	match
046_Cost_analysis_with_Pareto_chart_7db5ef69__xlsx	0.01	1	0	match
einvoice-summary-worksheet__xlsx	0.00	2	0	match
16424782563923__xlsx	0.00	3	0	match
Airplanes-MTOW__xls	0.00	6	0	match
WEBSITE-RESOURCE-LIST-by-CATEGORY-4-6-18-341pm__xlsx	0.00	1	0	match
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx	0.00	3	0	match
e-pass-contact-details-template__xlsx	0.00	4	0	match
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx	0.00	5	0	match
Estero Rotary Awards__xlsx	0.00	2	0	match
esurf-12-135-2024-t01__xlsx	0.00	1	0	match
Infotabelle_WLAN im Flugzeug__xlsx	0.00	4	0	match
jobs-bulletin-51-22-december-2025__xlsx	0.00	12	0	match
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx	0.00	19	0	match
Aviation_Abbreviations__xlsx	0.00	94	0	match
AFCforPtF-Digital-Certificate-Publication-Report__xlsx	0.00	111	0	match
aircraft_analysis-2018-06__xlsx	0.00	42	0	match
MinCh-Digital-Certificate-Publication-Report__xlsx	0.00	179	0	match
006_advanced_excel_scatter__xlsx	0.00	3	0	match
002_advanced_excel_line__xlsx	0.00	3	0	match
026_advanced_excel_line__xlsx	0.00	3	0	match
034_advanced_excel_line__xlsx	0.00	3	0	match
003_advanced_excel_pie__xlsx	0.00	3	0	match
018_advanced_excel_line__xlsx	0.00	3	0	match
010_advanced_excel_line__xlsx	0.00	3	0	match
073_Graph_paper_6e1a30eb__xlsx	0.00	4	0	match
089_Vintage_inventory_list_Use_this_template_f616cac0__xlsx	0.00	1	0	match
053_Personal_asset_inventory_5446d84b__xlsx	0.00	0	0	pages
047_Date_tracker_Gantt_chart_bf34f3a8__xlsx	0.00	0	0	pages
086_Simple_grey_invoice_Use_this_template_063b3773__xlsx	0.00	1	0	match
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx	0.00	0	0	pages
009_Contextures_chart_sample_adcb3f6c__xlsx	0.00	12	0	match
