id	pages	ink_before	ink_after	delta
001_advanced_excel_bar__xlsx	3/3	1.53	0.06	-1.47
002_advanced_excel_line__xlsx	3/3	0.32	0.00	-0.32
003_Contextures_chart_sample_9bda2719__xlsm	6/6	0.67	0.32	-0.35
003_advanced_excel_pie__xlsx	3/3	0.66	0.00	-0.66
004_advanced_excel_doughnut__xlsx	3/3	1.09	0.32	-0.77
005_Contextures_chart_sample_6e279b08__xlsx	8/8	3.12	1.91	-1.21
005_advanced_excel_area__xlsx	3/3	2.49	0.07	-2.42
006_Contextures_chart_sample_afa23b53__xlsx	5/5	0.51	0.13	-0.38
006_advanced_excel_scatter__xlsx	3/3	0.24	0.00	-0.24
007_advanced_excel_bubble__xlsx	3/3	0.67	0.02	-0.65
008_Contextures_chart_sample_7ea7a1d7__xlsx	5/5	0.55	0.06	-0.49
008_advanced_excel_radar__xlsx	3/3	0.21	0.14	-0.07
009_advanced_excel_bar__xlsx	3/3	1.43	0.05	-1.38
010_Contextures_chart_sample_e6ea06a3__xlsx	6/6	0.46	0.22	-0.24
010_advanced_excel_line__xlsx	3/3	0.34	0.00	-0.34
011_advanced_excel_pie__xlsx	3/3	0.68	0.01	-0.67
012_Contextures_chart_sample_9900da76__xlsx	6/6	0.37	0.49	+0.12
012_advanced_excel_doughnut__xlsx	3/3	1.13	0.32	-0.81
013_Contextures_chart_sample_21b98e22__xlsx	7/7	0.46	0.53	+0.07
013_advanced_excel_area__xlsx	3/3	2.42	0.07	-2.35
014_Contextures_chart_sample_991ecfc5__xls	3/3	1.11	1.11	+0.00
014_advanced_excel_scatter__xlsx	3/3	0.41	0.24	-0.17
015_advanced_excel_bubble__xlsx	3/3	0.58	0.22	-0.36
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144__xlsx	4/4	2.18	2.14	-0.04
016_advanced_excel_radar__xlsx	3/3	0.20	0.12	-0.08
017_advanced_excel_bar__xlsx	3/3	1.54	0.06	-1.48
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a__xlsx	10/10	2.46	1.42	-1.04
018_advanced_excel_line__xlsx	3/3	0.30	0.00	-0.30
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782__xlsx	9/9	6.18	4.54	-1.64
019_advanced_excel_pie__xlsx	3/3	0.65	0.01	-0.64
020_advanced_excel_doughnut__xlsx	3/3	1.09	0.32	-0.77
021_advanced_excel_area__xlsx	3/3	2.46	0.04	-2.42
022_Pareto_Chart_Template_-_Pareto_Analysis_in_Excel_with_Pareto_Diagram_82b5a874__xlsx	2/2	0.40	0.40	+0.00
022_advanced_excel_scatter__xlsx	3/3	0.39	0.14	-0.25
023_advanced_excel_bubble__xlsx	3/3	0.88	0.03	-0.85
024_advanced_excel_radar__xlsx	3/3	0.22	0.14	-0.08
025_advanced_excel_bar__xlsx	3/3	1.38	0.05	-1.33
026_advanced_excel_line__xlsx	3/3	0.31	0.00	-0.31
027_advanced_excel_pie__xlsx	3/3	0.67	0.01	-0.66
028_advanced_excel_doughnut__xlsx	3/3	1.09	0.32	-0.77
029_advanced_excel_area__xlsx	3/3	2.48	0.07	-2.41
