identity	pages	sum_abs_ink_pct	major_pages
150_5300_13_chg8__doc	0	0.00	0
150_5335_5a__doc	64	19.52	6
361400CSLegislation1RF01PUBLIC1__doc	35	1.12	1
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	6	0.83	0
Reid__doc	4	0.28	0
f111__doc	11	0.29	0
