column	documents	renderings that move	page counts that move	alphanumeric counts that move
doc (sample corpus)	66	6	0	0
docx (sample corpus)	272	3	0	0
odt (converted corpus)	338	0	0	0
rtf (converted corpus)	338	0	0	0
