stem	pagesB	pagesA	pagesR	wordsB	wordsA	wordsR	hashB	hashA	hashR	verdictB	verdictA	bytesChanged
Foreign_SA-CAT-I_and_CAT-II-III_Pub_0	16	16	16	1495	1495	1494	-	-	-	unembedded	unembedded	0
Geo_Abschlussarbeiten	3	3	3	635	635	635	-	-	-	unembedded	unembedded	0
Global_Market_Forecast_2016-2035_Airbus_Data_Set	567	567	567	73391	73391	73390	-	-	-	unembedded	unembedded	0
Hazard Analysis Template	3	3	3	680	680	688	-	-	-	unembedded	unembedded	0
INDEX_Digital_Transformation_Toolkits	24	24	24	1957	1957	1957	-	-	-	unembedded	unembedded	0
Infotabelle_WLAN im Flugzeug	4	4	4	394	394	365	-	-	-	words,unembedded	words,unembedded	0
Keywords_Mapping_Graphs_and_Charts	46	46	46	4425	4425	4431	-	-	-	unembedded	unembedded	0
Laser Report 2024 FOIA __Oct (1)	506	506	506	94730	94730	94427	-	-	-	unembedded	unembedded	0
List of EQS securities_0	104	104	104	33014	33014	33014	-	-	-	unembedded	unembedded	0
List-of-Members-August-2017	10	10	10	1674	1674	1674	-	-	-	unembedded	unembedded	0
Liste-Zertifizierung-ChemKlimaschutzV-RPT	5	5	5	1336	1336	1336	-	-	-	unembedded	unembedded	0
MajCh-Digital-Certificate-Publication-Report	328	328	328	67831	67831	67794	-	-	-	unembedded	unembedded	0
MinCh-Digital-Certificate-Publication-Report	179	179	179	112670	112670	112539	-	-	-	unembedded	unembedded	0
NAARMO_Mexico_RVSM_Approvals	16	16	16	6699	6699	6697	-	-	-	unembedded	unembedded	0
NPA_21_21_Sentenced_Comments	2	2	2	966	966	974	-	-	-	unembedded	unembedded	0
NPIAS_2007_App_A	128	128	128	39766	39766	39766	-	-	-	unembedded	unembedded	0
NPIAS_App_A	124	124	124	33615	33615	33615	-	-	-	unembedded	unembedded	0
National-Finalists-2024-1	30	30	30	4147	4147	4147	-	-	-	unembedded	unembedded	0
National-Reports	6	6	6	1118	1118	1118	-	-	-	unembedded	unembedded	0
NorwegianXPensionXFundXanalysisXexportsXandXLAWS-1	8	8	8	759	759	733	-	-	-	words,unembedded	words,unembedded	0
ODs-February-2022-Airbus-Commercial-Aircraft	154	154	175	16635	15536	15740	2	1101	1101	pages,words,unembedded	pages,unembedded	1
P1636e	2	2	2	343	343	342	-	-	-	unembedded	unembedded	0
PA_Delaware	122	122	122	135663	135663	135663	-	-	-	unembedded	unembedded	0
PBN Matrix NAAs (V01)	25	25	25	5544	5544	5556	-	-	-	unembedded	unembedded	0
PC1000	13	13	13	854	854	855	-	-	-	unembedded	unembedded	0
