path	added	era	libreoffice	dejavu	risk	cited_by
dotnet/probes/sheets-dateaxis-01/prediction.md	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/sheets-dateaxis-01/results.md	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/sheets-e-01/gate.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/sheets-e-01/gridreach.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/sheets-e-01/prediction.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/sheets-e-01/results.md	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/sheets-e-01/unembedded.tsv	2026-08-13	current	26.2.4.2	present	current	-
dotnet/probes/sheets-extra-01/prediction.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/sheets-extra-01/results.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/sheets-overflow-01/prediction.md	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/sheets-overflow-01/results.md	2026-08-14	current	26.2.4.2	present	current	-
dotnet/probes/sheets-pagination-01/after.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/sheets-pagination-01/before.tsv	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/sheets-pagination-01/prediction.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/sheets-pagination-01/results.md	2026-08-15	current	26.2.4.2	present	current	-
dotnet/probes/sheets-r22/README.md	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r22/after-basefont-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r22/base-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r22/fonts-ours-after.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r22/fonts-ours-before.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r22/fonts-reference.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r22/ops-survey-001-009.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r23/README.md	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r23/after-fontsize-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r23/base-whole-track.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r23/ref-font-sizes.tsv	2026-08-08	pre-container	24.2.7.2	unverified	archival	-
dotnet/probes/sheets-r24/README.md	2026-08-08	pre-container	24.2.7.2	unverified	CITED-STALE	dotnet/src/Paperless.Spreadsheets/TODO.md;dotnet/src/paperless.spreadsheets/TODO.md
