document	ref_spans	placed_base	placed_head	coloured_base	coloured_head
0335fab9-79f0-4944-b92c-f223837ca2d8	203	127	137	127	137
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop	210	89	89	87	89
1-secretariat	281	214	214	214	214
2015-Civil-Rights-Website-training	2147	1224	1234	1222	1234
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	1135	636	636	590	590
Architecture	136	125	125	124	125
BUS-Chapter 05	895	830	830	830	830
Inducement-to-Insurance-Business	348	98	98	98	98
JesuitAssocOfStudentPersonnel	547	328	328	328	328
Lepore	485	389	390	386	390
RESPA_-_Section_8_Webinar	516	282	268	282	268
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed	254	156	156	155	156
WC_Update-Aug03	253	186	186	186	186
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011	543	433	434	431	434
gfopportunitiesforlinkagespres_2010_en	416	249	248	249	247
gillikin_online_user_mtg_2010	512	248	271	248	269
iep-amount-frequency-for-webinar	698	572	572	572	567
introduction_to_bea_tuxedo	708	560	560	559	557
joint_user_outcomes_michael_fullerton_29.06.12	430	235	232	235	232
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007	365	241	243	241	243
ws_prod-g-doc-Events-2007-Privileges	255	137	137	137	137
ws_prod-g-doc-Events-Part-M-presentation	477	132	132	132	132
ws_prod-g-doc-Events-industrymeeting18112004-Aercap	265	159	159	159	159
