2015-Civil-Rights-Website-training	size=32.00	unscaled=12768	avail=11177	row=1	font=0.925
2015-Civil-Rights-Website-training	size=32.00	unscaled=10551	avail=11177	row=none
2015-Civil-Rights-Website-training	size=28.00	unscaled=11641	avail=12345	row=none
2015-Civil-Rights-Website-training	size=18.00	unscaled=10449	avail=11177	row=none
2015-Civil-Rights-Website-training	size=24.00	unscaled=11343	avail=11177	row=0	font=1
2015-Civil-Rights-Website-training	size=28.00	unscaled=12129	avail=11177	row=1	font=0.925
2015-Civil-Rights-Website-training	size=8.00	unscaled=13874	avail=11177	row=1	font=0.925
2015-Civil-Rights-Website-training	size=32.00	unscaled=13954	avail=11177	row=2	font=0.85
2015-Civil-Rights-Website-training	size=32.00	unscaled=12226	avail=15199	row=none
2015-Civil-Rights-Website-training	size=32.00	unscaled=7909	avail=11177	row=none
2015-Civil-Rights-Website-training	size=18.00	unscaled=11241	avail=12557	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=48.00	unscaled=7175	avail=11812	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=48.00	unscaled=8777	avail=11812	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=48.00	unscaled=8688	avail=11812	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=28.00	unscaled=6094	avail=10092	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=28.00	unscaled=11207	avail=10092	row=2	font=0.85
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=28.00	unscaled=8775	avail=10092	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=28.00	unscaled=9715	avail=11812	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=24.00	unscaled=11832	avail=12235	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=28.00	unscaled=4732	avail=10092	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=24.00	unscaled=11218	avail=11812	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=24.00	unscaled=10557	avail=10092	row=0	font=1
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=24.00	unscaled=11346	avail=12447	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=24.00	unscaled=12113	avail=12447	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=20.00	unscaled=9899	avail=10092	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=20.00	unscaled=9464	avail=10092	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=20.00	unscaled=9275	avail=11812	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=28.00	unscaled=5104	avail=4827	row=1	font=0.925
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=24.00	unscaled=13262	avail=13505	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=21.00	unscaled=10102	avail=13505	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=24.00	unscaled=12677	avail=11812	row=0	font=1
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=40.00	unscaled=9871	avail=10092	row=none
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=20.00	unscaled=12083	avail=11812	row=0	font=1
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009	size=20.00	unscaled=10936	avail=11812	row=none
