arm	lines	widest_pt	content
W1230	2	37.556	Not | Available19
W1231	2	37.556	Not | Available19
W1232	2	37.556	Not | Available19
W1233	2	37.556	Not | Available19
W1234	2	37.556	Not | Available19
W1235	2	37.556	Not | Available19
W1236	2	37.556	Not | Available19
W1237	2	37.556	Not | Available19
W1238	2	37.556	Not | Available19
W1239	2	37.556	Not | Available19
W1240	2	37.556	Not | Available19
W1241	2	37.556	Not | Available19
W1242	2	37.556	Not | Available19
W1243	2	37.556	Not | Available19
W1244	2	37.556	Not | Available19
W1245	2	37.556	Not | Available19
W1246	2	37.556	Not | Available19
W1247	2	37.556	Not | Available19
W1248	2	37.556	Not | Available19
W1249	2	37.556	Not | Available19
W1250	2	37.556	Not | Available19
W1251	2	37.556	Not | Available19
W1252	2	37.556	Not | Available19
W1253	2	37.556	Not | Available19
W1254	2	37.556	Not | Available19
W1255	2	37.556	Not | Available19
W1256	2	37.556	Not | Available19
W1257	2	37.556	Not | Available19
W1258	2	37.556	Not | Available19
W1259	2	37.556	Not | Available19
W1260	2	37.556	Not | Available19
W1261	1	52.206	Not Available19
W1262	1	52.206	Not Available19
W1263	1	52.206	Not Available19
W1264	1	52.206	Not Available19
W1265	1	52.206	Not Available19
W1266	1	52.206	Not Available19
W1267	1	52.206	Not Available19
W1268	1	52.206	Not Available19
W1269	1	52.206	Not Available19
W1270	1	52.206	Not Available19
W1271	1	52.206	Not Available19
W1272	1	52.206	Not Available19
W1273	1	52.206	Not Available19
W1274	1	52.206	Not Available19
W1275	1	52.206	Not Available19
W1276	1	52.206	Not Available19
W1277	1	52.206	Not Available19
W1278	1	52.206	Not Available19
W1279	1	52.206	Not Available19
W1280	1	52.206	Not Available19
W1281	1	52.206	Not Available19
W1282	1	52.206	Not Available19
W1283	1	52.206	Not Available19
W1284	1	52.206	Not Available19
W1285	1	52.206	Not Available19
W1286	1	52.206	Not Available19
W1287	1	52.206	Not Available19
W1288	1	52.206	Not Available19
W1289	1	52.206	Not Available19
W1290	1	52.206	Not Available19
W1291	1	52.206	Not Available19
W1292	1	52.206	Not Available19
W1293	1	52.206	Not Available19
W1294	1	52.206	Not Available19
W1295	1	52.206	Not Available19
W1296	1	52.206	Not Available19
W1297	1	52.206	Not Available19
W1298	1	52.206	Not Available19
W1299	1	52.206	Not Available19
W1300	1	52.206	Not Available19
K-super	1	52.206	Not Available19
K-plain	2	41.320	Not | Available19
K-sz9	1	52.104	Not Available19
K-sz10	2	37.980	Not | Available19
K-nosuffix	1	47.072	Not Available
NW-1	1	52.206	Not Available19
NW-0	1	52.206	Not Available19
