arm	lines	widest_pt	content
P1_393	1	5.171	i19
P1_394	1	5.171	i19
P1_395	1	5.171	i19
P1_396	1	5.171	i19
P1_397	1	5.171	i19
P1_398	1	5.171	i19
P1_399	1	5.171	i19
P1_400	1	9.171	i 19
P1_401	1	9.171	i 19
P1_402	1	9.171	i 19
P1_403	1	9.171	i 19
P2_496	1	10.342	i1919
P2_497	1	10.342	i1919
P2_498	1	10.342	i1919
P2_499	1	10.342	i1919
P2_500	1	10.342	i1919
P2_501	1	10.342	i1919
P2_502	1	10.342	i1919
P2_503	1	14.342	i 1919
P2_504	1	14.342	i 1919
P2_505	1	14.342	i 1919
P2_506	1	14.342	i 1919
P3_600	1	15.512	i191919
P3_601	1	15.512	i191919
P3_602	1	15.512	i191919
P3_603	1	15.512	i191919
P3_604	1	15.512	i191919
P3_605	1	15.512	i191919
P3_606	1	15.512	i191919
P3_607	1	19.512	i 191919
P3_608	1	19.512	i 191919
P3_609	1	19.512	i 191919
P3_610	1	19.512	i 191919
P4_703	1	20.683	i19191919
P4_704	1	20.683	i19191919
P4_705	1	20.683	i19191919
P4_706	1	20.683	i19191919
P4_707	1	20.683	i19191919
P4_708	1	20.683	i19191919
P4_709	1	20.683	i19191919
P4_710	1	24.683	i 19191919
P4_711	1	24.683	i 19191919
P4_712	1	24.683	i 19191919
P4_713	1	24.683	i 19191919
P6_910	1	31.025	i191919191919
P6_911	1	31.025	i191919191919
P6_912	1	31.025	i191919191919
P6_913	1	31.025	i191919191919
P6_914	1	31.025	i191919191919
P6_915	1	31.025	i191919191919
P6_916	1	31.025	i191919191919
P6_917	1	35.025	i 191919191919
P6_918	1	35.025	i 191919191919
P6_919	1	35.025	i 191919191919
P6_920	1	35.025	i 191919191919
P8_1117	1	41.366	i1919191919191919
P8_1118	1	41.366	i1919191919191919
P8_1119	1	41.366	i1919191919191919
P8_1120	1	41.366	i1919191919191919
P8_1121	1	41.366	i1919191919191919
P8_1122	1	41.366	i1919191919191919
P8_1123	1	41.366	i1919191919191919
P8_1124	1	45.366	i 1919191919191919
P8_1125	1	45.366	i 1919191919191919
P8_1126	1	45.366	i 1919191919191919
P8_1127	1	45.366	i 1919191919191919
P12_1531	1	62.050	i191919191919191919191919
P12_1532	1	62.050	i191919191919191919191919
P12_1533	1	62.050	i191919191919191919191919
P12_1534	1	62.050	i191919191919191919191919
P12_1535	1	62.050	i191919191919191919191919
P12_1536	1	62.050	i191919191919191919191919
P12_1537	1	62.050	i191919191919191919191919
P12_1538	1	66.050	i 191919191919191919191919
P12_1539	1	66.050	i 191919191919191919191919
P12_1540	1	66.050	i 191919191919191919191919
P12_1541	1	66.050	i 191919191919191919191919
P16_1945	1	82.733	i19191919191919191919191919191919
P16_1946	1	82.733	i19191919191919191919191919191919
P16_1947	1	82.733	i19191919191919191919191919191919
P16_1948	1	82.733	i19191919191919191919191919191919
P16_1949	1	82.733	i19191919191919191919191919191919
P16_1950	1	82.733	i19191919191919191919191919191919
P16_1951	1	82.733	i19191919191919191919191919191919
P16_1952	1	86.733	i 19191919191919191919191919191919
P16_1953	1	86.733	i 19191919191919191919191919191919
P16_1954	1	86.733	i 19191919191919191919191919191919
P16_1955	1	86.733	i 19191919191919191919191919191919
