arm	upper_h	lower_h
MBB	10.20	23.50
MBN	10.20	23.50
MBA	10.20	23.50
MNB	10.20	23.50
MNN	10.20	22.50
MNA	10.20	22.50
MAB	10.20	23.50
MAN	10.20	22.50
MAA	10.20	22.50
VBB	10.20	23.50
VBN	10.20	23.50
VBA	10.20	23.50
VNB	10.20	23.50
VNN	10.20	22.50
VNA	10.20	22.50
VAB	10.20	23.50
VAN	10.20	22.50
VAA	10.20	22.50
