pages	167	166
page	ref_w	ref_h	ref_o	ours_w	ours_h	ours_o	ref_an	ours_an	same_o
83	792.0	612.0	L	792.0	612.0	L	1751	1751	yes
84	612.0	792.0	P	612.0	792.0	P	4646	4646	yes
85	612.0	792.0	P	612.0	792.0	P	1444	1444	yes
86	612.0	792.0	P	612.0	792.0	P	2623	2627	yes
87	612.0	792.0	P	612.0	792.0	P	2768	2772	yes
88	612.0	792.0	P	612.0	792.0	P	2727	2733	yes
89	612.0	792.0	P	612.0	792.0	P	832	832	yes
90	612.0	792.0	P	612.0	792.0	P	3857	3857	yes
91	612.0	792.0	P	612.0	792.0	P	328	328	yes
92	612.0	792.0	P	612.0	792.0	P	796	798	yes
93	792.0	612.0	L	792.0	612.0	L	1702	1702	yes
94	612.0	792.0	P	612.0	792.0	P	1082	1084	yes
95	792.0	612.0	L	792.0	612.0	L	2336	2354	yes
96	792.0	612.0	L	792.0	612.0	L	2338	2356	yes
97	612.0	792.0	P	612.0	792.0	P	1267	1269	yes
98	792.0	612.0	L	792.0	612.0	L	2595	2606	yes
99	792.0	612.0	L	792.0	612.0	L	159	159	yes
100	792.0	612.0	L	792.0	612.0	L	2584	2596	yes
101	792.0	612.0	L	792.0	612.0	L	159	159	yes
102	792.0	612.0	L	792.0	612.0	L	2614	2626	yes
103	792.0	612.0	L	792.0	612.0	L	2596	2608	yes
104	792.0	612.0	L	792.0	612.0	L	159	159	yes
105	792.0	612.0	L	792.0	612.0	L	2591	2603	yes
106	792.0	612.0	L	792.0	612.0	L	159	159	yes
107	792.0	612.0	L	792.0	612.0	L	2474	2486	yes
108	792.0	612.0	L	792.0	612.0	L	159	159	yes
109	792.0	612.0	L	792.0	612.0	L	2387	2399	yes
110	792.0	612.0	L	792.0	612.0	L	159	159	yes
111	792.0	612.0	L	792.0	612.0	L	2465	2478	yes
112	792.0	612.0	L	792.0	612.0	L	159	159	yes
113	792.0	612.0	L	792.0	612.0	L	2508	2508	yes
114	792.0	612.0	L	792.0	612.0	L	159	159	yes
115	792.0	612.0	L	792.0	612.0	L	2301	2313	yes
116	792.0	612.0	L	792.0	612.0	L	159	159	yes
117	792.0	612.0	L	792.0	612.0	L	2596	2608	yes
118	792.0	612.0	L	792.0	612.0	L	159	159	yes
119	792.0	612.0	L	792.0	612.0	L	2594	2606	yes
120	792.0	612.0	L	792.0	612.0	L	159	159	yes
121	612.0	792.0	P	612.0	792.0	P	1085	1087	yes
122	792.0	612.0	L	792.0	612.0	L	2625	2643	yes
123	792.0	612.0	L	792.0	612.0	L	2632	2650	yes
124	792.0	612.0	L	792.0	612.0	L	2785	2803	yes
125	612.0	792.0	P	612.0	792.0	P	1268	1270	yes
126	792.0	612.0	L	792.0	612.0	L	2996	3020	yes
127	792.0	612.0	L	792.0	612.0	L	160	2627	yes
128	792.0	612.0	L	792.0	612.0	L	2615	2553	yes
129	792.0	612.0	L	792.0	612.0	L	2541	2561	yes
130	792.0	612.0	L	792.0	612.0	L	2548	2563	yes
131	792.0	612.0	L	792.0	612.0	L	2548	2496	yes
132	792.0	612.0	L	792.0	612.0	L	2481	2637	yes
133	792.0	612.0	L	792.0	612.0	L	2619	2547	yes
134	792.0	612.0	L	792.0	612.0	L	2535	2628	yes
135	792.0	612.0	L	792.0	612.0	L	2616	2633	yes
136	792.0	612.0	L	792.0	612.0	L	2621	2634	yes
137	792.0	612.0	L	792.0	612.0	L	2622	2627	yes
138	792.0	612.0	L	792.0	612.0	L	2615	2631	yes
139	792.0	612.0	L	792.0	612.0	L	2619	2637	yes
140	792.0	612.0	L	792.0	612.0	L	2625	2763	yes
141	792.0	612.0	L	792.0	612.0	L	2751	2766	yes
142	792.0	612.0	L	792.0	612.0	L	2754	2762	yes
143	792.0	612.0	L	792.0	612.0	L	2750	2635	yes
144	792.0	612.0	L	792.0	612.0	L	2623	2642	yes
145	792.0	612.0	L	792.0	612.0	L	2630	2637	yes
146	792.0	612.0	L	792.0	612.0	L	2625	2559	yes
147	792.0	612.0	L	792.0	612.0	L	2547	2640	yes
148	792.0	612.0	L	792.0	612.0	L	2628	2636	yes
149	792.0	612.0	L	792.0	612.0	L	2624	2637	yes
150	792.0	612.0	L	792.0	612.0	L	2625	2752	yes
151	792.0	612.0	L	792.0	612.0	L	2740	2566	yes
152	792.0	612.0	L	792.0	612.0	L	2554	2638	yes
153	792.0	612.0	L	792.0	612.0	L	2626	2637	yes
154	792.0	612.0	L	792.0	612.0	L	2625	2560	yes
155	792.0	612.0	L	792.0	612.0	L	2548	2560	yes
156	792.0	612.0	L	792.0	612.0	L	2548	2573	yes
157	792.0	612.0	L	612.0	792.0	P	2560	870	NO
158	612.0	792.0	P	612.0	792.0	P	868	2501	yes
159	612.0	792.0	P	612.0	792.0	P	2491	1825	yes
160	612.0	792.0	P	612.0	792.0	P	1825	1831	yes
161	612.0	792.0	P	612.0	792.0	P	1829	1810	yes
162	612.0	792.0	P	612.0	792.0	P	1810	1988	yes
163	612.0	792.0	P	612.0	792.0	P	1974	101	yes
164	612.0	792.0	P	612.0	792.0	P	101	1295	yes
165	612.0	792.0	P	612.0	792.0	P	1295	143	yes
166	612.0	792.0	P	612.0	792.0	P	143	1804	yes
167	612.0	792.0	P	0	0	-	1804	0	NO
# orientation mismatches: 2 [157, 167]
