arm	upper_h	lower_h
BB	10.20	23.50
BN	10.20	22.50
BA	10.20	22.50
NB	10.20	23.50
NN	?	? ([259.55, 292.25])
NA	?	? ([312.8, 345.5])
AB	10.20	23.50
AN	?	? ([420.3, 453.0])
AA	?	? ([473.55, 506.25])
