pages	167	167
page	ref_w	ref_h	ref_o	ours_w	ours_h	ours_o	ref_an	ours_an	same_o
103	792.0	612.0	L	792.0	612.0	L	2596	2626	yes
104	792.0	612.0	L	792.0	612.0	L	159	2608	yes
105	792.0	612.0	L	792.0	612.0	L	2591	159	yes
106	792.0	612.0	L	792.0	612.0	L	159	2603	yes
107	792.0	612.0	L	792.0	612.0	L	2474	159	yes
108	792.0	612.0	L	792.0	612.0	L	159	2486	yes
109	792.0	612.0	L	792.0	612.0	L	2387	159	yes
110	792.0	612.0	L	792.0	612.0	L	159	2399	yes
111	792.0	612.0	L	792.0	612.0	L	2465	159	yes
112	792.0	612.0	L	792.0	612.0	L	159	2478	yes
113	792.0	612.0	L	792.0	612.0	L	2508	159	yes
114	792.0	612.0	L	792.0	612.0	L	159	2508	yes
115	792.0	612.0	L	792.0	612.0	L	2301	159	yes
116	792.0	612.0	L	792.0	612.0	L	159	2313	yes
117	792.0	612.0	L	792.0	612.0	L	2596	159	yes
118	792.0	612.0	L	792.0	612.0	L	159	2608	yes
119	792.0	612.0	L	792.0	612.0	L	2594	159	yes
120	792.0	612.0	L	792.0	612.0	L	159	2606	yes
121	612.0	792.0	P	792.0	612.0	L	1085	159	NO
122	792.0	612.0	L	612.0	792.0	P	2625	1087	NO
123	792.0	612.0	L	792.0	612.0	L	2632	2643	yes
124	792.0	612.0	L	792.0	612.0	L	2785	2650	yes
125	612.0	792.0	P	792.0	612.0	L	1268	2803	NO
126	792.0	612.0	L	612.0	792.0	P	2996	1270	NO
127	792.0	612.0	L	792.0	612.0	L	160	3020	yes
128	792.0	612.0	L	792.0	612.0	L	2615	2627	yes
129	792.0	612.0	L	792.0	612.0	L	2541	2553	yes
130	792.0	612.0	L	792.0	612.0	L	2548	2561	yes
131	792.0	612.0	L	792.0	612.0	L	2548	2563	yes
132	792.0	612.0	L	792.0	612.0	L	2481	2496	yes
133	792.0	612.0	L	792.0	612.0	L	2619	2637	yes
134	792.0	612.0	L	792.0	612.0	L	2535	2547	yes
135	792.0	612.0	L	792.0	612.0	L	2616	2628	yes
136	792.0	612.0	L	792.0	612.0	L	2621	2633	yes
137	792.0	612.0	L	792.0	612.0	L	2622	2634	yes
138	792.0	612.0	L	792.0	612.0	L	2615	2627	yes
139	792.0	612.0	L	792.0	612.0	L	2619	2631	yes
140	792.0	612.0	L	792.0	612.0	L	2625	2637	yes
141	792.0	612.0	L	792.0	612.0	L	2751	2763	yes
142	792.0	612.0	L	792.0	612.0	L	2754	2766	yes
143	792.0	612.0	L	792.0	612.0	L	2750	2762	yes
144	792.0	612.0	L	792.0	612.0	L	2623	2635	yes
145	792.0	612.0	L	792.0	612.0	L	2630	2642	yes
146	792.0	612.0	L	792.0	612.0	L	2625	2637	yes
147	792.0	612.0	L	792.0	612.0	L	2547	2559	yes
