arm	lines	widest_pt	content
P1_393	2	5.106	i | 19
P1_394	2	5.106	i | 19
P1_395	2	5.106	i | 19
P1_396	2	5.106	i | 19
P1_397	2	5.106	i | 19
P1_398	2	5.106	i | 19
P1_399	1	9.106	i 19
P1_400	1	9.106	i 19
P1_401	1	9.106	i 19
P1_402	1	9.106	i 19
P1_403	1	9.106	i 19
P2_496	2	10.203	i | 1919
P2_497	2	10.203	i | 1919
P2_498	2	10.203	i | 1919
P2_499	2	10.203	i | 1919
P2_500	2	10.203	i | 1919
P2_501	1	14.203	i 1919
P2_502	1	14.203	i 1919
P2_503	1	14.203	i 1919
P2_504	1	14.203	i 1919
P2_505	1	14.203	i 1919
P2_506	1	14.203	i 1919
P3_600	2	15.300	i | 191919
P3_601	2	15.300	i | 191919
P3_602	2	15.300	i | 191919
P3_603	1	19.300	i 191919
P3_604	1	19.300	i 191919
P3_605	1	19.300	i 191919
P3_606	1	19.300	i 191919
P3_607	1	19.300	i 191919
P3_608	1	19.300	i 191919
P3_609	1	19.300	i 191919
P3_610	1	19.300	i 191919
P4_703	2	20.442	i | 19191919
P4_704	2	20.442	i | 19191919
P4_705	2	20.442	i | 19191919
P4_706	1	24.442	i 19191919
P4_707	1	24.442	i 19191919
P4_708	1	24.442	i 19191919
P4_709	1	24.442	i 19191919
P4_710	1	24.442	i 19191919
P4_711	1	24.442	i 19191919
P4_712	1	24.442	i 19191919
P4_713	1	24.442	i 19191919
P6_910	1	34.636	i 191919191919
P6_911	1	34.636	i 191919191919
P6_912	1	34.636	i 191919191919
P6_913	1	34.636	i 191919191919
P6_914	1	34.636	i 191919191919
P6_915	1	34.636	i 191919191919
P6_916	1	34.636	i 191919191919
P6_917	1	34.636	i 191919191919
P6_918	1	34.636	i 191919191919
P6_919	1	34.636	i 191919191919
P6_920	1	34.636	i 191919191919
P8_1117	1	44.876	i 1919191919191919
P8_1118	1	44.876	i 1919191919191919
P8_1119	1	44.876	i 1919191919191919
P8_1120	1	44.876	i 1919191919191919
P8_1121	1	44.876	i 1919191919191919
P8_1122	1	44.876	i 1919191919191919
P8_1123	1	44.876	i 1919191919191919
P8_1124	1	44.876	i 1919191919191919
P8_1125	1	44.876	i 1919191919191919
P8_1126	1	44.876	i 1919191919191919
P8_1127	1	44.876	i 1919191919191919
P12_1531	1	65.309	i 191919191919191919191919
P12_1532	1	65.309	i 191919191919191919191919
P12_1533	1	65.309	i 191919191919191919191919
P12_1534	1	65.309	i 191919191919191919191919
P12_1535	1	65.309	i 191919191919191919191919
P12_1536	1	65.309	i 191919191919191919191919
P12_1537	1	65.309	i 191919191919191919191919
P12_1538	1	65.309	i 191919191919191919191919
P12_1539	1	65.309	i 191919191919191919191919
P12_1540	1	65.309	i 191919191919191919191919
P12_1541	1	65.309	i 191919191919191919191919
P16_1945	1	85.788	i 19191919191919191919191919191919
P16_1946	1	85.788	i 19191919191919191919191919191919
P16_1947	1	85.788	i 19191919191919191919191919191919
P16_1948	1	85.788	i 19191919191919191919191919191919
P16_1949	1	85.788	i 19191919191919191919191919191919
P16_1950	1	85.788	i 19191919191919191919191919191919
P16_1951	1	85.788	i 19191919191919191919191919191919
P16_1952	1	85.788	i 19191919191919191919191919191919
P16_1953	1	85.788	i 19191919191919191919191919191919
P16_1954	1	85.788	i 19191919191919191919191919191919
P16_1955	1	85.788	i 19191919191919191919191919191919
