family	batch	path	ext	score	source	previous_batch	status	kind
sheets	done-003	sheets/done-003/xlsx/Air_Boss_Master_List.xlsx	xlsx	89.6	xlsx/Air_Boss_Master_List.xlsx	batch-003	done	
sheets	done-003	sheets/done-003/xlsx/Bulletin-37-Appendix-2-immediate-detriment-data-request.xlsx	xlsx	95.5	xlsx/Bulletin-37-Appendix-2-immediate-detriment-data-request.xlsx	batch-003	done	
sheets	done-003	sheets/done-003/xlsx/00514292.xlsx	xlsx	101.7	xlsx/00514292.xlsx	batch-003	done	
sheets	done-003	sheets/done-003/xlsx/redac-sas-201503-fy17-research-portfolio.xlsx	xlsx	115.5	xlsx/redac-sas-201503-fy17-research-portfolio.xlsx	batch-003	done	
sheets	done-004	sheets/done-004/xlsx/EU_145s_with_TCCA_approval_-_31.01.2025.xlsx	xlsx	122.5	xlsx/EU_145s_with_TCCA_approval_-_31.01.2025.xlsx	batch-004	done	
sheets	done-004	sheets/done-004/xlsx/UAE Type Accepted Aircraft Models.xlsx	xlsx	127.7	xlsx/UAE Type Accepted Aircraft Models.xlsx	batch-004	done	
sheets	done-004	sheets/done-004/xlsx/List-of-Members-August-2017.xlsx	xlsx	132.9	xlsx/List-of-Members-August-2017.xlsx	batch-004	done	
sheets	done-004	sheets/done-004/xlsx/Travel-Cost-Estimate-Calculator.xlsx	xlsx	138.8	xlsx/Travel-Cost-Estimate-Calculator.xlsx	batch-004	done	
sheets	done-004	sheets/done-004/xlsx/Estero Rotary Awards.xlsx	xlsx	142.6	xlsx/Estero Rotary Awards.xlsx	batch-004	done	
sheets	done-004	sheets/done-004/xlsx/Foreign_SA-CAT-I_and_CAT-II-III_Pub_0.xlsx	xlsx	172.1	xlsx/Foreign_SA-CAT-I_and_CAT-II-III_Pub_0.xlsx	batch-004	done	
sheets	done-004	sheets/done-004/xlsx/Part_375_Operators.xlsx	xlsx	172.8	xlsx/Part_375_Operators.xlsx	batch-004	done	
sheets	done-005	sheets/done-005/xlsx/arp-sop-300-Exhibit-A-Table-Templates.xlsx	xlsx	173.0	xlsx/arp-sop-300-Exhibit-A-Table-Templates.xlsx	batch-005	done	
sheets	done-005	sheets/done-005/xlsx/National-Reports.xlsx	xlsx	175.1	xlsx/National-Reports.xlsx	batch-005	done	
sheets	done-005	sheets/done-005/xlsx/esurf-12-135-2024-t01.xlsx	xlsx	198.6	xlsx/esurf-12-135-2024-t01.xlsx	batch-005	done	
sheets	done-005	sheets/done-005/xlsx/Part_129_Operators.xlsx	xlsx	205.7	xlsx/Part_129_Operators.xlsx	batch-005	done	
sheets	done-005	sheets/done-005/xlsx/june_2025_published.xlsx	xlsx	223.1	xlsx/june_2025_published.xlsx	batch-006	done	
