family	batch	path	ext	score	source	previous_batch	status	kind
sheets	ceiling-001	sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	xls	691.4	xls/Template Pilot Logbook JAR-FCL V3.0.xls	batch-010	open	ceiling
sheets	done-001	sheets/done-001/xls/REDAC_SCHEDULE_RPD_135.xls	xls	55.8	xls/REDAC_SCHEDULE_RPD_135.xls	batch-001	done	
sheets	done-001	sheets/done-001/xls/Airplanes-MTOW.xls	xls	65.7	xls/Airplanes-MTOW.xls	batch-001	done	
sheets	done-001	sheets/done-001/xls/RPD 155 REDAC SCHEDULE 2014-04-02.xls	xls	66.7	xls/RPD 155 REDAC SCHEDULE 2014-04-02.xls	batch-001	done	
sheets	done-002	sheets/done-002/xls/P1636e.xls	xls	69.4	xls/P1636e.xls	batch-002	done	
sheets	done-002	sheets/done-002/xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	xls	73.1	xls/2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2.xls	batch-002	done	
sheets	done-002	sheets/done-002/xls/REDAC_SCHEDULE_RPD_137.xls	xls	73.6	xls/REDAC_SCHEDULE_RPD_137.xls	batch-002	done	
sheets	done-002	sheets/done-002/xls/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.xls	xls	86.2	xls/2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2.xls	batch-002	done	
sheets	done-003	sheets/done-003/xls/RPA-Budgets-FY-17-19-20.xls	xls	87.1	xls/RPA-Budgets-FY-17-19-20.xls	batch-003	done	
sheets	done-003	sheets/done-003/xls/programs contact list as of 07-01-10.xls	xls	93.2	xls/programs contact list as of 07-01-10.xls	batch-003	done	
sheets	done-003	sheets/done-003/xls/4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements.xls	xls	100.2	xls/4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements.xls	batch-003	done	
sheets	done-003	sheets/done-003/xls/disclosures_ecm.xls	xls	108.5	xls/disclosures_ecm.xls	batch-003	done	
sheets	done-003	sheets/done-003/xls/NPA_21_21_Sentenced_Comments.xls	xls	111.5	xls/NPA_21_21_Sentenced_Comments.xls	batch-003	done	
