118 movers scored; spans that moved between the legs: 5808
  of those, CLOSER to 26.2.4.2 3372, FURTHER 2406, level 30
  documents net better 51, net worse 50, net level 17

    moved  closer further  document
        5       1       4  dd515c324f94-1_tpr_template__from_fy14_.rtf
        3       0       3  3e0300952bd6-316r_a_e.odt
        3       0       3  66cd4750ab46-ESPN-R - MCF - Manual - Ed1.0 - For Publication
        3       0       3  316r_a_e.doc
        3       0       3  Regulations Governing the Status, Basic Rights and Duties of
        8       2       6  5294802b75fb-UG.CAO.00006 Foreign Part 145 approvals - User 
       13       4       8  9594432b2a4f-f2_registro_de_aprovacao_com_pbcs_EN.rtf
        6       1       5  Company-profile-2022-EN.docx
       13       4       8  f2_registro_de_aprovacao_com_pbcs_EN.docx
        5       0       5  c99c93007b33-Sol PJ14-03-04 Solution Contextual.odt
        5       0       5  dd515c324f94-1_tpr_template__from_fy14_.odt
        5       0       5  Sol PJ14-03-04 Solution Contextual.docx
        5       0       5  1_tpr_template__from_fy14_.docx
        9       2       7  template---tpr-technical-progress-report-with-guidance.docx
       13       3       9  9594432b2a4f-f2_registro_de_aprovacao_com_pbcs_EN.odt
       10       2       8  UG.CAO.00006 Foreign Part 145 approvals - User Guide for App
      124      58      65  993ca203e5af-ABCD-FE-01-00 Flight Envelope - v1 08.03.16.rtf
       11       1      10  821bd60f32d6-congregationalhistories_ky_2023.rtf
      216     102     112  dd4c69ac3950-AC-150-5370-10G-updated-201604.rtf
       11       0      11  821bd60f32d6-congregationalhistories_ky_2023.odt
       11       0      11  congregationalhistories_ky_2023.doc
       65      26      38  dd4c69ac3950-AC-150-5370-10G-updated-201604.odt
       13       0      13  ace5b9b0b4d4-03_Technical_Report_(progress)_template.rtf
       13       0      13  ace5b9b0b4d4-03_Technical_Report_(progress)_template.odt
       72      29      43  AirbusCallouts.doc
       76      24      52  a7dcf358bceb-AirbusCallouts.odt
