family	table_class	resolved
Humnst777 Lt BT	Unknown	DejaVu Sans
Impact	SansSerif	DejaVu Sans
IrisUPC	Unknown	DejaVu Sans
Iskoola Pota	Unknown	DejaVu Sans
Javanese Text	Unknown	DejaVu Sans
Jenna Sue	Unknown	DejaVu Sans
Kalinga	Unknown	DejaVu Sans
Kartika	Unknown	DejaVu Sans
Khmer UI	Unknown	DejaVu Sans
KodchiangUPC	Unknown	DejaVu Sans
LLA Regular	Unknown	DejaVu Sans
Latha	Unknown	DejaVu Sans
Lato	Unknown	DejaVu Sans
Lato Black	Unknown	DejaVu Sans
Lato Light	Unknown	DejaVu Sans
Leelawadee UI	Unknown	DejaVu Sans
Liberation Sans	SansSerif	Liberation Sans
LilyUPC	Unknown	DejaVu Sans
Lucida Console	Fixed	DejaVu Sans
Lucida Grande	Unknown	DejaVu Sans
Lucida Handwriting	Unknown	DejaVu Sans
Lucida Sans	SansSerif	DejaVu Sans
Lucida Sans Unicode	SansSerif	DejaVu Sans
MS Gothic	Unknown	DejaVu Sans
MS Mincho	Unknown	DejaVu Sans
MS P????	Unknown	DejaVu Sans
MS PGothic	Unknown	DejaVu Sans
MS Sans Serif	Unknown	DejaVu Sans
MV Boli	Unknown	DejaVu Sans
Maiandra GD	Unknown	DejaVu Sans
Majalla UI	Unknown	DejaVu Sans
Mangal	Unknown	DejaVu Sans
Microsoft Himalaya	Unknown	DejaVu Sans
Microsoft JhengHei	Unknown	DejaVu Sans
Microsoft New Tai Lue	Unknown	DejaVu Sans
Microsoft Tai Le	Unknown	DejaVu Sans
Microsoft Uighur	Unknown	DejaVu Sans
Microsoft YaHei	Unknown	DejaVu Sans
Microsoft Yi Baiti	Unknown	DejaVu Sans
Minion Pro	Unknown	DejaVu Sans
MinionPro-Regular	Unknown	DejaVu Sans
Miriam	Unknown	DejaVu Sans
Mongolian Baiti	Unknown	DejaVu Sans
Monospace	Fixed	DejaVu Sans Mono
Monotype Sorts	Unknown	DejaVu Sans
Montserrat	Unknown	DejaVu Sans
Montserrat Classic Bold	Unknown	DejaVu Sans
Montserrat Light Bold	Unknown	DejaVu Sans
Montserrat Light Light	Unknown	DejaVu Sans
MoolBoran	Unknown	DejaVu Sans
Myanmar Text	Unknown	DejaVu Sans
NewCenturySchlbk	Serif	DejaVu Sans
Nimbus Sans L	SansSerif	DejaVu Sans
Nirmala UI	Unknown	DejaVu Sans
Nyala	Unknown	DejaVu Sans
OCR A Extended	Unknown	DejaVu Sans
OfficinaSans	Unknown	DejaVu Sans
Open Sans	Unknown	DejaVu Sans
Open Sans Light	Unknown	DejaVu Sans
Optima	Unknown	DejaVu Sans
Palatino	Serif	DejaVu Serif
Palatino Linotype	Unknown	DejaVu Serif
Perpetua Titling MT	Unknown	DejaVu Sans
Phagspa	Unknown	DejaVu Sans
PingFang SC	Unknown	DejaVu Sans
Plantagenet Cherokee	Unknown	DejaVu Sans
Play	Unknown	DejaVu Sans
Proxima Nova A	Unknown	DejaVu Sans
Raavi	Unknown	DejaVu Sans
Raleway	Unknown	DejaVu Sans
Raleway ExtraBold	Unknown	DejaVu Sans
Roboto	Unknown	DejaVu Sans
Roboto Black	Unknown	DejaVu Sans
Roboto Bold	Unknown	DejaVu Sans
Roboto Medium	Unknown	DejaVu Sans
Roboto Regular	Unknown	DejaVu Sans
Roboto-light	Unknown	DejaVu Sans
Roboto-medium	Unknown	DejaVu Sans
Roboto-thin	Unknown	DejaVu Sans
Roman 10cpi	Unknown	DejaVu Sans
Rubik	Unknown	DejaVu Sans
Sans-serif	SansSerif	DejaVu Sans
Segoe UI	Unknown	DejaVu Sans
Segoe UI Black	Unknown	DejaVu Sans
Segoe UI Emoji	Unknown	DejaVu Sans
Segoe UI Light	Unknown	DejaVu Sans
Segoe UI Semibold	Unknown	DejaVu Sans
Segoe UI Symbol	Unknown	DejaVu Sans
Shruti	Unknown	DejaVu Sans
SimSun	Unknown	DejaVu Serif
Source Sans Pro	Unknown	DejaVu Sans
Source Sans Pro SemiBold	Unknown	DejaVu Sans
Souvenir Lt BT	Unknown	DejaVu Sans
Stencil	Unknown	DejaVu Sans
Sylfaen	Unknown	DejaVu Sans
Symbol	Symbol	OpenSymbol
System Font Regular	Unknown	DejaVu Sans
Tahoma	SansSerif	DejaVu Sans
Times	Serif	Liberation Serif
Times New Roman	Serif	Liberation Serif
Times New Roman Bold	Unknown	DejaVu Sans
Times New Roman CE	Unknown	DejaVu Sans
Times New Roman CYR	Unknown	DejaVu Sans
Times-Italic	Unknown	DejaVu Sans
Times-Roman	Serif	DejaVu Sans
TimesNewRoman	Serif	Liberation Serif
TimesNewRoman,Bold	Unknown	DejaVu Sans
TimesNewRomanPSMT	Unknown	DejaVu Sans
Traditional Arabic	Unknown	DejaVu Sans
Trebuchet MS	Unknown	DejaVu Sans
Tunga	Unknown	DejaVu Sans
Tw Cen MT	Unknown	DejaVu Sans
Univers	SansSerif	DejaVu Sans
Univers (W1)	Unknown	DejaVu Sans
Verdana	SansSerif	DejaVu Sans
Verdana-Bold	Unknown	DejaVu Sans
Vrinda	Unknown	DejaVu Sans
WP TypographicSymbols	Unknown	DejaVu Sans
Webdings	Symbol	OpenSymbol
Wingdings	Symbol	OpenSymbol
Wingdings 2	Symbol	OpenSymbol
Wingdings 3	Symbol	OpenSymbol
Yu Gothic	Unknown	DejaVu Sans
Yu Gothic Light	Unknown	DejaVu Sans
Yu Mincho	Unknown	DejaVu Sans
proxima_novasemibold	Unknown	DejaVu Sans
roboto	Unknown	DejaVu Sans
ヒラギノ角ゴ Pro W3	Unknown	DejaVu Sans
メイリオ	Unknown	DejaVu Sans
华文中宋	Unknown	DejaVu Sans
华文新魏	Unknown	DejaVu Sans
华文楷体	Unknown	DejaVu Sans
宋体	Unknown	DejaVu Sans
微軟正黑體	Unknown	DejaVu Sans
微软雅黑	Unknown	DejaVu Sans
新細明體	Unknown	DejaVu Sans
方正姚体	Unknown	DejaVu Sans
方正舒体	Unknown	DejaVu Sans
標楷體	Unknown	DejaVu Sans
游ゴシック	Unknown	DejaVu Sans
游ゴシック Light	Unknown	DejaVu Sans
游明朝	Unknown	DejaVu Sans
等线	Unknown	DejaVu Sans
等线 Light	Unknown	DejaVu Sans
隶书	Unknown	DejaVu Sans
黑体	Unknown	DejaVu Sans
굴림	Unknown	DejaVu Sans
돋움	Unknown	DejaVu Sans
맑은 고딕	Unknown	DejaVu Sans
바탕	Unknown	DejaVu Sans
휴먼매직체	Unknown	DejaVu Sans
ＭＳ ゴシック	Unknown	DejaVu Sans
ＭＳ 明朝	Unknown	DejaVu Serif
ＭＳ Ｐゴシック	Unknown	DejaVu Sans
ＭＳ Ｐ明朝	Unknown	DejaVu Sans
