words/batch-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	doc	2/2	774/774	3/3	0	match	781/779
words/batch-006/doc/P200904290238_0238_51880.doc	doc	3/3	308/308	4/4	0	match	312/312
words/batch-006/docx/62599_FRANCE-BRAZIL- Air France Flight 447 crash.docx	docx	18/18	6133/6133	2/2	0	match	6166/6166
words/batch-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	docx	2/2	424/424	3/3	0	match	430/430
words/batch-006/docx/cacs-206-1751218225.docx	docx	2/2	347/347	3/3	0	match	348/348
words/batch-006/docx/f445896eb008d14c1746fc37d412dc22.docx	docx	15/15	5453/5453	3/3	0	match	5657/5657
words/batch-006/docx/healthcare-reform-nsa-provider-bulletin.docx	docx	5/5	1936/1936	7/7	0	match	1980/1980
words/batch-006/docx/technical-memo-format.docx	docx	5/5	1813/1812	5/5	0	match	1847/1846
words/batch-007/doc/RNW167A-150428.doc	doc	9/9	1767/1767	5/5	0	match	1770/1770
words/batch-007/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	doc	6/6	941/941	4/4	0	match	955/955
words/batch-007/doc/chapter 12.doc	doc	12/12	3671/3671	4/4	0	match	3683/3683
words/batch-007/doc/congregationalhistories_ky_2023.doc	doc	1/1	247/247	3/3	0	match	252/252
words/batch-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	docx	1/1	393/398	4/4	0	match	413/418
words/batch-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	docx	2/2	827/813	3/3	0	match	843/828
words/batch-007/docx/final-technical-report-template.docx	docx	6/6	1119/1123	6/6	0	match	1132/1136
words/batch-007/docx/johnson_hall_service_log.pdf.docx	docx	1/1	274/274	6/6	0	match	317/317
words/batch-007/docx/technical-report-template.docx	docx	7/7	728/715	2/2	0	match	741/725
words/batch-007/docx/template-technical-report.docx	docx	10/10	837/837	3/3	0	match	859/859
words/batch-008/doc/1245685 1 Comment.doc	doc	1/1	326/326	7/7	0	match	327/327
words/batch-008/doc/2024-2nd-quarter-case-summaries.doc	doc	10/10	5675/5675	4/4	0	match	5677/5677
words/batch-008/doc/FlightLaws.doc	doc	4/4	1073/1074	4/5	0	match	1132/1133
words/batch-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	doc	6/6	1027/1027	4/4	0	match	1083/1083
words/batch-008/docx/09.docx	docx	2/2	463/463	4/4	0	match	463/463
words/batch-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	docx	6/6	3280/3280	5/5	0	match	3304/3304
words/batch-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	docx	4/4	670/670	4/4	0	match	691/691
words/batch-008/docx/FAA-2017-0628-0002_attachment_1.docx	docx	4/4	666/638	5/5	0	words	671/641
words/batch-008/docx/UAS-SGI_waiver_approval_request_form.docx	docx	2/2	489/489	3/3	0	match	513/513
words/batch-008/docx/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.docx	docx	9/9	1510/1499	3/3	0	match	1549/1537
words/batch-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	doc	3/3	332/332	2/3	0	match	359/359
words/batch-009/doc/237287_0486190101_0486190101_geolink2neu.doc	doc	8/8	1430/1430	4/4	0	match	1605/1605
words/batch-009/doc/A380MaenPressRel.doc	doc	3/3	770/771	5/6	0	match	789/790
words/batch-009/doc/CP-ETSO template_v2020.DOC	doc	6/6	1111/1111	4/6	0	match	1136/1136
words/batch-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	doc	8/8	1221/1221	4/4	0	match	1268/1268
words/batch-009/docx/Case-Study-Heathrow-Airport.docx	docx	3/3	1184/1184	6/6	0	match	1216/1216
words/batch-009/docx/Contract_Check_Pilot_Sample_LOA.docx	docx	4/4	1324/1324	6/6	0	match	1336/1336
words/batch-009/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	docx	3/3	1531/1531	4/4	0	match	1553/1553
words/batch-009/docx/SWDD-template.docx	docx	6/6	1062/1077	6/6	0	match	1063/1078
words/batch-009/docx/form_1123_application_form_rvsm_spa.docx	docx	3/3	578/578	5/5	0	match	638/638
words/batch-010/doc/361400CSLegislation1RF01PUBLIC1.doc	doc	35/35	12615/12620	4/4	0	match	12642/12647
words/batch-010/doc/f111.doc	doc	11/11	3347/3347	6/6	0	match	3392/3392
words/batch-010/docx/195584360.docx	docx	20/20	7843/7841	5/5	0	match	8012/8010
words/batch-010/docx/5709.16 ch.40_mgfinal.docx	docx	31/32	9790/9821	4/4	0	pages	10001/10034
words/batch-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	docx	3/3	1102/1102	4/4	0	match	1102/1102
words/batch-010/docx/PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th.docx	docx	5/5	582/582	4/4	0	match	584/584
words/batch-010/docx/Writing a technical report (SCE subject guide).docx	docx	4/4	1221/1221	8/8	0	match	1267/1267
words/batch-010/docx/te.iors.00048-002 SUP Questionnaire.docx	docx	4/4	620/620	2/2	0	match	640/640
words/batch-010/docx/technical report template.docx	docx	10/10	856/845	4/4	0	match	857/846
words/batch-011/doc/135.doc	doc	14/14	5265/5261	7/8	0	match	5323/5316
words/batch-011/doc/1528364855.doc	doc	3/3	1072/1072	4/4	0	match	1103/1104
