slides/batch-001/ppt/WC_Update-Aug03.ppt	LiberationSerif,LiberationSerif-Bold	LiberationSerif,LiberationSerif-Bold
slides/batch-001/ppt/policy-pesentation.ppt	LiberationSans,LiberationSans-Bold,OpenSymbol	LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-001/ppt/wells08_basic.ppt	LiberationSans,LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic	LiberationSans,LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic
slides/batch-001/pptx/111006 COMSTAC STOWG Aero spaceports IFG.pptx	Carlito-Regular,LiberationSans	Carlito-Regular,LiberationSans
slides/batch-001/pptx/BMFE-06-03 (Gerflor) Smoke Density and Toxicity.pptx	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,OpenSymbol	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,OpenSymbol
slides/batch-001/pptx/Definitions commodity chains.pptx	LiberationSans,LiberationSans-Bold	LiberationSans,LiberationSans-Bold
slides/batch-001/pptx/Statement of Work presentation.pptx	DejaVuSans,DejaVuSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-001/pptx/Trust Fund Excise Taxes Structure.pptx	LiberationSans,LiberationSans-Bold	LiberationSans,LiberationSans-Bold
slides/batch-001/pptx/fishbone-diagram-template-ppt-1.pptx	Carlito-Regular,LiberationSans	Carlito-Regular,LiberationSans
slides/batch-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	DejaVuSerif,DejaVuSerif-Bold,LiberationSans,LiberationSans-Italic,LiberationSerif,LiberationSerif-Italic	DejaVuSerif,DejaVuSerif-Bold,LiberationSans,LiberationSans-Italic
slides/batch-002/ppt/gfopportunitiesforlinkagespres_2010_en.ppt	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007.ppt	DejaVuSans-Bold,LiberationSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles.ppt	DejaVuSans,DejaVuSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-002/ppt/ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar.ppt	LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic	LiberationSerif,LiberationSerif-Bold,LiberationSerif-Italic
slides/batch-002/ppt/ws_prod-g-doc-Events-Part-M-presentation.ppt	DejaVuSans,DejaVuSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-002/pptx/Curriculum-Schematic-E22-11052025.pptx	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-Italic	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-Italic
slides/batch-002/pptx/diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1.pptx	Carlito-Bold,Carlito-Italic,DejaVuSans-Bold	Carlito-Bold,Carlito-Italic,DejaVuSans-Bold
slides/batch-002/pptx/iaeg_work_group_leader_updates.pptx	Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic	Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-Italic
slides/batch-002/pptx/medicines_bulletin_february_2023_final.pptx	Carlito-Bold,Carlito-Regular,LiberationSans-Bold	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold
slides/batch-003/ppt/010605Vul.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,LiberationSerif,LiberationSerif-Italic	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol
slides/batch-003/ppt/Inducement-to-Insurance-Business.ppt	Carlito-Bold,DejaVuSans-Bold,DejaVuSerif,DejaVuSerif-Bold	Carlito-Bold,Carlito-Regular,DejaVuSans-Bold,DejaVuSerif,DejaVuSerif-Bold
slides/batch-003/ppt/outlook_of_nigerian_pension_sector.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,OpenSymbol,WenQuanYiZenHei
slides/batch-003/ppt/ws_prod-g-doc-Events-2007-Privileges.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-003/ppt/ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans-Bold,OpenSymbol
slides/batch-003/pptx/02_REDAC_New ATM briefing _March 2017v2.pptx	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol
slides/batch-003/pptx/97936.pptx	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-003/pptx/NCW-2024-Guide-.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold
slides/batch-003/pptx/dhs-293364.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,DejaVuSerif,LiberationSans,LiberationSans-Bold,OpenSymbol	Carlito-Bold,Carlito-Regular,DejaVuSans-Bold,DejaVuSerif,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-003/pptx/ev122_jj-liew-tort-of-bribery-webinar.pptx	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol	LiberationSans,LiberationSans-Bold,LiberationSans-Italic,OpenSymbol
slides/batch-004/ppt/undp_presentation_revised_17_may.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold,LiberationSerif,LiberationSerif-Bold,OpenSymbol
slides/batch-004/ppt/ws_prod-g-doc-Events-2007-september-M.017-(French)-France.ppt	DejaVuSans,DejaVuSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-004/ppt/ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold
slides/batch-004/pptx/DOE Interactive Exercise Presentation draft rev 2.pptx	Carlito-Regular,DejaVuSans,LiberationSans,LiberationSans-Bold,OpenSymbol	Carlito-Regular,DejaVuSans,LiberationSans,LiberationSans-Bold,OpenSymbol
slides/batch-004/pptx/Item 6b - UNSD - Dissemination through APIs.pptx	Carlito-Bold,Carlito-Regular,LiberationSans,LiberationSans-Bold	Carlito-Bold,Carlito-Regular,LiberationSans
slides/batch-004/pptx/Liturgical-Commission-2025-Convention-Presentation.pptx	DejaVuSans,LiberationSans	LiberationSans,Play-Regular
slides/batch-004/pptx/Session 21- The option to expand & abandon.pptx	LiberationSans,LiberationSans-Italic,LiberationSerif,LiberationSerif-Bold,OpenSymbol	LiberationSans,LiberationSans-Italic,LiberationSerif,LiberationSerif-Bold,OpenSymbol
slides/batch-004/pptx/ghgp-supply-chain-initiative_20100323_wri.pptx	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol	Carlito-Bold,Carlito-BoldItalic,Carlito-Italic,Carlito-Regular,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol
slides/batch-004/pptx/redac-fullComm-201705-EE-FRs-briefing.pptx	Carlito-Bold,Carlito-Regular,DejaVuSerif,OpenSymbol	Carlito-Bold,Carlito-Regular,DejaVuSerif,OpenSymbol
slides/batch-004/pptx/solog_orientation_august_2019.pptx	Carlito-Regular,DejaVuSerif,DejaVuSerif-Bold,LiberationSans,LiberationSans-Bold	Carlito-Regular,DejaVuSans-Bold,DejaVuSerif,DejaVuSerif-Bold,LiberationSans,OpenSymbol
slides/batch-005/ppt/0335fab9-79f0-4944-b92c-f223837ca2d8.ppt	LiberationSans,LiberationSans-Bold,LiberationSans-Italic	LiberationSans,LiberationSans-Bold,LiberationSans-Italic
slides/batch-005/ppt/berlin.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSerif	DejaVuSans,DejaVuSans-Bold,LiberationSerif,OpenSymbol
slides/batch-005/ppt/ws_prod-g-doc-Events-industrymeeting18112004-Aercap.ppt	DejaVuSans,DejaVuSans-Bold,LiberationSerif,OpenSymbol	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-005/pptx/5b_upasana_dasgupta_-_liability_and_registration.pptx	DejaVuSans,DejaVuSans-Bold,OpenSymbol	DejaVuSans,DejaVuSans-Bold,OpenSymbol
slides/batch-005/pptx/ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016.pptx	DejaVuSans,LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic	LiberationSans,LiberationSans-Bold,LiberationSans-BoldItalic,LiberationSans-Italic,OpenSymbol
slides/batch-005/pptx/NAS-Infrastructure-Roadmaps-Weather.pptx	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold	DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Bold
slides/batch-005/pptx/attendance-updates-for-governors.pptx	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Italic,OpenSymbol	Carlito-Bold,Carlito-Regular,DejaVuSans,DejaVuSans-Bold,LiberationSans,LiberationSans-Italic,OpenSymbol
