document	linked_cells	stating_a_colour	stating_a_non_black_one
011_Contextures_chart_sample_599b4392.xls	5	5	5
014_Contextures_chart_sample_991ecfc5.xls	5	5	0
Praktikastellen_-_chinesischsprachiger_Kulturraum.xls	53	52	52
CSA_CCM_v1.2.xls	10	10	10
RMP 2011-2014 and Inventory.xls	1	0	0
SIL_TDB605.xls	1	1	1
SIL_TDB609.xls	1	1	1
capa-liste-nse-1.xls	2	2	2
7-memento-2015-transports-aeriens-b.xls	62	62	62
AIM_OPR_LIST.xls	2232	0	0
orbus_togaf_tool_csq.xls	2	2	2
