label	count	thickness_pt
Q0	1	0.3194
Q1	1	0.3194
Q2	1	0.3194
Q3	1	0.3725
Q4	1	0.3725
Q5	1	0.3725
Q6	1	0.4257
Q7	1	0.4257
Q8	1	0.4257
Q9	1	0.4790
Q10	1	0.4790
Q11	1	0.4790
Q12	1	0.5322
Q13	1	0.5322
Q14	1	0.5322
Q15	1	0.5854
Q16	1	0.5854
Q17	1	0.5854
Q18	1	0.6387
Q19	1	0.6387
Q20	1	0.6387
Q21	1	0.7451
Q22	1	0.7451
Q23	1	0.7451
Q24	1	0.8516
Q25	1	0.8516
Q26	1	0.8516
Q27	1	0.9580
Q28	1	0.9580
Q29	1	0.9580
Q30	1	1.0645
Q31	1	1.0645
Q32	1	1.0645
Q33	1	1.2773
Q34	1	1.2773
Q35	1	1.2773
Q36	1	1.4902
Q37	1	1.4902
Q38	1	1.4902
Q39	1	1.9160
Q40	1	1.9160
Q41	1	1.9160
Q42	1	2.5547
Q43	1	2.5547
Q44	1	2.5547
Q45	1	0.3252
Q46	1	0.3252
Q47	1	0.3252
Q48	1	0.3794
Q49	1	0.3794
Q50	1	0.3794
Q51	1	0.4336
Q52	1	0.4336
Q53	1	0.4336
Q54	1	0.4878
Q55	1	0.4878
Q56	1	0.4878
Q57	1	0.5420
Q58	1	0.5420
Q59	1	0.5420
Q60	1	0.5962
Q61	1	0.5962
Q62	1	0.5962
Q63	1	0.6504
Q64	1	0.6504
Q65	1	0.6504
Q66	1	0.7588
Q67	1	0.7588
Q68	1	0.7588
Q69	1	0.8672
Q70	1	0.8672
Q71	1	0.8672
Q72	1	0.9756
Q73	1	0.9756
Q74	1	0.9756
Q75	1	1.0840
Q76	1	1.0840
Q77	1	1.0840
Q78	1	1.3008
Q79	1	1.3008
Q80	1	1.3008
Q81	1	1.5176
Q82	1	1.5176
Q83	1	1.5176
Q84	1	1.9512
Q85	1	1.9512
Q86	1	1.9512
Q87	1	2.6016
Q88	1	2.6016
Q89	1	2.6016
Q90	1	0.4160
Q91	1	0.4160
Q92	1	0.4160
Q93	1	0.4854
Q94	1	0.4854
Q95	1	0.4854
Q96	1	0.5547
Q97	1	0.5547
Q98	1	0.5547
Q99	1	0.6240
Q100	1	0.6240
Q101	1	0.6240
Q102	1	0.6934
Q103	1	0.6934
Q104	1	0.6934
Q105	1	0.7627
Q106	1	0.7627
Q107	1	0.7627
Q108	1	0.8320
Q109	1	0.8320
Q110	1	0.8320
Q111	1	0.9707
Q112	1	0.9707
Q113	1	0.9707
Q114	1	1.1094
Q115	1	1.1094
Q116	1	1.1094
Q117	1	1.2480
Q118	1	1.2480
Q119	1	1.2480
Q120	1	1.3867
Q121	1	1.3867
Q122	1	1.3867
Q123	1	1.6641
Q124	1	1.6641
Q125	1	1.6641
Q126	1	1.9414
Q127	1	1.9414
Q128	1	1.9414
Q129	1	2.4961
Q130	1	2.4961
Q131	1	2.4961
Q132	1	3.3281
Q133	1	3.3281
Q134	1	3.3281
Q135	1	0.5683
Q136	1	0.5683
Q137	1	0.3926
Q138	1	0.6631
Q139	1	0.6631
Q140	1	0.4580
Q141	1	0.7578
Q142	1	0.7578
Q143	1	0.5235
Q144	1	0.8525
Q145	1	0.8525
Q146	1	0.5889
Q147	1	0.9472
Q148	1	0.9472
Q149	1	0.6543
Q150	1	1.0420
Q151	1	1.0420
Q152	1	0.7198
Q153	1	1.1367
Q154	1	1.1367
Q155	1	0.7851
Q156	1	1.3261
Q157	1	1.3261
Q158	1	0.9160
Q159	1	1.5156
Q160	1	1.5156
Q161	1	1.0469
Q162	1	1.7050
Q163	1	1.7050
Q164	1	1.1777
Q165	1	1.8946
Q166	1	1.8946
Q167	1	1.3086
Q168	1	2.2735
Q169	1	2.2735
Q170	1	1.5703
Q171	1	2.6525
Q172	1	2.6524
Q173	1	1.8320
Q174	1	3.4102
Q175	1	3.4102
Q176	1	2.3553
Q177	1	4.5469
Q178	1	4.5469
Q179	1	3.1406
Q180	1	0.3000
Q181	1	0.3000
Q182	1	0.3000
Q183	1	0.3500
Q184	1	0.3500
Q185	1	0.3500
