label	count	thickness_pt
Q0	1	0.3118
Q1	1	0.3118
Q2	1	0.3118
Q3	1	0.3969
Q4	1	0.3969
Q5	1	0.3969
Q6	1	0.3969
Q7	1	0.3969
Q8	1	0.3969
Q9	1	0.5102
Q10	1	0.5102
Q11	1	0.5102
Q12	1	0.5102
Q13	1	0.5102
Q14	1	0.5102
Q15	1	0.5953
Q16	1	0.5953
Q17	1	0.5953
Q18	1	0.5953
Q19	1	0.5953
Q20	1	0.5953
Q21	1	0.7937
Q22	1	0.7937
Q23	1	0.7937
Q24	1	0.9071
Q25	1	0.9071
Q26	1	0.9071
Q27	1	0.9921
Q28	1	0.9921
Q29	1	0.9921
Q30	1	1.1055
Q31	1	1.1055
Q32	1	1.1055
Q33	1	1.3039
Q34	1	1.3039
Q35	1	1.3039
Q36	1	1.5024
Q37	1	1.5024
Q38	1	1.5024
Q39	1	1.8992
Q40	1	1.8992
Q41	1	1.8992
Q42	1	2.6079
Q43	1	2.6079
Q44	1	2.6079
Q45	1	0.3118
Q46	1	0.3118
Q47	1	0.3118
Q48	1	0.3969
Q49	1	0.3969
Q50	1	0.3969
Q51	1	0.3969
Q52	1	0.3969
Q53	1	0.3969
Q54	1	0.5102
Q55	1	0.5102
Q56	1	0.5102
Q57	1	0.5953
Q58	1	0.5953
Q59	1	0.5953
Q60	1	0.5953
Q61	1	0.5953
Q62	1	0.5953
Q63	1	0.7087
Q64	1	0.7087
Q65	1	0.7087
Q66	1	0.7937
Q67	1	0.7937
Q68	1	0.7937
Q69	1	0.9071
Q70	1	0.9071
Q71	1	0.9071
Q72	1	0.9921
Q73	1	0.9921
Q74	1	0.9921
Q75	1	1.1055
Q76	1	1.1055
Q77	1	1.1055
Q78	1	1.3039
Q79	1	1.3039
Q80	1	1.3039
Q81	1	1.5024
Q82	1	1.5024
Q83	1	1.5024
Q84	1	2.0126
Q85	1	2.0126
Q86	1	2.0126
Q87	1	2.6079
Q88	1	2.6079
Q89	1	2.6079
Q90	1	0.3969
Q91	1	0.3969
Q92	1	0.3969
Q93	1	0.5102
Q94	1	0.5102
Q95	1	0.5102
Q96	1	0.5953
Q97	1	0.5953
Q98	1	0.5953
Q99	1	0.5953
Q100	1	0.5953
Q101	1	0.5953
Q102	1	0.7087
Q103	1	0.7087
Q104	1	0.7087
Q105	1	0.7937
Q106	1	0.7937
Q107	1	0.7937
Q108	1	0.7937
Q109	1	0.7937
Q110	1	0.7937
Q111	1	0.9921
Q112	1	0.9921
Q113	1	0.9921
Q114	1	1.1055
Q115	1	1.1055
Q116	1	1.1055
Q117	1	1.3039
Q118	1	1.3039
Q119	1	1.3039
Q120	1	1.3890
Q121	1	1.3890
Q122	1	1.3890
Q123	1	1.7008
Q124	1	1.7008
Q125	1	1.7008
Q126	1	1.8992
Q127	1	1.8992
Q128	1	1.8992
Q129	1	2.4945
Q130	1	2.4945
Q131	1	2.4945
Q132	1	3.2882
Q133	1	3.2882
Q134	1	3.2882
Q135	1	0.5953
Q136	1	0.5953
Q137	1	0.3969
Q138	1	0.7087
Q139	1	0.7087
Q140	1	0.5102
Q141	1	0.7937
Q142	1	0.7937
Q143	1	0.5953
Q144	1	0.9071
Q145	1	0.9071
Q146	1	0.5953
Q147	1	0.9921
Q148	1	0.9921
Q149	1	0.7087
Q150	1	1.1055
Q151	1	1.1055
Q152	1	0.7937
Q153	1	1.1906
Q154	1	1.1906
Q155	1	0.7937
Q156	1	1.3890
Q157	1	1.3890
Q158	1	0.9921
Q159	1	1.5874
Q160	1	1.5874
Q161	1	1.1055
Q162	1	1.8142
Q163	1	1.8142
Q164	1	1.1906
Q165	1	1.8992
Q166	1	1.8992
Q167	1	1.3890
Q168	1	2.2961
Q169	1	2.2961
Q170	1	1.5874
Q171	1	2.6929
Q172	1	2.6929
Q173	1	1.8992
Q174	1	3.4866
Q175	1	3.4866
Q176	1	2.4094
Q177	1	4.5921
Q178	1	4.5921
Q179	1	3.2031
Q180	1	0.3118
Q181	1	0.3118
Q182	1	0.3118
Q183	1	0.3969
Q184	1	0.3969
Q185	1	0.3969
Q186	1	0.3969
Q187	1	0.3969
Q188	1	0.3969
Q189	1	0.5102
Q190	1	0.5102
Q191	1	0.5102
Q192	1	0.5102
Q193	1	0.5102
Q194	1	0.5102
Q195	1	0.5953
Q196	1	0.5953
Q197	1	0.5953
Q198	1	0.5953
Q199	1	0.5953
Q200	1	0.5953
Q201	1	0.7937
Q202	1	0.7937
Q203	1	0.7937
Q204	1	0.7937
Q205	1	0.7937
Q206	1	0.7937
Q207	1	0.9071
Q208	1	0.9071
Q209	1	0.9071
Q210	1	0.9921
Q211	1	0.9921
Q212	1	0.9921
Q213	1	1.1906
Q214	1	1.1906
Q215	1	1.1906
Q216	1	1.5024
Q217	1	1.5024
Q218	1	1.5024
Q219	1	1.8142
Q220	1	1.8142
Q221	1	1.8142
Q222	1	2.4094
Q223	1	2.4094
Q224	1	2.4094
Q225	1	0.3118
Q226	1	0.3118
Q227	1	0.3118
Q228	1	0.3969
Q229	1	0.3969
Q230	1	0.3969
Q231	1	0.3969
Q232	1	0.3969
Q233	1	0.3969
Q234	1	0.3969
Q235	1	0.3969
Q236	1	0.5102
Q237	1	0.5102
Q238	1	0.5102
Q239	1	0.5102
Q240	1	0.5102
Q241	1	0.5102
Q242	1	0.5953
Q243	1	0.5953
Q244	1	0.5953
Q245	1	0.5953
Q246	1	0.7087
Q247	1	0.7087
Q248	1	0.7087
Q249	1	0.7937
Q250	1	0.7937
Q251	1	0.7937
Q252	1	0.7937
Q253	1	0.7937
Q254	1	0.9071
Q255	1	0.9071
Q256	1	0.9071
Q257	1	0.9921
Q258	1	1.1055
Q259	1	1.1055
Q260	1	1.1906
Q261	1	1.3039
Q262	1	1.3039
Q263	1	1.3890
Q264	1	1.5874
Q265	1	1.5874
Q266	1	1.8142
Q267	1	2.2110
Q268	1	2.2110
Q269	1	2.4094
