label	count	thickness_pt
Q0	1	0.3120
Q1	2	0.1980
Q2	1	0.3120
Q3	1	0.3970
Q4	2	0.1980
Q5	1	0.3970
Q6	1	0.3970
Q7	2	0.3120
Q8	1	0.3970
Q9	1	0.5100
Q10	2	0.3120
Q11	1	0.5100
Q12	1	0.5100
Q13	2	0.3120
Q14	1	0.5100
Q15	1	0.5950
Q16	2	0.3970
Q17	1	0.5950
Q18	1	0.5950
Q19	2	0.3970
Q20	1	0.5950
Q21	1	0.7940
Q22	2	0.5100
Q23	1	0.7940
Q24	1	0.9070
Q25	2	0.5100
Q26	1	0.9070
Q27	1	0.9920
Q28	2	0.5950
Q29	1	0.9920
Q30	1	1.1060
Q31	2	0.7090
Q32	1	1.1060
Q33	1	1.3040
Q34	2	0.7940
Q35	1	1.3040
Q36	1	1.5020
Q37	2	0.9070
Q38	1	1.5020
Q39	1	1.8990
Q40	2	1.1910
Q41	1	1.8990
Q42	1	2.6080
Q43	2	1.5870
Q44	1	2.6080
Q45	1	0.3120
Q46	2	0.1980
Q47	1	0.3120
Q48	1	0.3970
Q49	2	0.1980
Q50	1	0.3970
Q51	1	0.3970
Q52	2	0.3120
Q53	1	0.3970
Q54	1	0.5100
Q55	2	0.3120
Q56	1	0.5100
Q57	1	0.5950
Q58	2	0.3970
Q59	1	0.5950
Q60	1	0.5950
Q61	2	0.3970
Q62	1	0.5950
Q63	1	0.7090
Q64	2	0.3970
Q65	1	0.7090
Q66	1	0.7940
Q67	2	0.5100
Q68	1	0.7940
Q69	1	0.9070
Q70	2	0.5950
Q71	1	0.9070
Q72	1	0.9920
Q73	2	0.5950
Q74	1	0.9920
Q75	1	1.1060
Q76	2	0.7090
Q77	1	1.1060
Q78	1	1.3040
Q79	2	0.7940
Q80	1	1.3040
Q81	1	1.5020
Q82	2	0.9920
Q83	1	1.5020
Q84	1	2.0130
Q85	2	1.1910
Q86	1	2.0130
Q87	1	2.6080
Q88	2	1.7010
Q89	1	2.6080
Q90	1	0.3970
Q91	2	0.3120
Q92	1	0.3970
Q93	1	0.5100
Q94	2	0.3120
Q95	1	0.5100
Q96	1	0.5950
Q97	2	0.3970
Q98	1	0.5950
Q99	1	0.5950
Q100	2	0.3970
Q101	1	0.5950
Q102	1	0.7090
Q103	2	0.3970
Q104	1	0.7090
Q105	1	0.7940
Q106	2	0.5100
Q107	1	0.7940
Q108	1	0.7940
Q109	2	0.5100
Q110	1	0.7940
Q111	1	0.9920
Q112	2	0.5950
Q113	1	0.9920
Q114	1	1.1060
Q115	2	0.7090
Q116	1	1.1060
Q117	1	1.3040
Q118	2	0.7940
Q119	1	1.3040
Q120	1	1.3890
Q121	2	0.9070
Q122	1	1.3890
Q123	1	1.7010
Q124	2	1.1060
Q125	1	1.7010
Q126	1	1.8990
Q127	2	1.1910
Q128	1	1.8990
Q129	1	2.4940
Q130	2	1.5870
Q131	1	2.4940
Q132	1	3.2880
Q133	2	2.0980
Q134	1	3.2880
Q135	1	0.5950
Q136	2	0.3970
Q137	1	0.3970
Q138	1	0.7090
Q139	2	0.5100
Q140	1	0.5100
Q141	1	0.7940
Q142	2	0.5950
Q143	1	0.5950
Q144	1	0.9070
Q145	2	0.5950
Q146	1	0.5950
Q147	1	0.9920
Q148	2	0.7090
Q149	1	0.7090
Q150	1	1.1060
Q151	2	0.7090
Q152	1	0.7940
Q153	1	1.1910
Q154	2	0.7940
Q155	1	0.7940
Q156	1	1.3890
Q157	2	0.9070
Q158	1	0.9920
Q159	1	1.5870
Q160	2	1.1060
Q161	1	1.1060
Q162	1	1.8140
Q163	2	1.1910
Q164	1	1.1910
Q165	1	1.8990
Q166	2	1.3040
Q167	1	1.3890
Q168	1	2.2960
Q169	2	1.5870
Q170	1	1.5870
Q171	1	2.6930
Q172	2	1.8140
Q173	1	1.8990
Q174	1	3.4870
Q175	2	2.2960
Q176	1	2.4090
Q177	1	4.5920
Q178	2	3.0900
Q179	1	3.2030
Q180	1	0.3120
Q181	2	0.1980
Q182	1	0.3120
Q183	1	0.3970
Q184	2	0.3120
Q185	1	0.3970
Q186	1	0.3970
Q187	2	0.3120
Q188	1	0.3970
Q189	1	0.5100
Q190	2	0.3120
Q191	1	0.5100
Q192	1	0.5100
Q193	2	0.3970
Q194	1	0.5100
Q195	1	0.5950
Q196	2	0.3970
Q197	1	0.5950
Q198	1	0.5950
Q199	2	0.3970
Q200	1	0.5950
Q201	1	0.7940
Q202	2	0.5100
Q203	1	0.7940
Q204	1	0.7940
Q205	2	0.5950
Q206	1	0.7940
Q207	1	0.9070
Q208	2	0.5950
Q209	1	0.9070
Q210	1	0.9920
Q211	2	0.7090
Q212	1	0.9920
Q213	1	1.1910
Q214	2	0.7940
Q215	1	1.1910
Q216	1	1.5020
Q217	2	0.9920
Q218	1	1.5020
Q219	1	1.8140
Q220	2	1.1910
Q221	1	1.8140
Q222	1	2.4090
Q223	2	1.5870
Q224	1	2.4090
Q225	1	0.3120
Q226	2	0.1980
Q227	1	0.3120
Q228	1	0.3970
Q229	2	0.3120
Q230	1	0.3970
Q231	1	0.3970
