document	catAx_parts	cached_categories	multiword_labels	longest_word	chart_part_langs	catAx_subtree_langs	non_ascii_labels	sample_labels
sheets/chartset-008/xlsx/046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	2	20	10	13	en-US	en-US	0	Parts and materials | Manufacturing equipment | Salaries | Maintenance | Office lease
sheets/chartset-008/xlsx/055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	1	26	13	12	en-US	-	0	Project start | Project initiation | Requirements gathering | Design phase | Development kickoff
sheets/chartset-009/xlsx/029_Annual_budget_Use_this_template_30324a97.xlsx	3	41	0	14	en-US	en-US	0	Income | Expenses | Children | Debt | Dining
sheets/chartset-009/xlsx/041_Business_budget_ef942467.xlsx	1	6	4	9	en-US	en-US	0	Income | Personnel expenses | Operating expenses | Income | Personnel expenses
sheets/chartset-009/xlsx/053_Personal_asset_inventory_5446d84b.xlsx	1	6	0	7	en-US	en-US	0	Car | Bonds | Stocks | Savings | 401k
sheets/chartset-009/xlsx/056_Quarterly_sale_report_baa6bb0d.xlsx	1	30	22	9	en-US	en-US	0	Baby doll | Kite | Bouncy ball | Model airplane | Dollhouse
sheets/chartset-011/xlsx/010_Contextures_chart_sample_e6ea06a3.xlsx	1	14	14	9	-	-	0	Create budget template | Send tempate to managers | Managers complete dept budgets | Collect completed budgets | Compile dept results
sheets/chartset-011/xlsx/028_Budget_summary_report_4aeefd13.xlsx	3	32	26	11	en-US	en-US	0	Long-term liabilities | Accounts payable | Property, plant, and equipment | Inventory | Accounts receivable
sheets/chartset-011/xlsx/030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	2	42	32	12	en-US	en-US	0	Accounts payable | Accrued wages | Accrued compensation | Income taxes payable | Unearned revenue
sheets/chartset-011/xlsx/042_Business_monthly_budget_4e4d092f.xlsx	1	6	4	9	en-US	en-US	0	Income | Personnel expenses | Operating expenses | Income | Personnel expenses
sheets/chartset-011/xlsx/057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	1	40	28	12	en-US	en-US	0	Cash | Investments | Inventories | Accounts receivable | Pre-paid expenses
sheets/chartset-011/xlsx/060_Monthly_company_budget_47b2a99a.xlsx	1	4	0	9	en-US	en-US	0	ESTIMATED | ACTUAL | ESTIMATED | ACTUAL
sheets/chartset-012/xlsx/012_Contextures_chart_sample_9900da76.xlsx	1	12	0	5	-	-	0	East | West | North | South | East
sheets/chartset-012/xlsx/013_Contextures_chart_sample_21b98e22.xlsx	2	15	0	5	-	-	0	East | West | North | South | East
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	4	40	19	19	en-US	en-US	0	Other 1 | Other 2 | Garbage | Vehicle tax/fees | Insurance
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	2	4	2	8	en-US	en-US	0	Next Week | This Week | Tomorrow | Today
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	2	8	6	15	en-US	en-US	0	Employee costs | Office costs | Marketing costs | Training/travel | Employee costs
sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	2	32	8	9	en-US	en-US	0	 January  |  February  |  March  |  April  |  May 
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	2	24	24	10	en-US	en-US	0	ACCOUNT MANAGER | PROJECT MANAGER | STRATEGY MANAGER | DESIGN SPECIALIST | EVENT STAFF
sheets/chartset-013/xlsx/035_Project_plan_for_law_firms_aa2d4462.xlsx	2	24	24	12	en-US	en-US	0	GENERAL PARTNER | BUSINESS LAWYER | DEFENSE LITIGATOR | INTELLECTUAL PROPERTY LAWYER | BANKRUPTCY LAWYER
sheets/chartset-013/xlsx/043_Buy_a_car_vs._rideshare_ff07c7e6.xlsx	1	12	6	9	en-US	en-US	0	Buy a car | Rideshare | Buy a car | Rideshare | Buy a car
sheets/chartset-013/xlsx/049_Expenses_calculator_c351f3d0.xlsx	1	24	0	3	en-US	en-US	0	Mar | Apr | May | Jun | Jul
