document	set	turned_base	turned_noDict	glyphfills_base	glyphfills_noDict	alnum_base	alnum_noDict	text_layout_differs
sheets/chartset-012/xlsx/013_Contextures_chart_sample_21b98e22.xlsx	catAx	0	0	12	12	805	805	no
sheets/chartset-012/xlsx/026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	catAx	0	0	55	55	7852	7852	no
sheets/chartset-012/xlsx/036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	catAx	0	0	1	1	341	341	no
sheets/chartset-013/xlsx/031_Business_expense_budget_f3a46278.xlsx	catAx	0	0	19	19	7699	7699	no
sheets/chartset-013/xlsx/032_Business_expenses_budget_d377eaab.xlsx	catAx	0	0	139	139	4873	4873	no
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	catAx	12	0	4	4	2649	2649	yes
sheets/chartset-013/xlsx/035_Project_plan_for_law_firms_aa2d4462.xlsx	catAx	0	0	4	4	3880	3880	no
sheets/chartset-013/xlsx/043_Buy_a_car_vs._rideshare_ff07c7e6.xlsx	catAx	0	0	5	5	1432	1432	no
sheets/chartset-013/xlsx/049_Expenses_calculator_c351f3d0.xlsx	catAx	0	0	4	4	1526	1526	no
sheets/chartset-014/xlsx/027_Simple_personal_cash_flow_statement_675c6584.xlsx	catAx	8	8	23	23	7949	7949	yes
sheets/chartset-014/xlsx/038_Baby_growth_chart_bb9cd672.xlsx	catAx	0	0	4	4	554	554	no
sheets/chartset-014/xlsx/039_Baby_growth_tracker_e295ae56.xlsx	catAx	0	0	7	7	583	583	no
sheets/chartset-014/xlsx/045_Check_register_with_chart_4becb8a0.xlsx	catAx	0	0	2846	2846	764	764	no
sheets/chartset-014/xlsx/048_Expense_trends_budget_18d1e8ba.xlsx	catAx	0	0	9	9	3984	3984	no
sheets/chartset-014/xlsx/064_Small_business_cash_flow_Use_this_template_0a640756.xlsx	catAx	13	13	78	78	1635	1635	no
sheets/done-010/xlsx/Keywords_Mapping_Graphs_and_Charts.xlsx	catAx	0	0	194	194	25824	25821	yes
slides/ceiling-001/pptx/N2_E_Maestroni_Swarm_COP.pptx	catAx	0	0	225	225	28278	28136	yes
slides/ceiling-002/pptx/8_P-Pavese_AIRBUS-ATB-journee-CRATB.pptx	catAx	0	0	141	141	9914	9914	no
slides/ceiling-002/pptx/Demick_JetBlue.pptx	catAx	0	0	663	663	3179	3179	yes
slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	catAx	38	38	32	32	10945	10945	yes
slides/chartset-001/pptx/bar_chart.pptx	catAx	0	0	4	4	131	131	no
slides/chartset-001/pptx/combo_bar_line_chart.pptx	catAx	0	0	0	0	219	219	no
slides/chartset-001/pptx/line_chart.pptx	catAx	0	0	15	15	113	113	no
slides/chartset-001/pptx/stacked_area_chart.pptx	catAx	0	0	2	2	174	174	no
slides/chartset-001/pptx/stacked_bar_chart.pptx	catAx	0	0	2	2	173	173	no
