029_Annual_budget_Use_this_template_30324a97.xlsx	2/2	943/914	29	18.3	words
030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	8/8	1727/1624	103	32.5	words
033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	3/3	2720/2650	70	53.0	words
040_Blood_pressure_tracker_872b6833.xlsx	1/1	737/727	10	15.0	match
045_Check_register_with_chart_4becb8a0.xlsx	1/1	736/764	-28	15.3	words
047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	5/8	3058/3353	-295	67.1	pages,words
053_Personal_asset_inventory_5446d84b.xlsx	4/2	257/226	31	15.0	pages,words
055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	2/2	960/934	26	18.7	words
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	3/3	2185/1877	308	37.5	words
065_Weight_loss_tracker_ff1c89af.xlsx	2/2	340/308	32	15.0	words
070_Equipment_inventory_list_Use_this_template_fd524c8a.xlsx	1/1	1004/1029	-25	20.6	words
071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	1/2	400/587	-187	15.0	pages,words
075_Idea_planner_tasks_f44ebd73.xlsx	1/1	503/484	19	15.0	words
