029_Annual_budget_Use_this_template_30324a97.xlsx	2/2	594/594	0	15.0	match
030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	6/6	1077/1077	0	21.5	match
033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	3/3	2397/2327	70	46.5	words
040_Blood_pressure_tracker_872b6833.xlsx	1/1	567/567	0	15.0	match
045_Check_register_with_chart_4becb8a0.xlsx	1/1	676/704	-28	15.0	words
047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	5/8	2940/3235	-295	64.7	pages,words
053_Personal_asset_inventory_5446d84b.xlsx	4/2	160/129	31	15.0	pages,words
055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	2/2	680/680	0	15.0	match
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	2/2	1765/1765	0	35.3	match
065_Weight_loss_tracker_ff1c89af.xlsx	2/2	286/286	0	15.0	match
070_Equipment_inventory_list_Use_this_template_fd524c8a.xlsx	1/1	646/646	0	15.0	match
071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	1/2	400/587	-187	15.0	pages,words
075_Idea_planner_tasks_f44ebd73.xlsx	1/1	503/484	19	15.0	words
