         probe     A->B     B->C  rule
     h00000031    37.80    13.80  max
     h00002027    38.65    14.65  max
     h00002582    38.65    14.65  max
     h00178110    38.65    14.65  max
     h00260222    62.65    14.65  sum
     h00263584    62.65    14.65  sum
     h00263693    62.65    14.65  sum
     h00264659    62.65    14.65  sum
     h00264960    62.65    14.65  sum
     h00265349    62.65    14.65  sum
     h00265481    62.65    14.65  sum
     h00265661    62.65    14.65  sum
     h00265871    62.65    14.65  sum
     h00266121    62.65    14.65  sum
     h00266209    62.65    14.65  sum
     h00266229    62.65    14.65  sum
