# pages ours=37 ref=37
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	25	25	0	25	25	209	209	39	39	1	1	aaaabcdeeeefgiiiiilllnnnnoopprrsstttuwy	AAAABCDEEEEFGIIIIILLLNNNNOOPPRRSSTTTUWY
2	28	28	0	28	28	221	221	0	0	1	1		
3	16	16	0	16	16	178	178	0	0	1	1		
4	12	12	0	12	12	80	80	0	0	1	1		
5	47	47	0	47	47	336	336	75	75	1	1	aaaaaaaaaabcccccdeeeeeeeffgghiiiiiiillllmnnnnnnnoooooooopprr	AAAAAAAAAABCCCCCDEEEEEEEFFGGHIIIIIIILLLLMNNNNNNNOOOOOOOOPPRR
6	47	47	0	53	53	249	249	0	0	9	9		
7	240	150	90	260	158	1578	948	630	0	26	10	&&(),,,,,---------./11233:::AAAAAAAAAAAAAABBCCCCCDDDDDDEEEEE	
8	66	66	0	74	74	425	425	0	0	9	9		
9	91	91	0	102	102	624	624	0	0	12	12		
10	113	113	0	129	129	705	705	0	0	16	16		
11	107	107	0	122	122	751	751	0	0	15	15		
12	39	39	0	44	44	249	249	16	16	5	5	aaaeeegmnnoprrtt	AAAEEEGMNNOPRRTT
13	37	37	0	41	41	235	235	29	29	4	4	aaaaaceeeeegilmmnnoppprrrsttx	AAAAACEEEEEGILMMNNOPPPRRRSTTX
14	56	56	0	62	62	359	359	45	45	6	6	aaaaaaabbcccdeeeeeffghiiilllnnnooooprrrrttvvx	AAAAAAABBCCCDEEEEEFFGHIIILLLNNNOOOOPRRRRTTVVX
15	97	97	0	103	103	601	601	35	35	6	6	acceeffiilllnnoooooorrrrrrtttttuuuw	ACCEEFFIILLLNNOOOOOORRRRRRTTTTTUUUW
16	22	22	0	26	26	150	150	19	19	4	4	aadeeeghiinnnorrttt	AADEEEGHIINNNORRTTT
17	7	7	0	7	7	36	36	0	0	0	0		
18	98	98	0	98	98	612	612	0	0	0	0		
19	73	73	0	80	80	483	483	0	0	14	14		
20	117	117	0	137	137	802	802	36	36	24	24	aaaaaaaabbbbiiiiiiiillllppppttttyyyy	AAAAAAAABBBBIIIIIIIILLLLPPPPTTTTYYYY
21	24	24	0	24	24	153	153	0	0	0	0		
22	85	85	0	85	85	484	484	0	0	0	0		
23	77	77	0	77	77	467	467	0	0	1	1		
24	85	84	1	90	89	512	512	0	0	6	5		
25	84	84	0	85	85	487	487	0	0	3	3		
26	35	35	0	41	41	190	190	0	0	8	8		
27	88	88	0	88	88	554	554	0	0	3	3		
28	62	62	0	73	73	342	342	0	0	12	12		
29	104	1	103	109	1	565	2	563	0	6	0	,,,,---0012222477:AAAAAAAAAAAAAACDDEEFFFGGHIIIIJJKLMMMNNNOOO	
30	95	95	0	106	106	604	604	0	0	15	15		
31	89	89	0	101	101	687	687	0	0	12	12		
32	42	42	0	46	46	253	253	0	0	5	5		
33	72	72	0	81	81	430	430	0	0	11	11		
34	3	3	0	3	3	8	8	0	0	0	0		
35	47	47	0	47	47	337	337	75	75	0	0	aaaaaaaaaabcccccdeeeeeeeffgghiiiiiiillllmnnnnnnnoooooooopprr	AAAAAAAAAABCCCCCDEEEEEEEFFGGHIIIIIIILLLLMNNNNNNNOOOOOOOOPPRR
36	44	44	0	49	49	297	297	0	0	9	9		
37	80	80	0	87	87	511	511	0	0	8	8		
# TOTAL gate ours=2454 ref=2260 delta=194
# TOTAL chars ours=15764 ref=14571 delta=1193
# chars ours-only=1394 ref-only=201
# ours-only: ex150 ax136 nx127 tx109 ix106 ox102 rx100 sx72 cx54 lx47 px38 dx35 gx35 ux34 mx27 hx25 fx20 yx18 Sx15 vx15 •x14 bx13 -x12 wx11 ,x9 
# ref-only : Rx25 Ex23 Ax22 Ix21 Nx20 Lx16 Tx15 Ox15 Px12 Cx11 Bx7 Yx6 Gx3 Fx2 Xx2 Hx1 
