# pages ours=20 ref=20
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	45	45	0	47	47	261	261	0	0	4	4		
2	69	69	0	71	71	378	378	0	0	2	2		
3	45	45	0	47	47	261	261	0	0	2	2		
4	16	16	0	18	22	135	135	0	0	2	6		
5	8	8	0	8	11	53	53	0	0	0	3		
6	35	35	0	35	35	198	198	0	0	1	1		
7	15	15	0	15	15	70	70	0	0	0	0		
8	12	12	0	12	12	74	74	0	0	0	0		
9	26	26	0	26	26	154	154	0	0	2	2		
10	97	9	88	102	9	567	46	521	0	5	0	()-.........000001115555666677777789<====>>>>ABBBBDDEEEIIIIL	
11	47	47	0	49	49	296	296	0	0	2	2		
12	47	47	0	51	51	246	246	0	0	5	5		
13	51	51	0	54	54	253	253	0	0	3	3		
14	50	50	0	53	53	277	277	0	0	5	5		
15	115	115	0	122	122	616	616	0	0	9	9		
16	49	49	0	52	52	317	317	0	0	3	3		
17	54	54	0	58	58	325	325	0	0	6	6		
18	91	91	0	95	95	480	480	0	0	6	6		
19	0	0	0	0	0	0	0	0	0	0	0		
20	28	28	0	33	33	203	203	0	0	5	5		
# TOTAL gate ours=900 ref=812 delta=88
# TOTAL chars ours=5164 ref=4643 delta=521
# chars ours-only=521 ref-only=0
# ours-only: ax50 tx50 nx42 ix40 ex38 ox35 lx27 ux25 sx21 rx21 mx19 cx15 dx9 .x9 fx8 Tx8 hx8 px6 7x6 vx5 kx5 0x5 Px4 6x4 Ix4 
# ref-only : 
