# pages ours=54 ref=54
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	22	22	0	22	22	135	135	0	0	0	0		
2	42	42	0	43	43	355	355	0	0	1	1		
3	74	74	0	74	74	506	506	0	0	0	0		
4	16	16	0	18	22	138	138	0	0	2	6		
5	10	10	0	10	14	66	66	0	0	0	4		
6	49	49	0	49	55	275	275	0	0	0	6		
7	39	39	0	41	41	230	230	0	0	2	2		
8	97	9	88	102	9	567	46	521	0	5	0	()-.........000001115555666677777789<====>>>>ABBBBDDEEEIIIIL	
9	48	48	0	48	48	237	237	0	0	3	3		
10	17	17	0	17	24	122	122	0	0	0	7		
11	124	121	3	137	134	641	641	0	0	4	1		
12	69	69	0	75	75	320	320	0	0	1	1		
13	51	51	0	51	55	274	274	0	0	1	5		
14	21	21	0	21	24	153	153	0	0	0	3		
15	45	45	0	45	52	266	266	0	0	0	7		
16	42	42	0	42	48	253	253	0	0	0	6		
17	59	59	0	62	62	352	352	0	0	1	1		
18	83	83	0	84	84	477	477	0	0	5	5		
19	83	83	0	86	86	440	440	0	0	3	3		
20	202	202	0	210	210	1034	1034	0	0	7	7		
21	138	138	0	138	138	758	758	0	0	0	0		
22	4	4	0	4	4	29	29	0	0	0	0		
23	57	57	0	59	65	280	280	0	0	4	10		
24	109	109	0	126	126	654	654	0	0	15	15		
25	108	108	0	113	113	596	596	0	0	10	10		
26	84	84	0	88	88	484	484	0	0	7	7		
27	17	17	0	17	17	120	120	0	0	0	0		
28	50	50	0	58	58	300	300	0	0	9	9		
29	63	53	10	65	55	237	237	0	0	14	3		
30	38	38	0	38	38	170	170	0	0	6	6		
31	40	40	0	41	48	260	260	0	0	1	8		
32	39	39	0	43	43	209	209	0	0	6	6		
33	25	25	0	28	28	131	131	0	0	3	3		
34	36	36	0	36	36	176	176	0	0	0	0		
35	66	56	10	71	61	240	240	0	0	18	7		
36	38	38	0	38	38	170	170	0	0	6	6		
37	34	34	0	35	41	233	233	0	0	2	8		
38	37	37	0	39	39	219	219	0	0	2	2		
39	29	29	0	39	39	215	215	0	0	10	10		
40	29	29	0	30	30	151	151	0	0	1	1		
41	41	41	0	41	41	226	226	0	0	0	0		
42	53	53	0	53	57	299	299	0	0	2	6		
43	50	50	0	50	54	323	323	0	0	0	4		
44	72	72	0	72	74	473	473	0	0	1	3		
45	64	64	0	64	67	470	470	0	0	0	3		
46	63	63	0	65	69	404	404	0	0	1	5		
47	12	12	0	12	12	77	77	0	0	0	0		
48	12	12	0	12	12	69	69	0	0	0	0		
49	0	0	0	0	0	0	0	0	0	0	0		
50	33	33	0	35	39	240	240	0	0	2	6		
51	29	29	0	29	33	184	184	0	0	0	4		
52	24	24	0	25	29	174	174	0	0	1	5		
53	47	47	0	47	50	236	236	0	0	0	3		
54	2	2	0	2	2	8	8	0	0	0	0		
# TOTAL gate ours=2736 ref=2625 delta=111
# TOTAL chars ours=15656 ref=15135 delta=521
# chars ours-only=521 ref-only=0
# ours-only: ax50 tx50 nx42 ix40 ex38 ox35 lx27 ux25 rx21 sx21 mx19 cx15 .x9 dx9 Tx8 hx8 fx8 px6 7x6 kx5 0x5 vx5 Ix4 Px4 Bx4 
# ref-only : 
