# pages ours=10 ref=10
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	7	7	0	7	7	44	44	0	0	0	0		
2	61	61	0	61	61	349	349	6	6	2	2		
3	92	92	0	103	103	540	540	9	9	13	13		
4	139	76	63	163	79	507	381	126	0	47	5	---------------------000000000000000000000000000000000000111	
5	130	52	78	133	54	555	398	157	0	2	2	---------------------------000000000000000000000000000000000	
6	57	57	0	57	58	312	313	0	1	0	0		-
7	125	62	63	127	64	574	448	126	0	2	2	---------------------000000000000000000000000000000000000111	
8	83	83	0	83	84	401	402	0	1	0	0		-
9	118	118	0	121	121	583	583	3	3	9	9		
10	0	0	0	0	0	0	0	0	0	0	0		
# TOTAL gate ours=812 ref=608 delta=204
# TOTAL chars ours=3865 ref=3458 delta=407
# chars ours-only=425 ref-only=18
# ours-only: 0x117 2x84 -x67 1x45 9x24 8x24 7x24 x18 6x9 3x7 4x6 
# ref-only : x18 
