# pages ours=31 ref=31
page	ow	rw	dw	oraw	rraw	ochar	rchar	conly_o	conly_r	1tok_o	1tok_r	oonly	ronly
1	11	11	0	12	12	64	64	0	0	5	5		
2	16	16	0	20	20	136	136	4	4	6	6		
3	43	43	0	45	45	260	260	2	2	6	6		
4	17	17	0	18	18	89	89	0	0	4	4		
5	71	71	0	80	80	417	417	8	8	13	13		
6	71	71	0	76	76	421	421	5	5	9	9		
7	60	60	0	70	70	438	438	10	10	14	14		
8	82	82	0	88	88	437	437	5	5	14	14		
9	60	60	0	64	64	359	359	4	4	8	8		
10	179	320	-141	179	323	1009	1009	0	0	2	90		
11	10	10	0	10	10	70	70	0	0	1	1		
12	12	12	0	12	12	73	73	0	0	1	1		
13	62	62	0	66	66	351	351	4	4	8	8		
14	194	312	-118	194	315	1077	1065	12	0	10	89	--.aaceehlry	
15	9	9	0	9	9	56	56	0	0	2	2		
16	11	11	0	11	11	61	61	0	0	1	1		
17	9	9	0	9	9	65	65	0	0	1	1		
18	10	10	0	10	10	56	56	0	0	1	1		
19	14	14	0	17	17	92	92	3	3	4	4		
20	74	74	0	78	78	384	384	4	4	7	7		
21	206	342	-136	206	344	1063	1063	0	0	7	83		
22	11	11	0	11	11	60	60	0	0	2	2		
23	59	59	0	64	64	346	346	5	5	8	8		
24	181	275	-94	181	278	938	938	0	0	11	78		
25	12	12	0	12	12	70	70	0	0	3	3		
26	62	62	0	66	66	351	351	4	4	7	7		
27	175	304	-129	175	306	990	989	1	0	5	85	-	
28	13	13	0	13	13	68	68	0	0	1	1		
29	72	72	0	78	78	391	391	6	6	15	15		
30	80	80	0	88	88	540	540	8	8	11	11		
31	40	40	0	49	49	316	316	8	8	10	10		
# TOTAL gate ours=1926 ref=2544 delta=-618
# TOTAL chars ours=11048 ref=11035 delta=13
# chars ours-only=93 ref-only=80
# ours-only: x66 x14 -x3 ax2 ex2 hx1 rx1 cx1 lx1 yx1 .x1 
# ref-only : x66 x14 
