identity	pages	sum_abs_ink_pct	major_pages
1447__doc	4	0.05	0
150_5300_13_chg10__doc	0	0.00	0
150_5300_13_chg8__doc	0	0.00	0
150_5335_5a__doc	64	17.26	5
361400CSLegislation1RF01PUBLIC1__doc	35	1.11	1
644730BRI0mna000BOX361539B00public0__doc	5	3.45	1
