document	charts	moved	base_ink	head_ink
006_Contextures_chart_sample_afa23b53.xlsx	2	same		
044_Cash_flow_forecast_Use_this_template_b8fa1f35.xlsx	4	same		
052_Manufacturing_output_chart_88570318.xlsx	1	moved	0.52	0.46
061_Regional_sales_chart_cb9eb690.xlsx	1	moved	0.32	0.2
070_Equipment_inventory_list_Use_this_template_fd524c8a.xlsx	0	same		
088_To-do_list_with_progress_tracker_Use_this_template_8c438912.xlsx	0	same		
089_Vintage_inventory_list_Use_this_template_f616cac0.xlsx	0	same		
003_Contextures_chart_sample_9bda2719.xlsm	3	moved	0.32	0.2
037_Personal_money_tracker_a57957bb.xlsx	2	moved	1.25	1.24
040_Blood_pressure_tracker_872b6833.xlsx	1	moved	0.77	0.75
050_Financial_vision_d44241e1.xlsx	1	moved	0.09	0.09
054_Problem_analysis_with_Pareto_chart_11058329.xlsx	1	moved	0.0	0.0
058_Social_media_engagement_data_cfa1cb18.xlsx	1	moved	0.07	0.05
063_Sales_pipeline_aec57013.xlsx	1	moved	1.62	1.83
082_Project_to_do_list_28f80082.xlsx	0	same		
083_Project_tracker_Use_this_template_b38d057c.xlsx	0	same		
090_Weekly_time_sheet_Use_this_template_0499cc43.xlsx	0	same		
008_Contextures_chart_sample_7ea7a1d7.xlsx	2	same		
021_Control_Chart_Template_-_Create_Control_Charts_in_Excel_fd3b1a5d.xlsx	4	same		
023_Waterfall_Chart_Template_for_Excel_349f7689.xlsx	2	moved	2.3	2.3
034_Personal_net_worth_calculator_f7b8fb57.xlsx	2	moved	0.01	0.01
046_Cost_analysis_with_Pareto_chart_7db5ef69.xlsx	1	moved	0.01	0.01
051_Manufacturer_defect_analysis_53db27ea.xlsx	1	moved	0.02	0.02
055_Project_timeline_with_milestones_Use_this_template_546cecc0.xlsx	1	moved	0.31	0.41
092_Volunteer_Sign_Up_Sheet_Template_Complete_Guide_31fe4d22.xlsx	0	same		
094_Volunteer_Sign_Up_Sheet_Template_Editable_Format_6711b281.xlsx	0	same		
099_Volunteer_Sign_Up_Sheet_Template_Stylish_Format_c0cc35a6.xlsx	0	same		
015_Free_Gantt_Chart_Template_for_Excel_414e86bf.xlsx	0	same		
018_Weight_Loss_Chart_-_Free_Printable_Weight_Loss_Charts_and_Weight_Log_3337bd0a.xlsx	4	same		
024_Free_Kids_Chore_Chart_Template_ad74bb34.xlsx	0	same		
029_Annual_budget_Use_this_template_30324a97.xlsx	3	moved	0.18	0.21
041_Business_budget_ef942467.xlsx	1	moved	0.34	0.34
053_Personal_asset_inventory_5446d84b.xlsx	2	same		
056_Quarterly_sale_report_baa6bb0d.xlsx	2	same		
075_Idea_planner_tasks_f44ebd73.xlsx	0	same		
081_Project_performance_report_Use_this_template_be2468b3.xlsx	0	same		
085_Simple_Gantt_chart_d65b8377.xlsx	0	same		
047_Date_tracker_Gantt_chart_bf34f3a8.xlsx	1	same		
062_Run_chart_cb7476ea.xlsx	1	moved	3.51	3.48
065_Weight_loss_tracker_ff1c89af.xlsx	1	moved	29.64	29.64
069_Blue_modern_balance_sheet_Use_this_template_6b4d70d3.xlsx	0	same		
072_Gantt_project_planner_dde00e33.xlsx	0	same		
078_Modern_inventory_list_Use_this_template_41abd5bf.xlsx	0	same		
079_Org_charts_visual_248d1dcf.xlsx	0	same		
084_Service_invoice_Use_this_template_c92b43dc.xlsx	0	same		
086_Simple_grey_invoice_Use_this_template_063b3773.xlsx	0	same		
100_Volunteer_Sign_Up_Sheet_Template_Tabular_Format_0975f34e.xlsx	0	same		
007_Contextures_chart_sample_667d8e47.xlsm	0	same		
010_Contextures_chart_sample_e6ea06a3.xlsx	2	same		
028_Budget_summary_report_4aeefd13.xlsx	3	moved	0.81	0.7
030_Basic_balance_sheet_Use_this_template_10ed9144.xlsx	6	same		
042_Business_monthly_budget_4e4d092f.xlsx	1	moved	0.02	0.02
057_Simple_balance_sheet_Use_this_template_e2d4cbb2.xlsx	1	moved	0.14	1.63
060_Monthly_company_budget_47b2a99a.xlsx	1	moved	1.5	1.49
066_Agile_Gantt_chart_08f9de45.xlsx	0	same		
071_Four-week_project_timeline_Use_this_template_4f05db49.xlsx	0	same		
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a.xlsx	0	same		
002_Contextures_chart_sample_f605e7bc.xlsx	3	same		
009_Contextures_chart_sample_adcb3f6c.xlsx	0	same		
012_Contextures_chart_sample_9900da76.xlsx	2	same		
013_Contextures_chart_sample_21b98e22.xlsx	3	same		
020_Free_Blood_Pressure_Chart_and_Printable_Blood_Pressure_Log_8f8dcc39.xlsx	0	same		
026_Monthly_cash_flow_statement_Use_this_template_8aaebea1.xlsx	4	moved	0.59	0.55
036_Simple_to-do_list_Use_this_template_ba44373b.xlsx	3	same		
068_Blue_inventory_list_Use_this_template_f9908489.xlsx	0	same		
080_Profit_and_loss_income_statement_3566dae9.xlsx	0	same		
097_Volunteer_Sign_Up_Sheet_Template_Professional_Format_075d06ed.xlsx	0	same		
001_Contextures_chart_sample_b089bc34.xlsx	1	same		
019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	7	same		
031_Business_expense_budget_f3a46278.xlsx	2	moved	0.3	0.32
032_Business_expenses_budget_d377eaab.xlsx	2	moved	1.08	1.06
033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	2	moved	11.27	11.28
035_Project_plan_for_law_firms_aa2d4462.xlsx	2	moved	1.13	1.04
043_Buy_a_car_vs._rideshare_ff07c7e6.xlsx	1	moved	0.09	0.1
049_Expenses_calculator_c351f3d0.xlsx	1	moved	0.92	0.92
059_Milestone_and_task_project_timeline_Use_this_template_24f1e8f1.xlsx	1	same		
087_Simple_personal_budget_3cf9b1af.xlsx	0	same		
016_Free_Organizational_Chart_Template_-_Company_Organization_Chart_db913144.xlsx	0	same		
017_Timeline_Templates_for_Excel_b88faee6.xlsx	0	same		
025_Printable_Reward_Charts_for_Kids_-_Reward_Chart_Template_aabacd93.xlsx	0	same		
027_Simple_personal_cash_flow_statement_675c6584.xlsx	4	moved	3.03	3.06
038_Baby_growth_chart_bb9cd672.xlsx	1	moved	0.37	0.35
039_Baby_growth_tracker_e295ae56.xlsx	1	moved	0.58	0.42
