028_advanced_excel_doughnut.xlsx	0	chart:ring	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (127.02,52.04,221.47,221.47)	shrink 0.9999
003_advanced_excel_pie.xlsx	0	chart:circle	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (143.80,59.61,200.07,200.07)	shrink 0.9033
011_advanced_excel_pie.xlsx	0	chart:circle	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (146.07,59.78,200.10,200.10)	shrink 0.9034
012_advanced_excel_doughnut.xlsx	0	chart:ring	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (127.02,52.04,221.47,221.47)	shrink 0.9999
027_advanced_excel_pie.xlsx	0	chart:circle	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (146.18,59.67,200.10,200.10)	shrink 0.9034
004_advanced_excel_doughnut.xlsx	0	chart:ring	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (127.02,52.04,221.47,221.47)	shrink 0.9999
020_advanced_excel_doughnut.xlsx	0	chart:ring	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (127.02,52.04,221.47,221.47)	shrink 0.9999
019_advanced_excel_pie.xlsx	0	chart:circle	page 510.2x283.4	PA (9.92,52.02,455.70,221.50)	CR (143.94,59.56,200.01,200.01)	shrink 0.9030
005_Contextures_chart_sample_6e279b08.xlsx	0	chart:bar	page 254.2x180.5	PA (5.07,43.65,244.09,133.29)	CR (40.93,43.65,200.78,114.94)	shrink 0.8624
005_Contextures_chart_sample_6e279b08.xlsx	1	chart:circle	page 241.9x227.3	PA (9.92,50.91,222.09,166.42)	CR (41.67,58.73,158.60,158.60)	shrink 0.9530
005_Contextures_chart_sample_6e279b08.xlsx	2	chart:bar	page 253.5x172.5	PA (5.05,43.31,243.41,125.80)	CR (26.99,48.95,221.47,101.82)	shrink 0.8094
