document                                                        refCR             base             head  verdict
3495.pptx                                                      231.28           118.16           118.16  same (err 113.12 -> 113.12)
3495.pptx                                                      215.66           118.16           118.16  same (err 97.50 -> 97.50)
3495.pptx                                                      211.66           118.16           118.16  same (err 93.50 -> 93.50)
3495.pptx                                                      209.25           118.16           118.16  same (err 91.09 -> 91.09)
Sylva%20introduction%20session.pptx                             90.45           140.25           140.25  same (err 49.80 -> 49.80)
bitesize-writing-a-report.pptx                                  22.42            51.76            22.68  BETTER (err 29.34 -> 0.26)
bitesize-writing-a-report.pptx                                 104.17           151.26           151.26  same (err 47.09 -> 47.09)
pie-chart-result.docx                                          166.79           134.16           145.15  BETTER (err 32.63 -> 21.64)
pie-chart-template.docx                                        166.79           161.32           145.15  WORSE (err 5.47 -> 21.64)
southern-classic-kennesaw-state-university-final.ppt           176.12           176.16           176.16  same (err 0.04 -> 0.04)

70 reference pie/doughnut charts matched: 6 better, 1 worse, 63 unchanged
