ident	verdict	ours_pages	ref_pages	ours_words	ref_words
(5000021142)-(subc0226)-criminology-subject-collection-list__xlsx	match	3	3	596	596
00514292__xlsx	match	9	9	834	835
114339-PROP-P127508-PUBLIC-PPCRNARCPPforPublication__xlsx	match	21	21	2329	2326
16424782563923__xlsx	match	3	3	843	843
18-02RD301_ILS_components_Master_9-13-18__xls	match	166	166	53103	52477
2012-GA-Survey-Chapter-5-Tables-16Dec2013-V2__xls	match	3	3	501	495
2012-GA-Survey-Chapter-6-Tables-16Dec2013-V2__xls	match	5	5	636	624
2015-19 top 25 Arms producing companies data - to upload on website - FINAL_edit__xlsx	match	19	19	2913	2913
2017-04-27-Lease-Transition-Records-Checklist-FINAL-1__xlsx	words	5	5	2323	2498
2020-01-29-Lease-Transition-Records-Checklist-FINAL-1__xlsx	words	5	5	2323	2498
2023-qhp-form-and-rate-combined-checklist-final__xlsx	match	100	100	13940	13936
2025_Active_Civil_Airmen_Statistics_FINAL__xlsx	match	35	35	13331	13375
4-12-Kings-Attachment-13-Application-Architecture-Security-Requirements__xls	match	6	6	1503	1503
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx	match	217	217	88846	88842
6f9e605c-fded-11e3-bd0e-00144feab7de__xls	match	16	16	7331	7331
7-memento-2015-transports-aeriens-b__xls	match	190	190	27537	27524
ACRONYM__xls	match	69	69	9840	9840
AFCforPtF-Digital-Certificate-Publication-Report__xlsx	match	111	111	29739	29739
AFS-400_Contacts__xlsx	match	48	48	6247	6246
AIM_OPR_LIST__xls	match	229	229	22015	22013
AIRBUS_station_evaluation_checklist_v2__xlsx	match	1	1	527	527
AMOC-Digital-Certificate-Publication-Report__xlsx	match	148	148	36609	36603
Air_Boss_Master_List__xlsx	match	5	5	524	521
Aircraft_Database__xlsx	match	134	134	16356	16356
Airplanes-MTOW__xls	match	6	6	871	871
Application_Compliance_Checklist_5_Apr_2021__xlsx	match	14	14	17620	17654
Application_for_authorisation_as_crowdfunding_service_provider__xlsx	match	48	48	6223	6223
Aviation_Abbreviations__xlsx	match	94	94	15677	15677
Background_Declaration_Template__xls	match	25	25	180	180
Bulletin-37-Appendix-2-immediate-detriment-data-request__xlsx	match	5	5	524	524
CIS_Debian_Linux_8_Benchmark_v1.0.0__xls	match	88	88	9021	8981
CSA_CCM_v1.2__xls	match	13	13	15662	15666
