ident	verdict	ours_pages	ref_pages	ours_words	ref_words
010605Vul__ppt	match	21	21	960	944
02_REDAC_New ATM briefing _March 2017v2__pptx	match	6	6	759	759
0335fab9-79f0-4944-b92c-f223837ca2d8__ppt	match	12	12	612	616
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	match	18	18	815	815
1-secretariat__ppt	match	10	10	150	150
10. Drawings, circuit diagrams and schematics__pptx	match	23	23	1501	1502
111006 COMSTAC STOWG Aero spaceports IFG__pptx	match	8	8	267	267
1200-Assigning-Club-officers__pptx	match	16	16	162	165
16 - UTM - (NASA)__pptx	words	37	37	2454	2260
171128IPAP__pptx	match	40	40	4640	4670
1_Country-Updates_DRC_English__pptx	match	16	16	780	782
2014BSA_Sunday_Killion__pptx	match	50	50	3619	3559
2015-Civil-Rights-Website-training__ppt	match	94	94	6116	6119
23-session-2-pptx__pptx	match	16	16	304	304
30-04-2021 merged NDoH and NICD_Presentation HBV BD meeting 05May2021_1__pptx	match	18	18	1359	1361
3492__pptx	match	22	22	1266	1266
3495__pptx	match	26	26	747	747
429_BLISc 2019 IInd Sem.  PAPER-7 UNIT 3__pptx	match	20	20	3126	3125
5b_upasana_dasgupta_-_liability_and_registration__pptx	match	15	15	954	956
7-Zulkefli_Part147n66_IKMAS__pptx	words	18	18	941	973
71393_pp7__ppt	match	39	39	2151	2151
8.16_AOD_FINAL_Provider_Training_Presentation_9_2009__ppt	match	94	94	4310	4311
8_P-Pavese_AIRBUS-ATB-journee-CRATB__pptx	words	26	26	2122	2010
97936__pptx	match	15	15	1267	1267
AATF-Fact-Sheet-2025__pptx	match	9	9	853	848
ANG C-1 ATC-TO Core Program - HF REDAC briefing September 7 2016__pptx	match	19	19	1885	1885
Aerospace_Journey_of_Flight_Chapter_BCB1637572DA6__ppt	match	26	26	1885	1885
Airport Planning 09112013__ppt	match	9	9	629	629
Architecture__ppt	match	29	29	846	845
B2B-Center-Readiness-and-Student-Retention__pptx	match	33	33	1351	1348
BHCA Part II webinar #2 - 10.2020__pptx	match	21	21	1408	1405
BMFE-06-03 (Gerflor) Smoke Density and Toxicity__pptx	match	6	6	732	732
BUS-Chapter 05__ppt	match	50	50	2126	2134
BasicMed_AME_Presentation__pptx	match	18	18	870	870
Boeing 737 Max - Group 5__pptx	match	2	2	7	7
COMSTAC_11_5_2021am_2__pptx	match	39	39	2741	2741
Copy of Full deck with references Promotion of Outside Interests at Work final(1)__pptx	match	33	33	3114	3118
County ACHS Presentaion Webinar 8-16-16 Peg__pptx	match	26	26	1325	1326
Course Selection 2025-26 Current Grade 09__pptx	match	10	10	694	694
Curriculum-Schematic-E22-11052025__pptx	match	12	12	1119	1134
DOE Interactive Exercise Presentation draft rev 2__pptx	match	10	10	573	574
Definitions commodity chains__pptx	match	4	4	261	261
Demick_JetBlue__pptx	words	10	10	812	608
DoIRD Meeting 16JAN14 v1-1__pptx	match	15	15	1075	1075
EG1_dsrc tech__ppt	match	26	26	2034	2034
Employment-Based_I-485__ppt	match	42	42	2516	2516
Ensemble-pour-l-amelioration-de-la-securite-de-lac-AIRBUS__pptx	match	9	9	627	627
FAAAIandtheArtandScienceofV&Vfinal__pptx	match	30	30	1135	1133
FAA_Form_337__ppt	match	67	67	5550	5614
FIT26-Presentation-Airservices-Update__pptx	match	11	11	221	221
FIT26-Presentation-PR-Briefing-Debrief-Airbus__pptx	match	9	9	1441	1443
Framing Europe__ppt	match	24	24	2237	2237
Fundamentals_Module_1_basics__ppt	words	26	26	1135	1089
G-InvoicingKeithJarboe__pptx	match	13	13	1078	1080
HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY__pptx	match	12	12	320	321
ITE106-Chapter 4__ppt	match	47	47	3139	3139
Inducement-to-Insurance-Business__ppt	match	22	22	2587	2577
Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final__pptx	match	39	39	3434	3435
Item 6b - UNSD - Dissemination through APIs__pptx	match	10	10	421	421
JesuitAssocOfStudentPersonnel__ppt	match	31	31	1174	1177
John_Broggio__RSS_Campion_event_John_Broggio__pptx	match	25	25	1171	1172
Lepore__ppt	match	20	20	1812	1822
Liturgical-Commission-2025-Convention-Presentation__pptx	match	9	9	344	344
N2_E_Maestroni_Swarm_COP__pptx	words	30	30	5285	5126
NAS-Infrastructure-Roadmaps-HSI__pptx	match	9	9	1415	1415
NAS-Infrastructure-Roadmaps-Weather__pptx	match	11	11	2119	2120
NAS-Infrastructure-Roadmaps-v16.0__pptx	match	137	137	18884	18850
NCW-2024-Guide-__pptx	match	1	1	211	215
NWD-GLA-Community-Outreach-Day-Oct-2025__pptx	match	13	13	644	638
OnTrac_StarCertificationProgram-3Day__pptx	words	15	15	1326	1030
PAL Block Intro 2023__pptx	match	20	20	1461	1463
PRM_training__pptx	match	22	22	2154	2156
Presentation - Identify Components of the Airport (1)__pptx	match	12	12	554	554
REDAC Briefing_SSIT_CARA_08132014.ppt__pptx	match	14	14	462	462
REDAC HF briefing Sep 2016_LARD_ATC_TO_FE_v2__pptx	match	18	18	2119	2119
REDAC briefing March12-13-2014jemvbFINAL.ppt__pptx	match	25	25	2587	2584
RESPA_-_Section_8_Webinar__ppt	match	35	35	2569	2578
ROK-PI Climate Bulletin - Edition 2017-06__pptx	match	2	2	409	409
RPA P4 - Advanced Material__pptx	match	20	20	1477	1479
RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009__ppt	words	27	27	2475	2576
Ramp Up Campaign - French__pptx	match	6	6	437	437
Reporting_responsibilities_matrix__pptx	match	268	268	57743	57743
SRDMG(16)024_60 GHz onboard airplanes__pptx	match	26	26	1862	1862
Sean Monogue__pptx	match	15	15	817	817
Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack__pptx	match	24	24	4587	4666
Session 21- The option to expand & abandon__pptx	match	12	12	885	885
Session-1-Presentation-Reporting-Forms-Form-12-final__pptx	match	15	15	1131	1124
Snowbirds_High_Show__pptx	match	41	41	1871	1871
Stakeholders-v08052017 - v5__pptx	match	13	13	538	547
Statement of Work presentation__pptx	match	10	10	227	224
Structural Testing__pptx	match	89	89	4362	4340
Sylva%20introduction%20session__pptx	words	15	15	1064	1467
Tax factsheet 2022 (1)__pptx	match	27	27	2834	2869
Technical_Report_Elements[1]__pptx	match	39	39	1425	1430
Thailand17__ppt	words	54	54	2736	2625
Trust Fund Excise Taxes Structure__pptx	match	1	1	169	169
W3_Case_Study_of_a_Tsunami_Warning_Simulation_Exercise_Ed__ppt	words	20	20	900	812
WC_Update-Aug03__ppt	match	11	11	452	452
WiGr_2021W_1_Angebot-Nachfrage-Elastizität-211017-171222__pptx	words	51	51	2154	1958
Wildlife for REDAC September 11__pptx	match	41	41	1557	1535
[Christophe]NLP_reseau_inge_stat__pptx	match	17	17	884	885
_1___Opatrny_Ales_United_Kingdom_business_opportunities_final__pptx	match	25	25	1614	1620
airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20__pptx	match	38	38	871	879
architecture6__ppt	words	31	31	1926	2544
attendance-updates-for-governors__pptx	match	30	30	3047	3055
berlin__ppt	match	29	29	1365	1375
bitesize-writing-a-report__pptx	match	15	15	655	658
c_291533__pptx	match	19	19	1104	1105
chapter_4_0__pptx	match	54	54	3175	3175
concepts-surrounding-cloud-computing-carolyn-kranz-and-rich-prem-gb-seattle-2011__ppt	match	36	36	2458	2463
dhs-293364__pptx	match	39	39	3617	3618
diapo_6_fees_vous_etes_poctdoct_exterieur_a_luniv_v2_0_1__pptx	match	1	1	92	92
ev122_jj-liew-tort-of-bribery-webinar__pptx	match	24	24	1374	1374
fishbone-diagram-template-ppt-1__pptx	match	1	1	189	189
flying-by-numbers-presentation__pptx	match	10	10	546	547
gfopportunitiesforlinkagespres_2010_en__ppt	match	27	27	1647	1654
ghgp-supply-chain-initiative_20100323_wri__pptx	match	52	52	3895	3896
gillikin_online_user_mtg_2010__ppt	match	40	40	1291	1292
hofman__ppt	match	13	13	450	450
iaeg_work_group_leader_updates__pptx	match	1	1	90	90
iep-amount-frequency-for-webinar__ppt	match	39	39	1678	1691
introduction_to_bea_tuxedo__ppt	match	40	40	1785	1767
iris07.12.12__pptx	match	21	21	881	881
item_3-environmental_process_briefing__pptx	match	12	12	296	296
joint_user_outcomes_michael_fullerton_29.06.12__ppt	match	20	20	1917	1918
manufacturing_process_simulation_working_group_overview_2023__pptx	match	7	7	726	714
medicines_bulletin_february_2023_final__pptx	match	1	1	534	535
nabiyeleul_1_aviation_service_28_july_2020__pptx	match	9	9	554	554
order-of-worship-ppt-revised-2018__pptx	match	28	28	1139	1139
outlook_of_nigerian_pension_sector__ppt	match	12	12	1021	1021
passiv__pptx	match	21	21	1199	1197
pods05__ppt	match	60	60	1882	1884
policy-pesentation__ppt	match	16	16	389	389
pres_ioc_phuket__ppt	words	26	26	992	1518
redac-fullComm-201705-EE-FRs-briefing__pptx	match	8	8	374	374
redac-nasops-201503-RIRP-portfolio-update__pptx	match	46	46	2762	2762
redac-sas-201403-ppt-portfolio-rev-sim__pptx	match	14	14	2006	2014
redac-sas-201509-asisp-research__pptx	match	45	45	3124	3130
redac-sas-201703-hf-research-division__pptx	match	13	13	713	713
schematicplay__pptx	match	21	21	2111	2126
schematicplaymar21__pptx	match	21	21	2103	2121
section_1_our_rights_presentation__pptx	match	30	30	4135	4144
servicedesk-plus-overviewfinal__pptx	match	66	66	1805	1805
social-media-app-bulletin-january__pptx	match	4	4	788	788
solog_orientation_august_2019__pptx	words	15	15	670	685
southern-classic-kennesaw-state-university-final__pptx	words	23	23	2217	2270
undp_presentation_revised_17_may__ppt	match	22	22	1814	1836
vv_summit_SAIC-PRESENTATION_FAA-V&V-Summit_508c__pptx	match	19	19	648	649
vvsummit2022-Research-Roadmap-and-the-UML-3-Operational-Integration-Assessment__pptx	match	33	33	1281	1281
vvsummit2022-SAIC-PRESENTATION__pptx	match	19	19	648	649
wells08_basic__ppt	match	27	27	986	995
wopanets-innovationdays-06-16__pptx	match	15	15	563	563
ws_prod-g-doc-Events-2007-Approval-of-Flight-Conditions-RM-NAA-16032007__ppt	match	14	14	743	743
ws_prod-g-doc-Events-2007-Privileges__ppt	match	15	15	799	799
ws_prod-g-doc-Events-2007-may-presentation-PtF-background-+-principles__ppt	match	20	20	909	909
ws_prod-g-doc-Events-2007-november-IACA-presentation-at-EASA-Fuel-Tank-Safety-Training-Seminar__ppt	match	10	10	555	555
ws_prod-g-doc-Events-2007-september-M.017-(French)-France__ppt	match	55	55	6215	6215
ws_prod-g-doc-Events-2007-september-MDM.032-(ENGLISH)-CZ__ppt	match	38	38	2662	2662
ws_prod-g-doc-Events-2008-February-5-NATO-activities__ppt	match	13	13	447	453
ws_prod-g-doc-Events-Part-M-presentation__ppt	match	30	30	1844	1845
ws_prod-g-doc-Events-industrymeeting18112004-Aercap__ppt	match	12	12	1250	1271
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt	match	10	10	332	332
ws_prod-g-doc-Events-r-6.-ESM__ppt	match	25	25	1951	1951
