              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
   Liberation Mono   5.0 |      148    201 | +0/+2  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  +11/+11  -1/-1
   Liberation Mono   5.5 |      162    222 | -1/-2  +0/+0  +0/+0  -1/-2  -1/-3  -1/-2  -3/-10  +0/-2
   Liberation Mono   6.0 |      176    240 | +2/+2  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +9/-2  +0/+0
   Liberation Mono   6.5 |      191    262 | +0/-3  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -6/+3  +0/-2
   Liberation Mono   7.0 |      205    279 | -2/-4  +0/+0  +0/+0  +0/+1  +0/+0  +0/+1  -20/-14  +1/+1
   Liberation Mono   7.5 |      219    300 | +1/+1  +0/+0  +0/+0  +1/+0  +1/+0  +1/+0  -7/-9  +1/+0
   Liberation Mono   8.0 |      236    321 | +1/+1  +0/+0  +0/+0  -1/-1  -1/-1  -1/-2  +2/-3  -1/-1
   Liberation Mono   8.5 |      250    342 | +0/-3  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  -12/-24  +0/-2
   Liberation Mono   9.0 |      265    360 | -3/+0  +0/+0  +0/+0  +0/+1  +0/+1  +0/+0  +0/+11  -1/+0
   Liberation Mono   9.5 |      279    381 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  +12/+16  +0/-1
   Liberation Mono  10.0 |      293    399 | -1/-1  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  -2/-2  +1/+1
   Liberation Mono  10.5 |      307    420 | -2/-5  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  +11/+4  +1/+0
   Liberation Mono  11.0 |      325    441 | +1/+4  +0/+0  +0/+0  -2/-1  -2/-2  -2/-1  -7/+9  -2/-1
   Liberation Mono  11.5 |      339    462 | +0/+0  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  -21/-12  -1/-2
   Liberation Mono  12.0 |      353    480 | -2/-2  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  -9/-4  -1/+0
   Liberation Mono  12.5 |      367    501 | +1/-1  +0/+0  +0/+0  +0/-2  +0/-2  +0/-2  +3/+2  +0/-1
   Liberation Mono  13.0 |      381    519 | +0/-3  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  -11/-16  +1/+1
   Liberation Mono  13.5 |      395    540 | -1/-2  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  +2/-11  +1/+0
   Liberation Mono  14.0 |      413    561 | -2/-2  +0/+0  +0/+0  -2/-2  -2/-2  -2/-2  +10/+21  -2/-2
   Liberation Mono  14.5 |      427    582 | +1/-2  +0/+0  +0/+0  -1/-2  -1/-2  -1/-2  -4/+0  -1/-3
   Liberation Mono  15.0 |      441    600 | -1/+1  +0/+0  +0/+0  -1/-1  -1/-1  -1/-1  +9/+9  +0/-1
   Liberation Mono  15.5 |      455    621 | -2/-3  +0/+0  +0/+0  +0/-1  +0/-2  +0/-1  -5/-12  +0/-2
   Liberation Mono  16.0 |      469    639 | +1/+0  +0/+0  +0/-1  +0/+0  +0/-1  +0/+0  -19/-30  +1/+0
   Liberation Mono  16.5 |      483    660 | +0/-3  +0/+0  +0/-1  +1/-1  +1/-1  +1/-1  -7/+1  +2/-1
   Liberation Mono  17.0 |      501    681 | -1/+1  +0/+0  +0/+0  -2/-1  -2/-2  -2/-1  +2/+7  -2/-2
   Liberation Mono  17.5 |      515    702 | +1/+1  +0/+0  +0/+0  -1/-3  -1/-3  -1/-3  -12/-14  -1/-3
   Liberation Mono  18.0 |      529    720 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  +0/-1  +0/-6  +0/-1
   Liberation Mono  18.5 |      543    741 | -1/-4  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  +13/+27  +0/-2
   Liberation Mono  19.0 |      557    758 | +2/+0  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  -1/+10  +1/+1
   Liberation Mono  19.5 |      572    780 | +4/+3  +0/+0  +0/+0  +1/+0  +1/+0  +1/-1  +10/+14  +1/-1
