              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
    Lib Serif Bold  10.5 |      330    411 | +0/+0  +0/-1  +0/+0  +2/+2  +0/-1  -143/-178  +0/-1
    Lib Serif Bold  11.0 |      347    432 | +0/+0  +0/+0  +0/+0  -1/-1  -1/-2  -151/-188  -1/-2
    Lib Serif Bold  11.5 |      364    453 | +0/+0  +0/+0  +0/+0  -4/-5  -2/-3  -159/-198  -2/-3
    Lib Serif Bold  12.0 |      377    470 | +0/+0  +0/+0  +0/+0  +0/-1  +0/-2  -163/-204  +0/-1
    Lib Serif Bold  12.5 |      394    487 | +0/+0  +0/+0  +0/+0  -2/+0  -1/+1  -171/-210  -1/+1
    Lib Serif Bold  13.0 |      406    504 | +0/+0  +0/-1  +0/+0  +3/+4  +3/+4  -174/-216  +3/+4
    Lib Serif Bold  13.5 |      423    525 | +0/+0  +0/+0  +0/+0  +0/+1  +1/+2  -182/-226  +1/+2
    Lib Serif Bold  14.0 |      440    546 | +0/+0  +0/+0  +0/+0  +1/+1  +0/+1  -190/-235  +0/+1
    Lib Serif Bold  14.5 |      457    567 | +0/+0  +0/+0  +0/+0  -2/-3  -1/+0  -198/-245  -1/+0
    Lib Serif Bold  15.0 |      470    584 | +0/+0  +0/+0  +0/+0  +3/+2  +1/+2  -203/-252  +2/+2
    Lib Serif Bold  15.5 |      487    606 | +0/+0  +0/+0  +0/-1  +0/+1  +0/+0  -211/-263  +0/-1
    Lib Serif Bold  16.0 |      504    627 | +0/+0  +0/+0  +0/+0  +0/+1  -2/-3  -219/-273  -1/-2
    Lib Serif Bold  16.5 |      516    643 | +0/+0  +0/+0  +0/+0  +3/+3  +3/+2  -222/-278  +3/+2
    Lib Serif Bold  17.0 |      538    669 | +0/+0  +0/+0  +0/+0  -5/-5  -3/-4  -235/-292  -4/-5
    Lib Serif Bold  17.5 |      550    686 | +0/+0  +0/-1  +0/+0  +0/-2  +0/-3  -238/-298  +0/-2
    Lib Serif Bold  18.0 |      567    703 | +0/+0  +0/-1  +0/+0  -3/-1  -1/+0  -246/-304  -1/+0
    Lib Serif Bold  18.5 |      580    720 | +0/+0  +0/+0  +0/+0  +2/+3  +2/+3  -250/-310  +2/+3
    Lib Serif Bold  19.0 |      597    741 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+1  -258/-320  +0/+1
    Lib Serif Bold  19.5 |      614    762 | +0/+0  +0/+0  +0/+0  +0/+0  -1/+0  -266/-330  -1/+0
    Lib Serif Bold  20.0 |      631    783 | +0/+0  +0/+0  +0/+0  -3/-3  -2/-1  -274/-339  -2/-1
    Lib Serif Bold  20.5 |      643    800 | +0/+0  +0/+0  +0/+0  +3/+1  +1/+1  -278/-346  +1/+0
    Lib Serif Bold  21.0 |      660    821 | +0/+0  +0/+0  +0/+0  +0/-2  +0/+0  -286/-356  +0/-1
    Lib Serif Bold  21.5 |      677    842 | +0/+0  +0/+0  +0/+0  +0/+1  -2/-3  -294/-366  -1/-2
    Lib Serif Bold  22.0 |      690    859 | +0/+0  +0/+0  +0/+0  +1/+2  +2/+1  -298/-372  +2/+1
    Lib Serif Bold  22.5 |      711    885 | +0/+0  +0/+0  +0/+0  -2/-3  -3/-5  -310/-387  -4/-6
    Lib Serif Bold  23.0 |      724    902 | +0/+0  +0/+0  +0/+0  -1/-2  -1/-3  -314/-392  -1/-3
    Lib Serif Bold  23.5 |      741    919 | +0/+0  +0/+0  +0/+0  -4/-2  -2/-1  -322/-398  -2/-1
    Lib Serif Bold  24.0 |      754    936 | +0/+0  +0/+0  +0/+0  +1/+2  +1/+2  -326/-404  +0/+1
   Lib Sans Italic   5.0 |      161    199 | +0/+0  +0/+0  +0/+0  -2/-1  -2/-2  -70/-87  -1/-2
   Lib Sans Italic   5.5 |      178    220 | +0/+0  +0/+0  +0/+0  -2/-1  -2/-3  -78/-97  -2/-3
   Lib Sans Italic   6.0 |      191    238 | +0/+0  +0/+0  +0/-1  +0/-1  +1/-1  -82/-103  +1/-1
   Lib Sans Italic   6.5 |      207    254 | +0/+0  +0/+0  +0/+0  +1/+4  +0/+2  -89/-108  +1/+3
   Lib Sans Italic   7.0 |      224    275 | +0/+0  +0/+0  +0/+0  -2/+0  -1/+1  -97/-118  +0/+1
   Lib Sans Italic   7.5 |      241    296 | +0/+0  +0/+0  +0/+0  -1/+0  -1/+0  -105/-128  -1/+0
   Lib Sans Italic   8.0 |      258    318 | +0/+0  +0/-1  +0/+0  -4/-4  -3/-3  -113/-139  -3/-3
   Lib Sans Italic   8.5 |      271    335 | +0/+0  +0/+0  +0/-1  +1/+1  +0/+0  -117/-145  +0/+0
   Lib Sans Italic   9.0 |      288    356 | +0/+0  +0/+0  +0/+0  -2/-3  +0/-1  -125/-155  -1/-2
   Lib Sans Italic   9.5 |      305    377 | +0/+0  +0/+0  +0/+0  -2/-3  -2/-2  -133/-165  -2/-3
   Lib Sans Italic  10.0 |      318    394 | +0/+0  +0/+0  +0/+0  +3/+1  +2/+1  -137/-171  +1/+0
   Lib Sans Italic  10.5 |      334    411 | +0/+0  +0/-1  +0/+0  +1/+2  +1/+3  -144/-176  +1/+2
   Lib Sans Italic  11.0 |      351    432 | +0/+0  +0/-1  +0/+0  +2/+2  +0/+2  -152/-186  +0/+1
   Lib Sans Italic  11.5 |      368    453 | +0/+0  +0/+0  +0/+0  -1/-1  -1/+1  -160/-196  -1/+0
   Lib Sans Italic  12.0 |      385    474 | +0/+0  +0/+0  +0/+0  +0/-1  -2/-1  -168/-206  -2/-1
   Lib Sans Italic  12.5 |      398    491 | +0/+0  +0/+0  +0/+0  +1/+0  +1/+2  -172/-212  +1/+1
   Lib Sans Italic  13.0 |      415    512 | +0/+0  +0/+0  +0/+0  +1/+3  +0/+1  -180/-221  +0/+0
   Lib Sans Italic  13.5 |      428    530 | +0/+0  +0/+0  +0/-1  +2/+3  +3/+2  -183/-228  +3/+2
   Lib Sans Italic  14.0 |      449    555 | +0/+0  +0/+0  +0/+0  -1/-1  -2/-3  -195/-242  -2/-3
   Lib Sans Italic  14.5 |      466    576 | +0/+0  +0/+0  +0/+0  -4/-4  -2/-4  -203/-251  -3/-5
   Lib Sans Italic  15.0 |      478    588 | +0/+0  +0/+0  +0/+0  +2/+5  +1/+3  -206/-252  +1/+3
   Lib Sans Italic  15.5 |      495    610 | +0/+0  +0/-1  +0/+0  -1/+0  +0/+1  -214/-263  +0/+1
   Lib Sans Italic  16.0 |      508    627 | +0/+0  +0/+0  +0/+0  +4/+5  +2/+3  -218/-269  +3/+4
   Lib Sans Italic  16.5 |      525    648 | +0/+0  +0/+0  +0/+0  +1/+1  +2/+2  -226/-279  +2/+2
   Lib Sans Italic  17.0 |      546    673 | +0/+0  +0/+0  +0/+0  -3/-3  -3/-2  -238/-293  -3/-3
