              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
  DejaVu Sans Mono  15.0 |      491    614 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+2  -212/-264  +0/+2
  DejaVu Sans Mono  15.5 |      508    635 | +0/+0  +0/+0  +0/+0  +0/+4  +0/+2  -220/-274  +0/+2
  DejaVu Sans Mono  16.0 |      521    652 | +0/+0  +0/+0  +0/+0  +5/+8  +2/+4  -224/-279  +3/+5
  DejaVu Sans Mono  16.5 |      538    673 | +0/+0  +0/+0  +0/+0  +2/+5  +2/+5  -232/-289  +2/+4
  DejaVu Sans Mono  17.0 |      559    699 | +0/+0  +0/+0  +0/+0  -2/+0  -2/+0  -243/-303  -2/-1
  DejaVu Sans Mono  17.5 |      576    720 | +0/+0  +0/+0  +0/+0  -4/-3  -3/-1  -251/-312  -3/-1
  DejaVu Sans Mono  18.0 |      588    737 | +0/+0  +0/-1  +0/+0  +1/+0  +1/+2  -254/-318  +1/+2
  DejaVu Sans Mono  18.5 |      605    758 | +0/+0  +0/-1  +0/+0  +2/+4  +1/+2  -261/-327  +1/+2
  DejaVu Sans Mono  19.0 |      622    779 | +0/+0  +0/+0  +0/+0  -1/+1  +0/+1  -269/-336  +0/+1
  DejaVu Sans Mono  19.5 |      639    800 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+1  -277/-346  +0/+1
  DejaVu Sans Mono  20.0 |      656    821 | +0/+0  +0/+0  +0/+0  +0/+1  +0/+1  -285/-355  -1/+0
  DejaVu Sans Mono  20.5 |      673    842 | +0/+0  +0/+0  +0/+0  -3/-2  -2/+0  -292/-364  -2/+0
  DejaVu Sans Mono  21.0 |      686    860 | +0/+0  +0/+0  +0/-1  +2/+4  +2/+3  -296/-371  +2/+3
  DejaVu Sans Mono  21.5 |      703    881 | +0/+0  +0/+0  +0/+0  +3/+5  +0/+1  -304/-380  +1/+2
  DejaVu Sans Mono  22.0 |      720    902 | +0/+0  +0/+0  +0/+0  +0/+1  +1/+2  -311/-389  +0/+1
  DejaVu Sans Mono  22.5 |      741    927 | +0/+0  +0/+0  +0/+0  -4/-3  -4/-3  -323/-403  -4/-3
  DejaVu Sans Mono  23.0 |      754    945 | +0/+0  +0/+0  +0/-1  -3/-3  -1/-1  -327/-409  -1/-1
  DejaVu Sans Mono  23.5 |      770    965 | +0/+0  +0/+0  +0/+0  -1/-2  +0/+0  -334/-418  +0/+1
  DejaVu Sans Mono  24.0 |      787    986 | +0/+0  +0/+0  +0/+0  +0/+2  -1/+0  -341/-427  -1/+0
        OpenSymbol   5.0 |      123    161 | +0/+0  +0/+0  +0/+0  +0/+1  -1/-1  -54/-70  -1/-1
        OpenSymbol   5.5 |      135    178 | +0/+0  +0/-1  +0/+0  -1/-2  +0/-1  -59/-78  +0/-1
        OpenSymbol   6.0 |      148    195 | +0/+0  +0/+0  +0/+0  +0/-1  -1/-2  -65/-86  -1/-2
        OpenSymbol   6.5 |      157    208 | +0/+0  +0/+0  +0/-1  +2/+0  +2/+0  -67/-90  +2/+0
        OpenSymbol   7.0 |      169    224 | +0/+0  +0/+0  +0/+0  +4/+2  +2/+0  -72/-97  +2/+0
        OpenSymbol   7.5 |      186    246 | +0/+0  +0/-1  +0/+0  -3/-6  -2/-5  -82/-110  -3/-6
        OpenSymbol   8.0 |      195    254 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+2  -84/-108  +1/+3
        OpenSymbol   8.5 |      207    271 | +0/+0  +0/+0  +0/+0  +1/+1  +1/+2  -89/-116  +1/+2
        OpenSymbol   9.0 |      220    288 | +0/+0  +0/+0  +0/+0  -1/-2  +0/+1  -95/-124  +0/+1
        OpenSymbol   9.5 |      233    305 | +0/+0  +0/+0  +0/+0  +0/+2  -1/+0  -101/-132  -1/-1
        OpenSymbol  10.0 |      246    322 | +0/+0  +0/+0  +0/+0  -3/-1  -1/-1  -107/-140  -1/-1
        OpenSymbol  10.5 |      254    334 | +0/+0  +0/+0  +0/+0  +4/+5  +3/+3  -108/-143  +3/+3
        OpenSymbol  11.0 |      271    356 | +0/+0  +0/+0  +0/+0  -3/-3  -2/-3  -118/-155  -2/-3
        OpenSymbol  11.5 |      284    373 | +0/+0  +0/+0  +0/+0  -2/-3  -2/-3  -124/-163  -3/-4
        OpenSymbol  12.0 |      292    385 | +0/+0  +0/+0  +0/+0  +1/+0  +1/+0  -126/-167  +2/+0
        OpenSymbol  12.5 |      305    398 | +0/+0  +0/+0  +0/+0  +2/+4  +1/+3  -132/-171  +1/+3
        OpenSymbol  13.0 |      318    415 | +0/+0  +0/+0  +0/+0  +0/+2  +0/+2  -138/-178  +0/+2
        OpenSymbol  13.5 |      330    432 | +0/+0  +0/+0  +0/+0  +2/+2  +0/+1  -143/-186  +0/+1
        OpenSymbol  14.0 |      343    449 | +0/+0  +0/+0  +0/+0  -1/-1  -1/+0  -149/-194  -1/+0
        OpenSymbol  14.5 |      356    466 | +0/+0  +0/+0  +0/+0  +0/+0  -1/+0  -155/-202  -1/-1
        OpenSymbol  15.0 |      368    483 | +0/+0  +0/-1  +0/+0  -1/-3  -1/-2  -160/-210  -1/-2
        OpenSymbol  15.5 |      377    496 | +0/+0  +0/+0  +0/-1  +0/-2  +2/+1  -162/-214  +2/+1
        OpenSymbol  16.0 |      389    512 | +0/+0  +0/+0  +0/+0  +3/+3  +2/+1  -167/-221  +2/+1
        OpenSymbol  16.5 |      402    529 | +0/+0  +0/+0  +0/+0  +0/+0  +2/+1  -173/-229  +2/+1
        OpenSymbol  17.0 |      415    546 | +0/+0  +0/+0  +0/+0  +1/+1  +1/-1  -179/-237  +1/-1
        OpenSymbol  17.5 |      428    563 | +0/+0  +0/+0  +0/+0  -1/-2  +0/-2  -185/-244  +0/-2
        OpenSymbol  18.0 |      440    576 | +0/+0  +0/-1  +0/+0  +1/+3  +0/+1  -190/-248  +0/+1
        OpenSymbol  18.5 |      453    593 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+1  -196/-256  +0/+1
        OpenSymbol  19.0 |      466    610 | +0/+0  +0/+0  +0/+0  +0/+1  -2/-1  -202/-264  -1/+0
        OpenSymbol  19.5 |      478    627 | +0/+0  +0/-1  +0/+0  -2/-3  -1/-2  -208/-272  -1/-2
        OpenSymbol  20.0 |      491    643 | +0/+0  +0/+0  +0/+0  -1/-1  -2/-1  -214/-279  -2/-2
        OpenSymbol  20.5 |      504    661 | +0/+0  +0/+0  +0/-1  -3/-5  -3/-4  -220/-288  -3/-4
        OpenSymbol  21.0 |      512    673 | +0/+0  +0/+0  +0/+0  +3/+1  +2/+1  -221/-291  +2/+1
        OpenSymbol  21.5 |      525    690 | +0/+0  +0/+0  +0/+0  +1/-2  +0/-1  -227/-299  +1/+0
        OpenSymbol  22.0 |      538    703 | +0/+0  +0/+0  +0/+0  +2/+3  +0/+3  -233/-303  +0/+3
        OpenSymbol  22.5 |      550    724 | +0/+0  +0/+0  +0/+0  +0/-1  +1/-2  -238/-315  +0/-3
        OpenSymbol  23.0 |      563    737 | +0/+0  +0/+0  +0/+0  -2/+0  -1/+0  -244/-319  +0/+1
        OpenSymbol  23.5 |      576    754 | +0/+0  +0/+0  +0/+0  -1/+1  -1/+0  -250/-326  -1/+0
        OpenSymbol  24.0 |      588    770 | +0/+0  +0/+0  +0/+0  -2/-1  -1/+0  -255/-333  -1/+0
         IPAGothic   5.0 |      157    178 | +0/+0  +0/+0  +0/+0  -2/-2  -2/-2  -69/-78  -2/-2
         IPAGothic   5.5 |      169    195 | +0/+0  +0/-1  +0/+0  +0/-1  +2/-1  -72/-85  +2/-1
         IPAGothic   6.0 |      186    212 | +0/+0  +0/-1  +0/+0  +1/+0  +0/+0  -80/-92  +0/-1
         IPAGothic   6.5 |      203    229 | +0/+0  +0/-1  +0/+0  -2/+0  -2/+0  -89/-99  -1/+1
         IPAGothic   7.0 |      216    246 | +0/+0  +0/+0  +0/+0  +3/+1  +1/+1  -93/-106  +1/+1
         IPAGothic   7.5 |      233    267 | +0/+0  +0/+0  +0/+0  +0/-2  +0/-2  -101/-117  +0/-2
         IPAGothic   8.0 |      250    284 | +0/+0  +0/+0  +0/+0  -3/-2  -2/-2  -109/-124  -2/-2
         IPAGothic   8.5 |      262    301 | +0/+0  +0/-1  +0/+0  +3/-1  +2/-1  -112/-130  +2/-1
         IPAGothic   9.0 |      279    318 | +0/+0  +0/-1  +0/+0  +0/+0  +1/+0  -121/-138  +0/-1
         IPAGothic   9.5 |      296    334 | +0/+0  +0/+0  +0/+0  +0/+1  -1/+1  -129/-144  -1/+1
         IPAGothic  10.0 |      309    351 | +0/+0  +0/+0  +0/+0  +1/+2  +2/+2  -133/-151  +1/+1
         IPAGothic  10.5 |      326    368 | +0/+0  +0/+0  +0/+0  -1/+3  +0/+2  -141/-158  +0/+2
         IPAGothic  11.0 |      343    390 | +0/+0  +0/+0  +0/-1  -1/-2  -2/-2  -149/-169  -2/-2
         IPAGothic  11.5 |      356    407 | +0/+0  +0/+0  +0/-1  +0/-1  +1/-1  -154/-177  +1/-1
         IPAGothic  12.0 |      373    424 | +0/+0  +0/+0  +0/-1  +1/-1  -1/-1  -162/-184  -1/-1
         IPAGothic  12.5 |      389    440 | +0/+0  +0/+0  +0/+0  -1/+1  -1/+1  -169/-190  -1/+1
         IPAGothic  13.0 |      402    457 | +0/+0  +0/+0  +0/+0  +0/+2  +2/+2  -173/-197  +2/+2
         IPAGothic  13.5 |      419    474 | +0/+0  +0/+0  +0/+0  +1/+2  +0/+2  -181/-203  +0/+2
         IPAGothic  14.0 |      436    495 | +0/+0  +0/+0  +0/+0  -2/-1  -1/-1  -190/-215  -1/-1
         IPAGothic  14.5 |      449    513 | +0/+0  +0/+0  +0/-1  +3/-1  +2/-1  -194/-223  +1/-2
         IPAGothic  15.0 |      466    530 | +0/+0  +0/+0  +0/-1  +0/+0  -1/-1  -202/-230  +0/+0
         IPAGothic  15.5 |      483    547 | +0/+0  +0/+0  +0/-1  -3/+0  -2/+0  -210/-237  -2/+0
         IPAGothic  16.0 |      495    563 | +0/+0  +0/+0  +0/+0  +2/+1  +1/+1  -213/-242  +2/+2
         IPAGothic  16.5 |      512    580 | +0/+0  +0/+0  +0/+0  +0/+3  +0/+2  -222/-250  +0/+2
         IPAGothic  17.0 |      529    601 | +0/+0  +0/+0  +0/+0  +0/-1  -1/-1  -230/-261  -1/-1
         IPAGothic  17.5 |      542    618 | +0/+0  +0/+0  +0/+0  +1/-1  +1/-1  -234/-268  +1/-1
         IPAGothic  18.0 |      559    635 | +0/+0  +0/+0  +0/+0  -2/+0  +0/+0  -242/-275  +0/+0
         IPAGothic  18.5 |      576    652 | +0/+0  +0/+0  +0/+0  -1/+1  -2/+1  -250/-281  -2/+0
         IPAGothic  19.0 |      588    669 | +0/+0  +0/-1  +0/+0  +1/+1  +1/+1  -254/-289  +2/+2
         IPAGothic  19.5 |      605    690 | +0/+0  +0/+0  +0/+0  +2/-2  +0/-2  -262/-300  +0/-2
         IPAGothic  20.0 |      622    707 | +0/+0  +0/+0  +0/+0  -1/-1  -1/-1  -270/-307  -1/-1
         IPAGothic  20.5 |      635    724 | +0/+0  +0/+0  +0/+0  +0/-1  +1/-1  -274/-314  +1/-1
         IPAGothic  21.0 |      652    741 | +0/+0  +0/+0  +0/+0  +1/+0  +0/+0  -282/-320  +0/+0
         IPAGothic  21.5 |      665    758 | +0/+0  +0/+0  +0/+0  +2/+1  +2/+0  -287/-328  +2/+0
         IPAGothic  22.0 |      682    775 | +0/+0  +0/+0  +0/+0  +2/+1  +1/+1  -295/-335  +1/+1
         IPAGothic  22.5 |      699    796 | +0/+0  +0/+0  +0/+0  +0/-2  +0/-2  -303/-346  -1/-3
         IPAGothic  23.0 |      715    813 | +0/+0  +0/-1  +0/+0  -2/-1  -1/-2  -310/-353  -1/-2
         IPAGothic  23.5 |      728    830 | +0/+0  +0/+0  +0/+0  +2/-1  +1/-1  -314/-359  +1/-1
         IPAGothic  24.0 |      745    847 | +0/+0  +0/+0  +0/+0  -1/+0  +0/+0  -323/-367  +0/+0

measured 312 of 312 pairs
  600/mm100 max      ascent 312/312   line height 312/312
  600/mm100 split    ascent 312/312   line height 274/312
  600/mm100 sum      ascent 312/312   line height 270/312
  720/mm100 max      ascent  75/312   line height  44/312
  8640/mm100 max     ascent  89/312   line height  58/312
  8640/twip max      ascent   0/312   line height   0/312
  exact (tree)       ascent  82/312   line height  52/312
