              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
  Liberation Serif   5.0 |      159    198 | -2/-3  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  +0/+14  -2/-3
  Liberation Serif   5.5 |      173    215 | +1/+1  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -14/-3  +0/+0
  Liberation Serif   6.0 |      187    233 | +4/+5  +0/+0  +0/+0  +2/+2  +2/+2  +2/+2  -2/+5  +2/+1
  Liberation Serif   6.5 |      205    254 | -2/+0  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +7/+11  -1/+0
  Liberation Serif   7.0 |      219    272 | +1/+3  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  -7/-7  +1/+1
  Liberation Serif   7.5 |      236    293 | +1/+3  +0/+0  +0/-1  +0/+0  +0/+0  +0/+0  +2/-2  +0/+0
  Liberation Serif   8.0 |      250    310 | +4/+3  +0/+0  +0/+0  +1/+2  +1/+2  +1/+2  +15/+8  +1/+3
  Liberation Serif   8.5 |      268    332 | -1/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  -3/-14  -1/+0
  Liberation Serif   9.0 |      282    349 | +2/+3  +0/+0  +0/+0  +1/+3  +1/+3  +1/+3  +9/+21  +1/+3
  Liberation Serif   9.5 |      300    374 | -4/-6  +0/+0  +0/+0  -1/-2  -1/-2  -1/-3  +18/+23  -1/-3
  Liberation Serif  10.0 |      314    392 | -1/-3  +0/+0  +0/+0  +1/-1  +1/-1  +1/-1  +4/+5  +0/-1
  Liberation Serif  10.5 |      332    413 | -2/-2  +0/+0  +0/+0  -2/-3  -2/-3  -2/-3  -14/-16  -2/-3
  Liberation Serif  11.0 |      346    431 | +1/+1  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -2/-8  +0/-1
  Liberation Serif  11.5 |      360    448 | +4/+5  +0/+0  +0/+0  +2/+2  +2/+2  +2/+2  -16/-25  +2/+1
  Liberation Serif  12.0 |      377    469 | +0/+1  +0/+0  +0/+0  +0/-1  +0/-1  +0/-1  -7/-19  +0/+0
  Liberation Serif  12.5 |      392    487 | +2/+0  +0/+0  +0/+0  +1/+1  +1/+1  +1/+1  +5/+16  +1/+1
  Liberation Serif  13.0 |      409    508 | -3/-4  +0/+0  +0/+0  +0/+0  +0/+0  +0/+0  -12/-5  +0/+0
  Liberation Serif  13.5 |      423    526 | +0/-1  +0/+0  +0/-1  +1/+1  +1/+1  +1/+1  +0/+3  +1/+1
  Liberation Serif  14.0 |      441    547 | -1/-1  +0/+0  +0/+0  -1/+0  -1/+0  -1/+0  +9/+9  -1/+0
  Liberation Serif  14.5 |      455    564 | +2/+3  +0/+0  +0/+0  +1/+3  +1/+3  +1/+3  -5/-8  +1/+2
  Liberation Serif  15.0 |      473    586 | -3/-2  +0/+0  +0/+0  -2/+0  -2/-1  -2/+0  +3/-4  -1/+0
  Liberation Serif  15.5 |      487    607 | +0/-1  +0/+0  +0/+0  +0/-1  +0/-2  +0/-1  +16/+28  +0/-1
  Liberation Serif  16.0 |      504    628 | +0/-1  +0/+0  +0/-1  -2/-4  -2/-4  -2/-4  -1/+7  -1/-3
