              face    pt |  ref asc  ref h | 600/mm100 max  720/mm100 max  720/mm100 split  8640/mm100 max  8640/mm100 split  8640/mm100 sum  96/mm100 max  exact (tree)
   Liberation Sans  14.0 |      448      0 | +1/+555  +0/+554  +0/+554  -1/+552  -1/+552  -1/+552  +2/+556  -1/+552
   Liberation Sans  14.5 |      462      0 | +4/+576  +0/+572  +0/+571  +2/+572  +2/+572  +2/+572  -12/+556  +1/+571
   Liberation Sans  15.0 |      480      0 | -2/+588  +0/+593  +0/+593  -1/+591  -1/+591  -1/+591  -4/+582  -1/+591
   Liberation Sans  15.5 |      494      0 | +1/+610  +0/+610  +0/+610  +1/+611  +1/+611  +1/+611  +9/+609  +1/+611
   Liberation Sans  16.0 |      512      0 | -4/+627  +0/+632  +0/+632  -2/+630  -2/+629  -2/+630  -9/+609  -1/+631
   Liberation Sans  16.5 |      526      0 | -1/+648  +0/+649  +0/+649  +1/+650  +1/+650  +1/+650  +3/+661  +1/+650
   Liberation Sans  17.0 |      543      0 | +3/+673  +0/+670  +0/+670  +0/+671  +0/+670  +0/+671  +13/+688  +0/+670
   Liberation Sans  17.5 |      557      0 | +2/+690  +0/+688  +0/+688  +2/+690  +2/+690  +2/+689  -1/+688  +2/+690
   Liberation Sans  18.0 |      575      0 | +1/+711  +0/+709  +0/+709  +0/+710  +0/+710  +0/+709  +7/+714  +0/+709
   Liberation Sans  18.5 |      589      0 | -1/+728  +0/+727  +0/+727  +2/+730  +2/+729  +2/+730  +20/+741  +2/+729
   Liberation Sans  19.0 |      607      0 | -2/+745  +0/+748  +0/+748  -1/+748  -1/+748  -1/+748  +2/+741  +0/+749
   Liberation Sans  19.5 |      624      0 | +3/+775  +0/+769  +0/+769  -1/+769  -1/+769  -1/+768  +11/+794  -1/+769
   Liberation Sans  20.0 |      639      0 | +0/+787  +0/+787  +0/+787  +0/+789  +0/+789  +0/+789  -4/+794  +0/+788
   Liberation Sans  20.5 |      656      0 | +0/+809  +0/+808  +0/+808  -2/+808  -2/+807  -2/+808  -21/+794  -1/+808
   Liberation Sans  21.0 |      670      0 | -1/+826  +0/+829  +0/+829  +1/+828  +1/+828  +1/+828  -9/+820  +1/+828
   Liberation Sans  21.5 |      688      0 | -2/+847  +0/+850  +0/+850  -2/+847  -2/+847  -2/+847  +0/+847  -1/+847
   Liberation Sans  22.0 |      702      0 | +1/+868  +0/+868  +0/+868  +1/+867  +1/+867  +1/+867  -14/+847  +1/+867
   Liberation Sans  22.5 |      720      0 | +0/+889  +0/+889  +0/+889  -1/+887  -1/+887  -1/+887  -6/+873  -1/+887
   Liberation Sans  23.0 |      734      0 | +3/+911  +0/+907  +0/+907  +0/+906  +0/+906  +0/+906  +7/+926  +1/+906
   Liberation Sans  23.5 |      751      0 | -2/+927  +0/+928  +0/+927  +0/+927  +0/+927  +0/+926  -10/+926  -1/+926
