              face    pt |  ref asc  ref h | 600/mm100 max  600/mm100 split  600/mm100 sum  720/mm100 max  8640/mm100 max  8640/twip max  exact (tree)
   Liberation Sans  10.5 |      334    411 | +0/+0  +0/-1  +0/+0  +1/+2  +1/+3  -144/-176  +1/+2
   Liberation Sans  11.0 |      351    432 | +0/+0  +0/-1  +0/+0  +2/+2  +0/+2  -152/-186  +0/+1
   Liberation Sans  11.5 |      368    453 | +0/+0  +0/+0  +0/+0  -1/-1  -1/+1  -160/-196  -1/+0
   Liberation Sans  12.0 |      385    474 | +0/+0  +0/+0  +0/+0  +0/-1  -2/-1  -168/-206  -2/-1
   Liberation Sans  12.5 |      398    491 | +0/+0  +0/+0  +0/+0  +1/+0  +1/+2  -172/-212  +1/+1
   Liberation Sans  13.0 |      415    512 | +0/+0  +0/+0  +0/+0  +1/+3  +0/+1  -180/-221  +0/+0
   Liberation Sans  13.5 |      428    530 | +0/+0  +0/+0  +0/-1  +2/+3  +3/+2  -183/-228  +3/+2
   Liberation Sans  14.0 |      449    555 | +0/+0  +0/+0  +0/+0  -1/-1  -2/-3  -195/-242  -2/-3
   Liberation Sans  14.5 |      466    576 | +0/+0  +0/+0  +0/+0  -4/-4  -2/-4  -203/-251  -3/-5
   Liberation Sans  15.0 |      478    588 | +0/+0  +0/+0  +0/+0  +2/+5  +1/+3  -206/-252  +1/+3
   Liberation Sans  15.5 |      495    610 | +0/+0  +0/-1  +0/+0  -1/+0  +0/+1  -214/-263  +0/+1
   Liberation Sans  16.0 |      508    627 | +0/+0  +0/+0  +0/+0  +4/+5  +2/+3  -218/-269  +3/+4
   Liberation Sans  16.5 |      525    648 | +0/+0  +0/+0  +0/+0  +1/+1  +2/+2  -226/-279  +2/+2
   Liberation Sans  17.0 |      546    673 | +0/+0  +0/+0  +0/+0  -3/-3  -3/-2  -238/-293  -3/-3
   Liberation Sans  17.5 |      559    690 | +0/+0  +0/+0  +0/+0  -2/-2  +0/+0  -242/-299  +0/+0
   Liberation Sans  18.0 |      576    711 | +0/+0  +0/+0  +0/+0  -1/-2  -1/-1  -250/-309  -1/-1
   Liberation Sans  18.5 |      588    728 | +0/+0  +0/+0  +0/+0  +1/-1  +3/+2  -253/-315  +3/+1
   Liberation Sans  19.0 |      605    745 | +0/+0  +0/+0  +0/+0  +2/+3  +1/+3  -261/-320  +2/+4
   Liberation Sans  19.5 |      627    775 | +0/+0  +0/+0  +0/+0  -3/-6  -4/-6  -274/-339  -4/-6
   Liberation Sans  20.0 |      639    787 | +0/+0  +0/+0  +0/+0  +0/+0  +0/+2  -277/-340  +0/+2
   Liberation Sans  20.5 |      656    809 | +0/+0  +0/-1  +0/+0  +0/-1  -2/-1  -285/-351  -1/-1
   Liberation Sans  21.0 |      669    826 | +0/+0  +0/+0  +0/+0  +1/+3  +2/+2  -289/-357  +2/+2
   Liberation Sans  21.5 |      686    847 | +0/+0  +0/+0  +0/+0  +2/+3  +0/+0  -297/-366  +1/+1
   Liberation Sans  22.0 |      703    868 | +0/+0  +0/+0  +0/+0  -1/+0  +0/-1  -305/-376  +0/-1
   Liberation Sans  22.5 |      720    889 | +0/+0  +0/+0  +0/+0  +0/+0  -1/-2  -313/-386  -1/-2
   Liberation Sans  23.0 |      737    911 | +0/+0  +0/+0  +0/-1  -3/-4  -3/-5  -320/-396  -2/-4
   Liberation Sans  23.5 |      749    927 | +0/+0  +0/+0  +0/+0  +2/+1  +2/+0  -323/-401  +1/-1
   Liberation Sans  24.0 |      766    944 | +0/+0  +0/+0  +0/+0  +0/+2  +1/+3  -331/-407  +0/+1
           Carlito   5.0 |      169    216 | +0/+0  +0/+0  +0/+0  +0/-1  -1/-1  -74/-94  -1/-1
           Carlito   5.5 |      186    237 | +0/+0  +0/+0  +0/+0  -3/-1  -1/+0  -81/-102  -1/+0
           Carlito   6.0 |      203    258 | +0/+0  +0/+0  +0/+0  -2/+0  -1/+1  -89/-111  -1/+1
           Carlito   6.5 |      216    280 | +0/+0  +0/+0  +0/-1  +3/-1  +2/+0  -92/-121  +2/+0
           Carlito   7.0 |      233    301 | +0/+0  +0/+0  +0/+0  +3/+2  +2/+1  -100/-130  +2/+0
           Carlito   7.5 |      254    326 | +0/+0  +0/+0  +0/+0  -4/-5  -2/-3  -111/-143  -2/-3
           Carlito   8.0 |      271    347 | +0/+0  +0/+0  +0/+0  -3/-5  -3/-3  -119/-152  -2/-2
           Carlito   8.5 |      288    368 | +0/+0  +0/+0  +0/+0  -2/-1  -3/-2  -126/-160  -2/-1
           Carlito   9.0 |      301    386 | +0/+0  +0/+0  +0/-1  +2/+2  +2/+3  -130/-166  +1/+1
           Carlito   9.5 |      318    407 | +0/+0  +0/+0  +0/-1  +0/+3  +1/+2  -137/-175  +1/+2
           Carlito  10.0 |      334    428 | +0/+0  +0/-1  +0/+0  +1/+2  +2/+3  -143/-183  +2/+3
