worst	scaled	nested	document	worst-scale
1031.8797	26	26	docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	635.0000x1032.8797
591.6667	2	4	022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	592.6667x590.7614
6.1354	10	21	052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	7.1354x0.4058
0.9460	13	36	010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	1.9460x0.7335
0.7806	5	40	008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	0.4162x0.2194
0.7758	11	33	002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	0.2261x0.2242
0.7584	8	36	009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0.docx	1.7584x0.9985
0.6950	10	43	055_Organogram_Template_Horizontal_Structure_28a7e725.docx	1.0000x0.3050
0.6400	3	17	058_Organogram_Template_With_Picture_Theme_44b79368.docx	0.3600x1.1280
0.5280	1	1	041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	1.5280x0.8125
0.4769	3	13	053_Organogram_Template_Creative_Theme_21657a3d.docx	0.5231x1.0000
0.4199	7	23	057_Organogram_Template_Vertical_Colorful_Theme_724b143c.docx	1.0000x0.5801
0.4190	5	17	003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	1.4190x0.8759
0.3415	2	10	004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	0.6612x0.6585
0.3362	2	12	005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	0.6638x0.7053
0.3330	1	5	077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab.docx	1.0000x1.3330
0.3008	1	2	054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8.docx	1.0983x1.3008
0.2870	3	22	056_Organogram_Template_Square_Theme_38f373d4.docx	0.7130x1.0000
0.2858	1	15	051_Organogram_Template_Basic_Theme_e6464d06.docx	1.1807x0.7142
0.2205	1	1	079_Storyboard_Template_Simple_Format_81653703.docx	1.2205x1.0000
0.2139	3	19	001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	0.7861x0.8800
0.1506	1	18	030_Unit_Circle_Chart_Points_System_23b5ef07.docx	1.1506x1.1439
0.0981	4	7	075_Storyboard_Template_Fillable_Format_7fa01641.docx	0.9999x0.9019
0.0682	2	9	006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	1.0682x1.0428
0.0659	1	4	026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1.docx	1.0659x1.0445
0.0555	6	6	071_Storyboard_Template_Cartoon_Theme_ae113de2.docx	0.9999x0.9445
# docx scanned: 272
# outermost groups: 173   nested groups: 496
# documents holding a nested group: 40
# nested groups whose child scale is off the identity by >2%: 132 in 26 documents
